,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c75dc433/England-Italy-June-11-2022-UEFA-Nations-League
1,2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–4,eng England,hu Hungary,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c8aefffb/England-Hungary-June-14-2022-UEFA-Nations-League
2,2022-08-05,Fri,Premier League,Matchweek 1,Away,W 2–0,Arsenal,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,32,75.0,0,24,0,0,0,/en/matches/e62f6e78/Crystal-Palace-Arsenal-August-5-2022-Premier-League
3,2022-08-13,Sat,Premier League,Matchweek 2,Home,W 4–2,Arsenal,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,17,26,65.4,0,12,0,0,0,/en/matches/7483b97f/Arsenal-Leicester-City-August-13-2022-Premier-League
4,2022-08-20,Sat,Premier League,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,19,0,0,0,/en/matches/7f11dd9e/Bournemouth-Arsenal-August-20-2022-Premier-League
5,2022-08-27,Sat,Premier League,Matchweek 4,Home,W 2–1,Arsenal,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,30,70.0,0,18,0,0,0,/en/matches/8b69fd2d/Arsenal-Fulham-August-27-2022-Premier-League
6,2022-08-31,Wed,Premier League,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,17,27,63.0,0,20,0,0,0,/en/matches/cc235aad/Arsenal-Aston-Villa-August-31-2022-Premier-League
7,2022-09-04,Sun,Premier League,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,29,41,70.7,0,31,0,0,0,/en/matches/61ddafa5/Manchester-United-Arsenal-September-4-2022-Premier-League
8,2022-09-18,Sun,Premier League,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,18,0,0,0,/en/matches/fd5626e6/Brentford-Arsenal-September-18-2022-Premier-League
9,2022-10-01,Sat,Premier League,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,21,76.2,1,16,0,0,0,/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League
10,2022-10-09,Sun,Premier League,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,1,19,0,1,1,/en/matches/84a48413/Arsenal-Liverpool-October-9-2022-Premier-League
11,2022-10-16,Sun,Premier League,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,48,1,0,0,0.0,0.0,0.0,0,0,30,44,68.2,0,24,0,0,0,/en/matches/92885cfc/Leeds-United-Arsenal-October-16-2022-Premier-League
12,2022-10-23,Sun,Premier League,Matchweek 13,Away,D 1–1,Arsenal,Southampton,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,29,65.5,0,24,0,0,0,/en/matches/d8138438/Southampton-Arsenal-October-23-2022-Premier-League
13,2022-10-27,Thu,Europa Lg,Group stage,Away,L 0–2,eng Arsenal,nl PSV Eindhoven,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,25,36,69.4,0,28,0,0,0,/en/matches/96e0d9c5/PSV-Eindhoven-Arsenal-October-27-2022-Europa-League
14,2022-10-30,Sun,Premier League,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,21,22,95.5,0,12,0,0,0,/en/matches/1b496cc1/Arsenal-Nottingham-Forest-October-30-2022-Premier-League
15,2022-11-03,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,ch Zürich,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,20,32,62.5,0,22,0,0,0,/en/matches/75b5ef0d/Arsenal-Zurich-November-3-2022-Europa-League
16,2022-11-06,Sun,Premier League,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,0,14,0,0,0,/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League
