,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Fulham,Y,FW,90,0,0,0,0,2,1,0,0,36.0,0.0,0,2.0,0.6,0.6,0.8,3.0,0.0,22.0,27.0,81.5,3.0,20.0,3.0,2.0,0.0,/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,L 0–4,Everton,Aston Villa,Y,"CM,FW",89,0,0,0,0,1,0,0,0,30.0,1.0,1,0.0,0.1,0.1,0.0,1.0,0.0,21.0,26.0,80.8,2.0,18.0,2.0,2.0,2.0,/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,0.0,0.5,0.4895833333333333
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–1,Everton,Wolves,Y,CM,90,0,0,0,0,1,1,0,0,48.0,6.0,1,3.0,0.2,0.2,0.0,3.0,0.0,26.0,31.0,83.9,4.0,30.0,2.0,3.0,1.0,/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-30,Wed,EFL Cup,Second round,Away,W 2–1,Everton,Doncaster,Y,AM,83,0,1,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/17275060/Doncaster-Rovers-Everton-August-30-2023-EFL-Cup,1.0,0.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Everton,Sheffield Utd,Y,FW,90,1,0,0,0,4,3,1,0,57.0,1.0,0,2.0,1.1,1.1,0.2,3.0,1.0,37.0,47.0,78.7,3.0,31.0,3.0,1.0,1.0,/en/matches/87b46bb9/Sheffield-United-Everton-September-2-2023-Premier-League,0.5,0.3333333333333333,0.2023809523809523
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-17,Sun,Premier League,Matchweek 5,Home,L 0–1,Everton,Arsenal,Y,CM,79,0,0,0,0,0,0,0,0,25.0,4.0,0,1.0,0.0,0.0,0.0,3.0,0.0,11.0,17.0,64.7,1.0,16.0,2.0,2.0,1.0,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,0.0,0.5,0.8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-23,Sat,Premier League,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,"FW,CM",90,1,0,0,0,2,1,0,0,55.0,0.0,1,0.0,0.1,0.1,0.0,3.0,0.0,37.0,47.0,78.7,2.0,34.0,1.0,0.0,0.0,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League,1.0,0.5,0.4222222222222222
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-27,Wed,EFL Cup,Third round,Away,W 2–1,Everton,Aston Villa,N,,12,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/91394c43/Aston-Villa-Everton-September-27-2023-EFL-Cup,1.0,0.5,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 1–2,Everton,Luton Town,Y,FW,59,0,0,0,0,1,1,0,0,51.0,0.0,0,2.0,0.4,0.4,0.2,5.0,1.0,36.0,41.0,87.8,4.0,27.0,4.0,1.0,1.0,/en/matches/921d5f17/Everton-Luton-Town-September-30-2023-Premier-League,0.0,0.6666666666666666,0.1666666666666666
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-07,Sat,Premier League,Matchweek 8,Home,W 3–0,Everton,Bournemouth,Y,FW,89,1,0,0,0,5,3,0,0,53.0,2.0,0,1.0,0.7,0.7,0.2,6.0,0.0,34.0,39.0,87.2,7.0,31.0,2.0,2.0,2.0,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,1.0,0.6666666666666666,0.375
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–2,Everton,Liverpool,Y,"CM,FW",90,0,0,0,0,0,0,0,0,39.0,2.0,4,0.0,0.0,0.0,0.0,1.0,0.0,13.0,20.0,65.0,1.0,15.0,1.0,7.0,4.0,/en/matches/e747ddb3/Merseyside-Derby-Liverpool-Everton-October-21-2023-Premier-League,0.0,0.6666666666666666,0.6666666666666666
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-29,Sun,Premier League,Matchweek 10,Away,W 1–0,Everton,West Ham,Y,FW,90,0,0,0,0,2,1,0,0,46.0,1.0,1,0.0,0.2,0.2,0.0,2.0,0.0,22.0,29.0,75.9,1.0,26.0,3.0,2.0,0.0,/en/matches/868a89be/West-Ham-United-Everton-October-29-2023-Premier-League,1.0,0.3333333333333333,0.2738095238095238
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-11-01,Wed,EFL Cup,Fourth round,Home,W 3–0,Everton,Burnley,N,,23,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e8781636/Everton-Burnley-November-1-2023-EFL-Cup,1.0,0.6666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-11-04,Sat,Premier League,Matchweek 11,Home,D 1–1,Everton,Brighton,Y,FW,90,0,0,0,0,1,1,1,0,25.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,15.0,18.0,83.3,3.0,9.0,2.0,2.0,2.0,/en/matches/6ecb53ac/Everton-Brighton-and-Hove-Albion-November-4-2023-Premier-League,0.5,0.6666666666666666,0.4895833333333333
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-11-11,Sat,Premier League,Matchweek 12,Away,W 3–2,Everton,Crystal Palace,Y,FW,90,1,0,0,0,1,1,1,0,37.0,1.0,0,1.0,0.7,0.7,0.0,1.0,1.0,19.0,24.0,79.2,2.0,20.0,1.0,1.0,0.0,/en/matches/a4795b68/Crystal-Palace-Everton-November-11-2023-Premier-League,1.0,0.8333333333333334,0.369047619047619
