,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-08-14,Sun,Matchweek 3,Away,D 1–1,Leeds United,Burnley,N,"On matchday squad, but did not play",/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-14,Sat,Matchweek 8,Away,L 0–1,Leeds United,Southampton,N,DM,27,0,0,0,0,0,0,0,0,26,1,0,1,0.0,0.0,0.0,0,0,15,23,65.2,1,11,0,0,0,/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League
3,2021-08-14,Sat,Matchweek 9,Home,D 1–1,Leeds United,Wolves,N,"On matchday squad, but did not play",/en/matches/49b3afe3/Leeds-United-Wolverhampton-Wanderers-October-23-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-14,Sun,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,N,AM,14,0,0,0,0,0,0,0,0,13,2,0,1,0.0,0.0,0.0,2,0,7,9,77.8,1,4,0,0,0,/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League
5,2021-08-14,Sun,Matchweek 11,Home,D 1–1,Leeds United,Leicester City,Y,"DM,CM",89,0,0,0,0,0,0,0,0,51,0,1,0,0.0,0.0,0.0,2,0,35,44,79.5,7,33,1,6,3,/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League
6,2021-08-14,Sun,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,CM,71,0,0,0,0,2,0,1,0,57,1,0,1,0.0,0.0,0.0,3,0,45,49,91.8,5,28,0,0,0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
7,2021-08-14,Sat,Matchweek 13,Away,D 0–0,Leeds United,Brighton,Y,DM,90,0,0,0,0,1,0,0,0,52,7,1,0,0.1,0.1,0.1,4,0,36,41,87.8,6,25,3,0,0,/en/matches/5d651cd7/Brighton-and-Hove-Albion-Leeds-United-November-27-2021-Premier-League
8,2021-08-14,Tue,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,CM,90,0,0,0,0,3,1,1,0,55,4,1,0,0.1,0.1,0.0,1,0,39,43,90.7,5,34,0,1,0,/en/matches/b0ab4044/Leeds-United-Crystal-Palace-November-30-2021-Premier-League
9,2021-08-14,Sun,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,CM,90,0,0,0,0,0,0,0,0,54,2,2,0,0.0,0.0,0.1,3,1,40,51,78.4,6,36,1,1,0,/en/matches/175160b7/Leeds-United-Brentford-December-5-2021-Premier-League
10,2021-08-14,Sat,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y,CM,90,0,0,0,0,0,0,0,0,43,3,2,3,0.0,0.0,0.0,1,0,25,33,75.8,3,19,1,0,0,/en/matches/6ad3036b/Chelsea-Leeds-United-December-11-2021-Premier-League
11,2021-08-14,Tue,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y,DM,90,0,0,0,0,1,1,0,0,35,1,2,0,0.0,0.0,0.0,1,0,27,31,87.1,0,20,0,0,0,/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League
12,2021-08-14,Sat,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,DM,90,0,0,0,0,0,0,0,0,57,4,1,1,0.0,0.0,0.4,2,0,37,43,86.0,2,32,0,2,2,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League
13,2021-08-14,Sun,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,CM,90,0,0,0,0,0,0,0,0,52,2,2,0,0.0,0.0,0.0,1,0,30,43,69.8,7,24,1,0,0,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
14,2021-08-14,Sun,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,CM,21,0,1,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,2,1,10,12,83.3,1,7,0,0,0,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League
15,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-08-14,Wed,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,N,DM,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,2,0,0,0,/en/matches/f1e84229/Aston-Villa-Leeds-United-February-9-2022-Premier-League
17,2021-08-14,Sat,Matchweek 25,Away,L 0–3,Leeds United,Everton,N,RW,45,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.0,1,0,29,34,85.3,3,28,0,0,0,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League
18,2021-08-14,Sun,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,"CM,DM",90,0,0,0,0,2,1,1,0,62,5,2,3,0.1,0.1,0.1,5,0,44,51,86.3,2,36,2,3,2,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League
19,2021-08-14,Wed,Matchweek 19,Away,L 0–6,Leeds United,Liverpool,Y,DM,90,0,0,0,0,1,1,0,0,63,1,2,3,0.0,0.0,0.0,0,0,43,55,78.2,0,42,1,2,2,/en/matches/6d0f3b48/Liverpool-Leeds-United-February-23-2022-Premier-League
20,2021-08-14,Sat,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y,"DM,CM",90,0,0,0,0,2,0,0,0,49,5,0,1,0.0,0.0,0.0,2,0,36,41,87.8,4,29,0,0,0,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
21,2021-08-14,Sat,Matchweek 28,Away,L 0–1,Leeds United,Leicester City,N,DM,21,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,7,0,2,1,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
22,2021-08-14,Thu,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,Y,DM,66,0,0,0,0,0,0,0,0,57,3,1,0,0.0,0.0,0.0,1,0,42,51,82.4,8,20,1,0,0,/en/matches/79b8fb6e/Leeds-United-Aston-Villa-March-10-2022-Premier-League
23,2021-08-14,Sun,Matchweek 29,Home,W 2–1,Leeds United,Norwich City,Y,DM,90,0,0,0,0,0,0,0,0,60,5,1,2,0.0,0.0,0.0,1,0,41,49,83.7,7,31,2,0,0,/en/matches/b13fb9b9/Leeds-United-Norwich-City-March-13-2022-Premier-League
24,2021-08-14,Fri,Matchweek 30,Away,W 3–2,Leeds United,Wolves,Y,DM,90,0,0,0,0,0,0,1,0,68,3,0,0,0.0,0.0,0.0,3,0,51,62,82.3,4,46,4,1,1,/en/matches/1c402923/Wolverhampton-Wanderers-Leeds-United-March-18-2022-Premier-League
25,2021-08-14,Sat,Matchweek 31,Home,D 1–1,Leeds United,Southampton,Y,DM,90,0,0,0,0,2,0,0,0,65,2,1,1,0.1,0.1,0.0,0,0,44,56,78.6,7,25,2,1,1,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League
