,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2021-08-14,Sat,Premier League,Matchweek 1,Away,W 2–1,Brighton,Burnley,N,"AM,CM",45,0,0,0,0,0,0,0,0,35.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,87.1,3.0,17.0,0.0,1.0,0.0,/en/matches/4eb36e37/Burnley-Brighton-and-Hove-Albion-August-14-2021-Premier-League,1.0,0.5
1,1,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 2–0,Brighton,Watford,Y,"CM,AM",79,0,0,0,0,0,0,0,0,80.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,68.0,77.0,88.3,2.0,42.0,1.0,1.0,1.0,/en/matches/072af2f8/Brighton-and-Hove-Albion-Watford-August-21-2021-Premier-League,1.0,0.5
2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Everton,Y,CM,58,0,0,0,0,0,0,0,0,36.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,34.0,82.4,3.0,25.0,1.0,0.0,0.0,/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,0.0,0.5
3,3,2021-09-11,Sat,Premier League,Matchweek 4,Away,W 1–0,Brighton,Brentford,Y,"RM,CM",90,0,0,0,0,0,0,0,0,58.0,2.0,1,2.0,0.0,0.0,0.0,0.0,0.0,38.0,50.0,76.0,6.0,34.0,0.0,2.0,1.0,/en/matches/19a03697/Brentford-Brighton-and-Hove-Albion-September-11-2021-Premier-League,1.0,0.6666666666666666
4,4,2021-09-19,Sun,Premier League,Matchweek 5,Home,W 2–1,Brighton,Leicester City,Y,CM,90,0,0,0,0,2,0,0,0,51.0,3.0,3,1.0,0.2,0.2,0.0,0.0,0.0,29.0,39.0,74.4,4.0,20.0,1.0,1.0,1.0,/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,1.0,0.6666666666666666
5,5,2021-09-27,Mon,Premier League,Matchweek 6,Away,D 1–1,Brighton,Crystal Palace,Y,CM,90,0,0,0,0,3,0,1,0,64.0,2.0,1,0.0,0.1,0.1,0.0,1.0,0.0,47.0,56.0,83.9,7.0,48.0,1.0,1.0,1.0,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League,0.5,0.6666666666666666
6,6,2021-10-02,Sat,Premier League,Matchweek 7,Home,D 0–0,Brighton,Arsenal,Y,CM,90,0,0,0,0,1,0,0,0,65.0,1.0,3,1.0,0.0,0.0,0.1,3.0,0.0,48.0,54.0,88.9,2.0,22.0,0.0,1.0,1.0,/en/matches/cdaded7b/Brighton-and-Hove-Albion-Arsenal-October-2-2021-Premier-League,0.5,0.8333333333333334
7,7,2021-10-16,Sat,Premier League,Matchweek 8,Away,D 0–0,Brighton,Norwich City,Y,CM,90,0,0,0,0,1,1,1,0,97.0,1.0,0,3.0,0.1,0.1,0.1,1.0,0.0,74.0,85.0,87.1,3.0,57.0,1.0,2.0,1.0,/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League,0.5,0.6666666666666666
8,8,2021-10-23,Sat,Premier League,Matchweek 9,Home,L 1–4,Brighton,Manchester City,Y,CM,90,0,0,0,0,0,0,1,0,47.0,5.0,2,1.0,0.0,0.0,0.0,0.0,0.0,36.0,39.0,92.3,4.0,23.0,1.0,0.0,0.0,/en/matches/dc93611c/Brighton-and-Hove-Albion-Manchester-City-October-23-2021-Premier-League,0.0,0.5
9,9,2021-10-30,Sat,Premier League,Matchweek 10,Away,D 2–2,Brighton,Liverpool,Y,AM,76,0,1,0,0,1,1,0,0,47.0,5.0,2,0.0,0.1,0.1,0.5,4.0,2.0,29.0,36.0,80.6,2.0,17.0,3.0,0.0,0.0,/en/matches/c68998b5/Liverpool-Brighton-and-Hove-Albion-October-30-2021-Premier-League,0.5,0.3333333333333333
10,10,2021-11-06,Sat,Premier League,Matchweek 11,Home,D 1–1,Brighton,Newcastle Utd,Y,"DM,CM",90,0,0,0,0,1,0,1,0,87.0,0.0,0,1.0,0.1,0.1,0.0,3.0,0.0,81.0,83.0,97.6,9.0,66.0,0.0,0.0,0.0,/en/matches/10d11999/Brighton-and-Hove-Albion-Newcastle-United-November-6-2021-Premier-League,0.5,0.3333333333333333
11,11,2021-11-20,Sat,Premier League,Matchweek 12,Away,L 0–2,Brighton,Aston Villa,Y,"FW,AM,CM",90,0,0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,2.0,16.0,0.0,3.0,2.0,/en/matches/88f081ac/Aston-Villa-Brighton-and-Hove-Albion-November-20-2021-Premier-League,0.0,0.3333333333333333
