,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,N,LM,1,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,/en/matches/8251694e/Manchester-United-Brighton-and-Hove-Albion-August-7-2022-Premier-League,0.0,0.5,0.5222222222222223
1,1,1,1,1,1,1,1,1,1,1,2022-09-03,Sat,PL2 — Div. 1,Matchweek 5,Away,D 2–2,Manchester Utd,Liverpool,Y,AM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/a045e00e/Liverpool-U21-Manchester-United-U21-September-3-2022-Premier-League-2----Division-1,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2022-09-08,Thu,Europa Lg,Group stage,Home,L 0–1,eng Manchester Utd,es Real Sociedad,N,LW,20,0,0,0,0,1.0,0.0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,100.0,0.0,7.0,1.0,2.0,0.0,/en/matches/edf0e464/Manchester-United-Real-Sociedad-September-8-2022-Europa-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,2022-09-15,Thu,Europa Lg,Group stage,Away,W 2–0,eng Manchester Utd,md Sheriff Tiraspol,N,"LW,RW",1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/8812c2ac/Sheriff-Tiraspol-Manchester-United-September-15-2022-Europa-League,1.0,0.1666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,2022-10-27,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,Y,LW,78,0,0,0,0,2.0,0.0,0,0,59.0,0.0,0.0,2.0,0.1,0.1,0.0,4.0,0.0,38.0,45.0,84.4,2.0,47.0,9.0,7.0,3.0,/en/matches/bf2f426b/Manchester-United-Sheriff-Tiraspol-October-27-2022-Europa-League,1.0,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,2022-11-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,es Real Sociedad,Y,LW,82,1,0,0,0,2.0,1.0,0,0,27.0,0.0,2.0,1.0,0.3,0.3,0.0,0.0,0.0,13.0,18.0,72.2,1.0,16.0,3.0,1.0,1.0,/en/matches/5c6990ab/Real-Sociedad-Manchester-United-November-3-2022-Europa-League,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,2022-11-06,Sun,Premier League,Matchweek 15,Away,L 1–3,Manchester Utd,Aston Villa,Y,LW,64,0,0,0,0,1.0,1.0,0,0,36.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,20.0,25.0,80.0,0.0,27.0,6.0,5.0,1.0,/en/matches/6638574f/Aston-Villa-Manchester-United-November-6-2022-Premier-League,0.0,1.0,0.3645833333333333
7,7,7,7,7,7,7,7,7,7,7,2022-11-10,Thu,EFL Cup,Third round,Home,W 4–2,Manchester Utd,Aston Villa,N,,29,0,2,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/067d8b49/Manchester-United-Aston-Villa-November-10-2022-EFL-Cup,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,2022-11-13,Sun,Premier League,Matchweek 16,Away,W 2–1,Manchester Utd,Fulham,N,LW,19,1,0,0,0,1.0,1.0,1,0,9.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,1.0,5.0,6.0,83.3,1.0,8.0,2.0,2.0,0.0,/en/matches/af75b6b0/Fulham-Manchester-United-November-13-2022-Premier-League,1.0,0.6666666666666666,0.5384615384615384
9,9,9,9,9,9,9,9,9,9,9,2022-12-21,Wed,EFL Cup,Fourth round,Home,W 2–0,Manchester Utd,Burnley,Y,AM,58,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/19231fc9/Manchester-United-Burnley-December-21-2022-EFL-Cup,1.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,2022-12-27,Tue,Premier League,Matchweek 17,Home,W 3–0,Manchester Utd,Nott'ham Forest,N,LW,26,0,0,0,0,0.0,0.0,1,0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,14.0,85.7,1.0,14.0,2.0,2.0,1.0,/en/matches/b860f634/Manchester-United-Nottingham-Forest-December-27-2022-Premier-League,1.0,1.0,0.75
11,11,11,11,11,11,11,11,11,11,11,2022-12-31,Sat,Premier League,Matchweek 18,Away,W 1–0,Manchester Utd,Wolves,Y,LW,45,0,0,0,0,2.0,1.0,0,0,23.0,0.0,1.0,1.0,0.3,0.3,0.0,1.0,0.0,10.0,13.0,76.9,1.0,16.0,5.0,3.0,0.0,/en/matches/8ef80305/Wolverhampton-Wanderers-Manchester-United-December-31-2022-Premier-League,1.0,1.0,0.6979166666666665
12,12,12,12,12,12,12,12,12,12,12,2023-01-03,Tue,Premier League,Matchweek 19,Home,W 3–0,Manchester Utd,Bournemouth,N,LW,46,0,1,0,0,3.0,1.0,0,0,17.0,0.0,1.0,1.0,0.2,0.2,0.3,3.0,1.0,9.0,9.0,100.0,0.0,11.0,1.0,2.0,0.0,/en/matches/63fc7f12/Manchester-United-Bournemouth-January-3-2023-Premier-League,1.0,1.0,0.5
13,13,13,13,13,13,13,13,13,13,13,2023-01-06,Fri,FA Cup,Third round proper,Home,W 3–1,Manchester Utd,Everton,N,,20,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a93b3510/Manchester-United-Everton-January-6-2023-FA-Cup,1.0,1.0,0.5
14,14,14,14,14,14,14,14,14,14,14,2023-01-10,Tue,EFL Cup,Quarter-finals,Home,W 3–0,Manchester Utd,Charlton Ath,Y,AM,90,0,0,0,0,4.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/2c2b34a5/Manchester-United-Charlton-Athletic-January-10-2023-EFL-Cup,1.0,1.0,0.5
15,15,15,15,15,15,15,15,15,15,15,2023-01-14,Sat,Premier League,Matchweek 20,Home,W 2–1,Manchester Utd,Manchester City,N,LW,19,0,1,0,0,1.0,0.0,0,0,14.0,0.0,1.0,0.0,0.0,0.0,0.7,1.0,1.0,5.0,9.0,55.6,0.0,6.0,2.0,0.0,0.0,/en/matches/f0fd7541/Manchester-Derby-Manchester-United-Manchester-City-January-14-2023-Premier-League,1.0,1.0,0.5
16,16,16,16,16,16,16,16,16,16,16,2023-01-18,Wed,Premier League,Matchweek 7,Away,D 1–1,Manchester Utd,Crystal Palace,N,RW,21,0,0,0,0,1.0,1.0,0,0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,1.0,12.0,1.0,1.0,0.0,/en/matches/adf46096/Crystal-Palace-Manchester-United-January-18-2023-Premier-League,0.5,1.0,0.5
