,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-03,Thu,UEFA Nations League,League B,Away,L 1–3,rs Serbia,ru Russia,Y,FW,90,1,0,0,0,3,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a43651f8/Russia-Serbia-September-3-2020-UEFA-Nations-League
1,2020-09-06,Sun,UEFA Nations League,League B,Home,D 0–0,rs Serbia,tr Türkiye,Y,FW,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2b8c2420/Serbia-Turkiye-September-6-2020-UEFA-Nations-League
2,2020-09-12,Sat,Premier League,Matchweek 1,Home,L 0–3,Fulham,Arsenal,N,FW,28,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,8,0,1,1,/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League
3,2020-09-16,Wed,EFL Cup,Second round,Away,W 1–0,Fulham,Ipswich Town,Y*,FW,90,1,0,0,0,4,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ec354b22/Ipswich-Town-Fulham-September-16-2020-EFL-Cup
4,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 3–4,Fulham,Leeds United,Y*,FW,90,2,0,1,1,5,3,1,0,54,0,0,1,1.3,0.5,0.0,3,1,23,36,63.9,1,32,0,1,0,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League
5,2020-09-28,Mon,Premier League,Matchweek 3,Home,L 0–3,Fulham,Aston Villa,Y,FW,90,0,0,0,0,6,1,0,0,32,0,0,0,0.4,0.4,0.0,1,0,13,16,81.3,0,8,0,1,0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League
6,2020-10-01,Thu,EFL Cup,Fourth round,Away,L 0–3,Fulham,Brentford,N,,22,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/38aa0182/Brentford-Fulham-October-1-2020-EFL-Cup
7,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 0–1,Fulham,Wolves,Y,FW,90,0,0,0,0,3,0,0,0,26,0,0,1,0.2,0.2,0.5,2,0,14,17,82.4,1,12,1,0,0,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
8,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Away,W 2–1,rs Serbia,no Norway,Y,FW,120,0,1,0,0,5,2,0,0,,,1,,,,,,,,,,,,,,,/en/matches/166bbe3f/Norway-Serbia-October-8-2020-UEFA-Euro-Qualifying
9,2020-10-14,Wed,UEFA Nations League,League B,Away,D 2–2,rs Serbia,tr Türkiye,Y,FW,90,1,0,1,1,2,2,1,0,,,0,,,,,,,,,,,,,,,/en/matches/ee8f6ff6/Turkiye-Serbia-October-14-2020-UEFA-Nations-League
10,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 1–1,Fulham,Sheffield Utd,Y,FW,90,0,0,0,1,4,2,0,0,33,0,0,0,1.1,0.3,0.0,1,0,17,25,68.0,2,16,0,1,1,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
