,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-12-13,Sat,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,N,FW,16,10,10,100.0,192,53,6,6,100.0,2,2,100.0,2,2,100.0,1,0.0,0.0,1,1,0,0,2,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
1,2020-12-13,Sun,Matchweek 15,Home,D 1–1,Liverpool,West Brom,N,RM,8,6,9,66.7,115,55,1,2,50.0,5,5,100.0,0,0,,0,0.3,0.2,1,0,1,0,3,/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League
2,2020-12-13,Wed,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2020-12-13,Mon,Matchweek 17,Away,L 0–1,Liverpool,Southampton,Y,RM,56,18,33,54.5,330,39,8,11,72.7,8,13,61.5,2,4,50.0,0,0.0,0.0,0,0,0,0,3,/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League
4,2020-12-13,Sun,Matchweek 19,Home,D 0–0,Liverpool,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2020-12-13,Thu,Matchweek 18,Home,L 0–1,Liverpool,Burnley,Y,RW,56,23,28,82.1,327,75,15,18,83.3,7,8,87.5,1,1,100.0,0,0.0,0.0,0,1,0,0,1,/en/matches/787d11cc/Liverpool-Burnley-January-21-2021-Premier-League
6,2020-12-13,Thu,Matchweek 20,Away,W 3–1,Liverpool,Tottenham,N,"On matchday squad, but did not play",/en/matches/17bac3d1/Tottenham-Hotspur-Liverpool-January-28-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2020-12-13,Sun,Matchweek 21,Away,W 3–1,Liverpool,West Ham,N,LW,11,6,7,85.7,118,30,3,3,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0,3,0,0,2,/en/matches/3de3a736/West-Ham-United-Liverpool-January-31-2021-Premier-League
8,2020-12-13,Wed,Matchweek 22,Home,L 0–1,Liverpool,Brighton,N,RM,27,10,14,71.4,158,41,7,7,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0,2,0,0,1,/en/matches/314c860f/Liverpool-Brighton-and-Hove-Albion-February-3-2021-Premier-League
9,2020-12-13,Sun,Matchweek 23,Home,L 1–4,Liverpool,Manchester City,N,"On matchday squad, but did not play",/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
