,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Tue,Copa América,Semi-finals,Neutral,W 2–0,br Brazil,ar Argentina,Y,GK,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,0,13,0,0,0,Match Report
1,Sun,Copa América,Final,Neutral,W 3–1,br Brazil,pe Peru,Y,GK,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,6,0,0,0,Match Report
2,Sun,Community Shield,FA Community Shield,Neutral,D 1 (4)–1 (5),Liverpool,Manchester City,Y,GK,120,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,GK,38,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,7,0,0,0,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun,Premier League,Matchweek 9,Away,D 1–1,Liverpool,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,34,38,89.5,0,28,0,0,0,Match Report
6,Wed,Champions Lg,Group stage,Away,W 4–1,eng Liverpool,be Genk,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,38,38,100.0,0,26,0,0,0,Match Report
7,Sun,Premier League,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,29,37,78.4,0,23,0,0,0,Match Report
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sat,Premier League,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,9,0,0,0,Match Report
10,Tue,Champions Lg,Group stage,Home,W 2–1,eng Liverpool,be Genk,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,2,0,29,31,93.5,0,23,0,0,0,Match Report
11,Sun,Premier League,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,1,0,44,56,78.6,0,38,0,0,0,Match Report
12,Fri,Friendlies (M),Friendlies (M),Home,L 0–1,br Brazil,ar Argentina,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13,Tue,Friendlies (M),Friendlies (M),Neutral,W 3–0,br Brazil,kr Korea Republic,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
14,Sat,Premier League,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,29,36,80.6,0,23,0,0,0,Match Report
15,Wed,Champions Lg,Group stage,Home,D 1–1,eng Liverpool,it Napoli,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,25,28,89.3,0,23,0,0,0,Match Report
16,Sat,Premier League,Matchweek 14,Home,W 2–1,Liverpool,Brighton,Y,GK,75,0,0,0,0,0,0,0,1,45,0,0,0,0.0,0.0,0.0,0,0,37,43,86.0,0,32,0,0,0,Match Report
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat,Premier League,Matchweek 16,Away,W 3–0,Liverpool,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,19,0,0,0,Match Report
19,Tue,Champions Lg,Group stage,Away,W 2–0,eng Liverpool,at RB Salzburg,Y,GK,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,39,46,84.8,0,34,0,0,0,Match Report
20,Sat,Premier League,Matchweek 17,Home,W 2–0,Liverpool,Watford,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,28,30,93.3,0,19,0,0,0,Match Report
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thu,Premier League,Matchweek 19,Away,W 4–0,Liverpool,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,14,0,0,0,Match Report
23,Sun,Premier League,Matchweek 20,Home,W 1–0,Liverpool,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,17,0,0,0,Match Report
24,Thu,Premier League,Matchweek 21,Home,W 2–0,Liverpool,Sheffield Utd,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,35,36,97.2,0,28,0,0,0,Match Report
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat,Premier League,Matchweek 22,Away,W 1–0,Liverpool,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,18,0,0,0,Match Report
27,Sun,Premier League,Matchweek 23,Home,W 2–0,Liverpool,Manchester Utd,Y,GK,90,0,1,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.3,1,1,38,49,77.6,0,36,0,0,0,Match Report
28,Thu,Premier League,Matchweek 24,Away,W 2–1,Liverpool,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,34,35,97.1,0,25,0,0,0,Match Report
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Wed,Premier League,Matchweek 18,Away,W 2–0,Liverpool,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,18,0,0,0,Match Report
31,Sat,Premier League,Matchweek 25,Home,W 4–0,Liverpool,Southampton,Y,GK,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,1,1,41,49,83.7,0,29,0,0,0,Match Report
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sat,Premier League,Matchweek 26,Away,W 1–0,Liverpool,Norwich City,Y,GK,90,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,22,24,91.7,0,15,0,0,0,Match Report
34,Tue,Champions Lg,Round of 16,Away,L 0–1,eng Liverpool,es Atlético Madrid,Y,GK,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,28,30,93.3,0,17,0,0,0,Match Report
35,Mon,Premier League,Matchweek 27,Home,W 3–2,Liverpool,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,0,16,0,0,0,Match Report
36,Sat,Premier League,Matchweek 28,Away,L 0–3,Liverpool,Watford,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,35,38,92.1,0,25,0,0,0,Match Report
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sun,Premier League,Matchweek 30,Away,D 0–0,Liverpool,Everton,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,19,0,0,0,Match Report
39,Wed,Premier League,Matchweek 31,Home,W 4–0,Liverpool,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,22,23,95.7,0,11,0,0,0,Match Report
40,Thu,Premier League,Matchweek 32,Away,L 0–4,Liverpool,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,16,0,0,0,Match Report
41,Sun,Premier League,Matchweek 33,Home,W 2–0,Liverpool,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,32,36,88.9,0,21,0,0,0,Match Report
42,Wed,Premier League,Matchweek 34,Away,W 3–1,Liverpool,Brighton,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,24,31,77.4,0,17,0,0,0,Match Report
43,Sat,Premier League,Matchweek 35,Home,D 1–1,Liverpool,Burnley,Y,GK,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,32,34,94.1,0,16,0,0,0,Match Report
44,Wed,Premier League,Matchweek 36,Away,L 1–2,Liverpool,Arsenal,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,24,27,88.9,1,16,0,0,0,Match Report
45,Wed,Premier League,Matchweek 37,Home,W 5–3,Liverpool,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,33,43,76.7,0,26,0,0,0,Match Report
46,Sun,Premier League,Matchweek 38,Away,W 3–1,Liverpool,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,23,23,100.0,0,19,0,0,0,Match Report
47,,,,,29-5-5,,,39/39,,"3,473",0,1,0,0,0,0,0,1,1208,0,1,0,0.0,0.0,0.3,8,2,1004,1151,87.2,1,742,0,0,0,
