,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-12,Mon,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,GK,90,35,41,85.4,825,561,13,13,100.0,10,11,90.9,11,16,68.8,0,0.0,0.0,0,0,0,0,0,/en/matches/ebe4e309/Liverpool-Arsenal-September-28-2020-Premier-League
1,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-09-12,Sat,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,Y,GK,90,25,34,73.5,629,322,6,6,100.0,11,11,100.0,8,17,47.1,0,0.0,0.0,0,0,0,0,0,/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
3,2020-09-12,Sat,Matchweek 7,Home,W 2–1,Liverpool,West Ham,Y,GK,90,18,21,85.7,381,228,5,5,100.0,11,11,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League
4,2020-09-12,Sun,Matchweek 8,Away,D 1–1,Liverpool,Manchester City,Y,GK,90,36,48,75.0,795,499,8,8,100.0,21,22,95.5,6,16,37.5,0,0.0,0.0,0,0,0,0,0,/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League
5,2020-09-12,Sun,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,Y,GK,90,23,28,82.1,533,345,2,2,100.0,16,16,100.0,5,10,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League
6,2020-09-12,Sat,Matchweek 10,Away,D 1–1,Liverpool,Brighton,Y,GK,90,27,36,75.0,750,541,4,4,100.0,14,15,93.3,9,17,52.9,0,0.0,0.0,0,0,0,0,0,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
7,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020-09-12,Sun,Matchweek 12,Away,D 1–1,Liverpool,Fulham,Y,GK,90,26,27,96.3,579,325,6,6,100.0,15,15,100.0,5,6,83.3,0,0.0,0.0,0,0,0,0,0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
9,2020-09-12,Wed,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,Y,GK,90,21,27,77.8,445,265,3,3,100.0,15,16,93.8,3,8,37.5,0,0.0,0.0,0,0,0,0,0,/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League
10,2020-09-12,Sat,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y,GK,90,26,30,86.7,566,336,6,6,100.0,16,16,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
11,2020-09-12,Sun,Matchweek 15,Home,D 1–1,Liverpool,West Brom,Y,GK,90,25,28,89.3,533,396,0,0,,23,23,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League
12,2020-09-12,Wed,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,Y,GK,90,25,27,92.6,583,379,2,2,100.0,17,17,100.0,5,7,71.4,0,0.0,0.0,0,0,0,0,0,/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League
13,2020-09-12,Mon,Matchweek 17,Away,L 0–1,Liverpool,Southampton,Y,GK,90,36,40,90.0,816,462,9,10,90.0,20,20,100.0,7,10,70.0,0,0.0,0.0,0,0,0,0,0,/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League
