,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-09,Sat,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,LB,90,95,2,19,32,46,6,95,2,2,100.0,0,0.0,64,474,353,12,5,3,1,0,70,15,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League
1,2019-08-09,Sat,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,LB,90,86,2,28,35,25,1,86,0,0,,0,,60,322,225,3,3,0,2,0,63,7,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League
2,2019-08-09,Sat,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,Y,LB,90,135,1,15,66,55,3,135,4,3,75.0,1,25.0,104,513,367,6,6,2,2,0,107,20,/en/matches/cde24fee/Liverpool-Newcastle-United-September-14-2019-Premier-League
3,2019-08-09,Sun,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,LB,90,69,5,20,36,14,1,69,2,2,100.0,0,0.0,36,141,69,1,0,0,0,0,37,5,/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League
4,2019-08-09,Sat,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,LB,90,106,4,18,61,27,1,106,0,0,,0,,69,290,185,4,3,0,2,0,85,4,/en/matches/1224c8ae/Sheffield-United-Liverpool-September-28-2019-Premier-League
5,2019-08-09,Sat,Matchweek 8,Home,W 2–1,Liverpool,Leicester City,Y,LB,90,83,1,20,41,22,3,83,2,1,50.0,1,50.0,64,303,181,6,6,1,2,0,58,5,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League
6,2019-08-09,Sun,Matchweek 9,Away,D 1–1,Liverpool,Manchester Utd,Y,LB,90,109,4,28,55,28,1,109,0,0,,0,,72,326,198,4,2,0,1,0,72,5,/en/matches/95c3f0c8/North-West-Derby-Manchester-United-Liverpool-October-20-2019-Premier-League
7,2019-08-09,Sun,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,LB,90,86,3,12,29,45,4,86,2,2,100.0,0,0.0,58,343,236,9,5,0,0,0,59,8,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League
8,2019-08-09,Sat,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,LB,90,92,6,24,29,40,2,92,2,0,0.0,2,100.0,55,188,121,3,3,0,2,0,61,14,/en/matches/2206646c/Aston-Villa-Liverpool-November-2-2019-Premier-League
9,2019-08-09,Sun,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,LB,90,60,6,28,24,8,0,60,0,0,,0,,35,162,105,2,4,0,1,0,37,4,/en/matches/47880eb7/Liverpool-Manchester-City-November-10-2019-Premier-League
10,2019-08-09,Sat,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,Y,LB,90,75,6,23,34,19,0,75,1,0,0.0,1,100.0,42,205,157,3,3,0,0,0,42,5,/en/matches/0b1da656/Crystal-Palace-Liverpool-November-23-2019-Premier-League
