,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
0,2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,74,2,2,2,0.0,0.0,0.0,2,0,41,60,68.3,6,35,1,0,https://fbref.com/en/matches/c18d3207/Chelsea-Liverpool-August-13-2023-Premier-League,668,324,0.0,1,6,0,0,50,8,1,0,0,4,6,1,1,0,0,2,1,1,0,0,0,1,1,0,1,100.0,0,1,4,9,0,10,1,,0,,0,0,0,33,2,0,1,0,0,0,11,0,0.0
1,2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,LB,90,0,0,0,0,0,0,0,0,90,3,1,0,0.0,0.0,0.3,3,0,71,83,85.5,8,50,4,0,https://fbref.com/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League,1405,432,0.2,3,6,0,0,71,12,2,0,2,6,4,6,2,4,0,0,0,3,0,0,0,2,2,1,0,100.0,0,0,4,1,0,4,0,0.0,1,100.0,0,0,0,58,4,0,0,0,0,0,13,4,80.0
2,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,66,1,0,1,0.0,0.0,0.0,1,0,43,57,75.4,3,21,0,0,https://fbref.com/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League,874,189,0.1,1,3,0,0,39,18,5,0,2,7,9,4,3,1,0,0,0,1,0,0,0,0,1,0,0,100.0,0,0,1,1,0,4,0,0.0,2,100.0,0,1,0,37,1,0,0,0,0,0,6,0,0.0
3,2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,119,2,1,0,0.0,0.0,0.0,3,0,101,112,90.2,8,95,0,0,https://fbref.com/en/matches/bdbc722e/Liverpool-Aston-Villa-September-3-2023-Premier-League,1623,677,0.1,1,6,1,1,104,6,1,0,0,6,2,3,2,1,0,2,2,1,0,0,0,1,2,0,0,50.0,1,0,3,2,0,4,1,,0,,0,1,0,100,2,0,0,0,0,0,4,1,100.0
4,2023-09-08,Fri,Euro Qualifying,Group stage,Away,W 3–0,sct Scotland,cy Cyprus,Y*,DM,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,https://fbref.com/en/matches/1db57a1b/Cyprus-Scotland-September-8-2023-Euro-Qualifying,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,2,,,0,,,
5,2023-09-12,Tue,Friendlies (M),Friendlies (M),Home,L 1–3,sct Scotland,eng England,Y*,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,https://fbref.com/en/matches/1461ddd6/Scotland-England-September-12-2023-Friendlies-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,
6,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y*,LB,90,1,0,0,0,1,1,0,0,101,2,2,0,0.4,0.4,0.2,3,1,83,94,88.3,10,48,3,0,https://fbref.com/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League,1314,323,0.1,2,9,1,1,81,13,3,0,0,7,8,2,1,1,0,0,3,0,0,0,0,2,1,1,0,66.7,1,0,4,2,0,4,2,,0,,0,1,1,74,7,0,1,0,0,0,4,1,100.0
7,2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,91,0,0,2,0.0,0.0,0.4,7,1,68,85,80.0,8,52,6,0,https://fbref.com/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League,1125,439,0.3,5,9,1,0,68,16,5,0,1,8,7,4,1,3,0,1,3,4,0,0,0,0,0,0,0,0.0,1,1,0,3,0,4,0,,0,,0,1,0,52,6,0,3,0,0,0,10,2,66.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"LB,WB",90,0,0,0,0,1,1,1,0,59,1,1,0,0.0,0.0,0.2,5,0,41,51,80.4,5,34,5,1,https://fbref.com/en/matches/ec4145b4/Tottenham-Hotspur-Liverpool-September-30-2023-Premier-League,795,334,0.2,4,3,0,0,40,11,2,0,0,3,6,3,2,1,0,0,2,3,0,0,0,1,1,0,0,0.0,2,0,2,2,0,4,2,100.0,0,0.0,0,1,0,35,2,0,1,0,0,0,5,0,0.0
