,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,W 2–0,Everton,Brighton,Y,RM,90,43,0,10,13,20,1,43,3,1,33.3,2,66.7,31,199,80,1,2,0,2,2,27,1,/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League
1,2021-08-14,Mon,Matchweek 4,Home,W 3–1,Everton,Burnley,Y,RW,90,36,0,5,18,14,1,36,1,0,0.0,1,100.0,27,202,110,4,4,0,7,0,24,8,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Away,L 0–3,Everton,Aston Villa,Y,RM,90,45,1,11,16,21,3,45,1,1,100.0,0,0.0,26,227,123,3,3,1,3,1,26,8,/en/matches/57323feb/Aston-Villa-Everton-September-18-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Home,W 2–0,Everton,Norwich City,Y,RM,75,41,0,6,14,21,3,40,1,1,100.0,0,0.0,24,150,87,5,2,0,2,0,27,5,/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Away,D 1–1,Everton,Manchester Utd,Y,"RM,RW",90,45,3,13,19,14,3,45,2,2,100.0,0,0.0,19,190,119,5,4,1,1,1,20,8,/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League
5,2021-08-14,Sun,Matchweek 8,Home,L 0–1,Everton,West Ham,Y,RM,90,52,0,5,16,31,3,52,3,0,0.0,3,100.0,30,152,49,4,1,1,3,0,39,8,/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Home,L 2–5,Everton,Watford,Y,RM,90,43,0,6,17,20,3,43,3,3,100.0,0,0.0,23,141,44,3,1,3,1,1,28,7,/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League
7,2021-08-14,Mon,Matchweek 10,Away,L 1–2,Everton,Wolves,Y,"CM,RM,LM",90,47,0,5,23,22,1,47,5,3,60.0,2,40.0,19,170,53,2,3,0,5,1,22,4,/en/matches/c9ad66cc/Wolverhampton-Wanderers-Everton-November-1-2021-Premier-League
8,2021-08-14,Sun,Matchweek 11,Home,D 0–0,Everton,Tottenham,Y,FW,90,48,1,7,17,24,0,48,3,2,66.7,1,33.3,31,149,22,0,1,0,2,2,28,3,/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League
9,2021-08-14,Sun,Matchweek 12,Away,L 0–3,Everton,Manchester City,Y,"FW,CM",90,34,1,9,10,15,0,34,7,4,57.1,3,42.9,18,167,101,2,3,0,1,0,20,1,/en/matches/bfbe7402/Manchester-City-Everton-November-21-2021-Premier-League
10,2021-08-14,Sun,Matchweek 13,Away,L 0–1,Everton,Brentford,Y,RM,69,47,0,3,17,28,1,47,0,0,,0,,33,238,126,6,1,1,3,1,39,11,/en/matches/286c4c1c/Brentford-Everton-November-28-2021-Premier-League
11,2021-08-14,Wed,Matchweek 14,Home,L 1–4,Everton,Liverpool,Y,RM,72,29,0,5,10,14,2,29,4,2,50.0,2,50.0,17,60,20,0,0,0,3,1,19,3,/en/matches/b46554fb/Merseyside-Derby-Everton-Liverpool-December-1-2021-Premier-League
12,2021-08-14,Mon,Matchweek 15,Home,W 2–1,Everton,Arsenal,Y,FW,65,20,0,0,7,13,1,20,0,0,,0,,12,42,13,1,0,0,2,0,17,7,/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League
13,2021-08-14,Sun,Matchweek 16,Away,L 1–3,Everton,Crystal Palace,Y,"RM,AM",90,40,2,10,7,23,2,40,4,1,25.0,3,75.0,18,79,25,0,0,0,1,2,20,7,/en/matches/02abf29a/Crystal-Palace-Everton-December-12-2021-Premier-League
14,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-08-14,Sat,Matchweek 22,Away,L 1–2,Everton,Norwich City,N,"On matchday squad, but did not play",/en/matches/4574a1a6/Norwich-City-Everton-January-15-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2021-08-14,Sat,Matchweek 23,Home,L 0–1,Everton,Aston Villa,Y,RM,55,30,2,5,10,16,1,30,5,4,80.0,1,20.0,20,153,77,1,0,0,4,2,18,3,/en/matches/83bac3da/Everton-Aston-Villa-January-22-2022-Premier-League
17,2021-08-14,Tue,Matchweek 24,Away,L 1–3,Everton,Newcastle Utd,Y,WB,90,46,1,7,19,20,2,46,2,1,50.0,1,50.0,23,95,39,1,1,0,1,3,24,7,/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League
18,2021-08-14,Sat,Matchweek 25,Home,W 3–0,Everton,Leeds United,N,"On matchday squad, but did not play",/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
19,2021-08-14,Sat,Matchweek 26,Away,L 0–2,Everton,Southampton,N,RM,26,14,0,3,5,6,0,14,2,1,50.0,1,50.0,9,50,19,1,0,0,1,0,9,4,/en/matches/53cc3dbd/Southampton-Everton-February-19-2022-Premier-League
20,2021-08-14,Sat,Matchweek 27,Home,L 0–1,Everton,Manchester City,N,"On matchday squad, but did not play",/en/matches/ab729bd6/Everton-Manchester-City-February-26-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
