,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-16,Wed,EFL Cup,Second round,Home,W 3–0,Everton,Salford City,Y,AM,90,0,1,0,0,8,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ece40780/Everton-Salford-City-September-16-2020-EFL-Cup
1,2020-09-23,Wed,EFL Cup,Third round,Away,W 5–2,Everton,Fleetwood Town,N,,45,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/70412de8/Fleetwood-Town-Everton-September-23-2020-EFL-Cup
2,2020-10-25,Sun,Premier League,Matchweek 6,Away,L 0–2,Everton,Southampton,N,"RM,RW",33,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,2,9,2,3,1,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
3,2020-11-08,Sun,PL2 — Div. 1,Matchweek 8,Home,W 2–0,Everton,Chelsea,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4ddfffe2/Everton-U23-Chelsea-U23-November-8-2020-Premier-League-2----Division-1
4,2020-12-16,Wed,Premier League,Matchweek 13,Away,W 2–0,Everton,Leicester City,N,"RM,FW",1,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
5,2020-12-26,Sat,Premier League,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,Y,LW,54,0,0,0,0,0,0,0,0,24,1,1,1,0.0,0.0,0.0,1,0,10,13,76.9,0,15,1,3,1,/en/matches/870d9436/Sheffield-United-Everton-December-26-2020-Premier-League
6,2021-01-09,Sat,FA Cup,Third round proper,Home,W 2–1,Everton,Rotherham Utd,Y,AM,60,0,1,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e562a9d8/Everton-Rotherham-United-January-9-2021-FA-Cup
7,2021-01-24,Sun,FA Cup,Fourth round proper,Home,W 3–0,Everton,Sheffield Weds,N,,15,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/dcd059b7/Everton-Sheffield-Wednesday-January-24-2021-FA-Cup
8,2021-02-06,Sat,Championship,Matchweek 28,Home,L 1–2,Preston,Rotherham Utd,Y,LW,65,0,0,0,0,3,0,0,0,35,0,0,1,0.2,0.2,0.0,4,1,12,25,48.0,0,22,5,3,1,/en/matches/8459cca8/Preston-North-End-Rotherham-United-February-6-2021-Championship
9,2021-02-16,Tue,Championship,Matchweek 30,Home,L 0–1,Preston,Watford,N,LW,29,0,0,0,0,1,0,0,0,22,0,1,0,0.0,0.0,0.1,4,0,11,15,73.3,1,12,1,1,1,/en/matches/ab4f6f73/Preston-North-End-Watford-February-16-2021-Championship
