,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 0–2,Manchester Utd,Tottenham,N,FW,6,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,100.0,1.0,6.0,0.0,1.0,0.0,/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,W 3–2,Manchester Utd,Nott'ham Forest,Y,FW,59,0,0,0,0,1,0,0,0,19.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,86.7,1.0,14.0,1.0,0.0,0.0,/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 1–3,Manchester Utd,Arsenal,Y,FW,66,0,0,0,0,1,1,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,12.0,91.7,2.0,10.0,1.0,0.0,0.0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,0.0,0.5,0.7083333333333334
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,Manchester Utd,Brighton,N,FW,27,0,0,0,0,0,0,0,0,10.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,70.0,0.0,7.0,0.0,1.0,1.0,/en/matches/ddcf2857/Manchester-United-Brighton-and-Hove-Albion-September-16-2023-Premier-League,0.0,0.3333333333333333,0.6666666666666666
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-20,Wed,Champions Lg,Group stage,Away,L 3–4,eng Manchester Utd,de Bayern Munich,N,FW,10,0,1,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.1,1.0,1.0,3.0,4.0,75.0,0.0,4.0,0.0,1.0,1.0,/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League,0.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-26,Tue,EFL Cup,Third round,Home,W 3–0,Manchester Utd,Crystal Palace,Y,FW,74,1,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d89d2a1a/Manchester-United-Crystal-Palace-September-26-2023-EFL-Cup,1.0,0.0,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–1,Manchester Utd,Crystal Palace,N,"RW,AM",14,0,0,0,0,0,0,0,0,14.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,12.0,13.0,92.3,2.0,9.0,1.0,0.0,0.0,/en/matches/ef2b7ab9/Manchester-United-Crystal-Palace-September-30-2023-Premier-League,0.0,0.3333333333333333,0.282051282051282
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-10-03,Tue,Champions Lg,Group stage,Home,L 2–3,eng Manchester Utd,tr Galatasaray,N,LB,2,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/1ad7d8f7/Manchester-United-Galatasaray-October-3-2023-Champions-League,0.0,0.3333333333333333,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-07,Sat,Premier League,Matchweek 8,Home,W 2–1,Manchester Utd,Brentford,N,AM,20,0,0,0,0,1,1,0,0,9.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,7.0,7.0,100.0,1.0,5.0,0.0,0.0,0.0,/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,1.0,0.3333333333333333,0.2142857142857142
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-21,Sat,Premier League,Matchweek 9,Away,W 2–1,Manchester Utd,Sheffield Utd,N,FW,28,0,0,0,0,0,0,0,0,12.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,10.0,0.0,0.0,0.0,/en/matches/d95b42eb/Sheffield-United-Manchester-United-October-21-2023-Premier-League,1.0,0.3333333333333333,0.0595238095238095
