,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-08-24,Wed,EFL Cup,Second round,Away,W 3–1,Bristol City,Wycombe,N,,21,1,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/0e66e627/Wycombe-Wanderers-Bristol-City-August-24-2022-EFL-Cup
1,2022-08-27,Sat,Championship,Matchweek 6,Away,D 3–3,Bristol City,Blackpool,N,WB,28,1,0,0,0,1,1,1,0,11,0,0,0,0.1,0.1,0.0,1,0,6,6,100.0,1,9,0,1,1,/en/matches/4aedb770/Blackpool-Bristol-City-August-27-2022-Championship
2,2022-08-31,Wed,Championship,Matchweek 7,Home,W 2–0,Bristol City,Huddersfield,N,FW,32,1,0,0,0,3,3,0,0,18,1,0,0,0.3,0.3,0.0,1,0,6,8,75.0,1,9,1,1,1,/en/matches/911f1100/Bristol-City-Huddersfield-Town-August-31-2022-Championship
3,2022-09-03,Sat,Championship,Matchweek 8,Away,W 3–2,Bristol City,Blackburn,N,FW,28,0,0,0,0,1,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,3,5,60.0,1,6,0,1,0,/en/matches/fba336c5/Blackburn-Rovers-Bristol-City-September-3-2022-Championship
4,2022-09-14,Wed,Championship,Matchweek 10,Away,L 2–3,Bristol City,Norwich City,N,AM,23,1,0,0,0,3,1,0,0,15,0,0,0,0.5,0.5,0.0,0,0,5,8,62.5,1,8,0,1,0,/en/matches/e82bcf87/Norwich-City-Bristol-City-September-14-2022-Championship
5,2022-09-17,Sat,Championship,Matchweek 11,Away,L 1–2,Bristol City,Burnley,N,FW,45,0,0,0,0,2,0,0,0,10,1,0,0,0.2,0.2,0.0,0,0,1,3,33.3,0,5,1,0,0,/en/matches/366a9fd8/Burnley-Bristol-City-September-17-2022-Championship
6,2022-09-23,Fri,Friendlies (M),Friendlies (M),Neutral,L 0–3,gh Ghana,br Brazil,N,,19,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/756dc6e1/Brazil-Ghana-September-23-2022-Friendlies-M
7,2022-09-27,Tue,Friendlies (M),Friendlies (M),Neutral,W 1–0,gh Ghana,ni Nicaragua,N,,4,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/dc0fc875/Nicaragua-Ghana-September-27-2022-Friendlies-M
8,2022-10-01,Sat,Championship,Matchweek 12,Home,L 1–2,Bristol City,QPR,N,"RW,FW",45,0,0,0,0,1,0,0,0,23,1,0,2,0.0,0.0,0.5,2,1,7,15,46.7,2,12,1,2,2,/en/matches/db570c73/Bristol-City-Queens-Park-Rangers-October-1-2022-Championship
9,2022-10-04,Tue,Championship,Matchweek 13,Home,D 0–0,Bristol City,Coventry City,Y,FW,75,0,0,0,0,1,1,0,0,34,0,0,3,0.1,0.1,0.0,0,0,16,27,59.3,2,20,4,4,2,/en/matches/f286c4ee/Bristol-City-Coventry-City-October-4-2022-Championship
