,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-25,Wed,EFL Cup,Second round,Away,W 8–0,Southampton,Newport County,Y,FW,64,2,0,0,0,3.0,3.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/ea9d95ea/Newport-County-Southampton-August-25-2021-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-28,Sat,Premier League,Matchweek 3,Away,D 2–2,Southampton,Newcastle Utd,N,FW,20,0,0,0,0,0.0,0.0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,3.0,0.0,0.0,0.0,/en/matches/d81af076/Newcastle-United-Southampton-August-28-2021-Premier-League,0.5,0.5,0.3461538461538461
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-05,Sun,WCQ,First round,Home,W 1–0,al Albania,hu Hungary,N,,13,1,0,0,0,1.0,1.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/4d5bbeea/Albania-Hungary-September-5-2021-WCQ----UEFA-M,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-08,Wed,WCQ,First round,Home,W 5–0,al Albania,sm San Marino,N,,45,1,2,0,0,4.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8f3be455/Albania-San-Marino-September-8-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-11,Sat,Premier League,Matchweek 4,Home,D 0–0,Southampton,West Ham,N,FW,17,0,0,0,0,2.0,0.0,0,0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0.5,0.8333333333333334,0.7051282051282051
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-18,Sat,Premier League,Matchweek 5,Away,D 0–0,Southampton,Manchester City,N,FW,23,0,0,0,0,1.0,0.0,0,0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,6.0,16.7,0.0,6.0,1.0,0.0,0.0,/en/matches/1576c578/Manchester-City-Southampton-September-18-2021-Premier-League,0.5,0.8333333333333334,0.7976190476190476
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-21,Tue,EFL Cup,Third round,Away,D 2 (4)–2 (2),Southampton,Sheffield Utd,Y,FW,120,0,0,0,0,2.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0d6f7957/Sheffield-United-Southampton-September-21-2021-EFL-Cup,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-26,Sun,Premier League,Matchweek 6,Home,L 0–1,Southampton,Wolves,N,FW,27,0,0,0,0,0.0,0.0,0,0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,2.0,0.0,1.0,0.0,/en/matches/d99f984c/Southampton-Wolverhampton-Wanderers-September-26-2021-Premier-League,0.0,0.5,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-09,Sat,WCQ,First round,Away,W 1–0,al Albania,hu Hungary,N,,25,1,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/277a16ae/Hungary-Albania-October-9-2021-WCQ----UEFA-M,1.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-12,Tue,WCQ,First round,Home,L 0–1,al Albania,pl Poland,N,,33,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/7a07b04e/Albania-Poland-October-12-2021-WCQ----UEFA-M,0.0,0.5,0.5
