,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-17,Sat,Matchweek 4,Home,W 2–0,West Ham,Norwich City,Y,LB,90,0,0,0,1,2,0,2,2,4,0,0,0,4,0,0,,/en/matches/164148a8/West-Ham-United-Norwich-City-August-31-2019-Premier-League
1,2019-08-17,Mon,Matchweek 5,Away,D 0–0,West Ham,Aston Villa,Y,LB,66,2,1,1,1,0,0,2,0,2,0,0,0,4,1,0,100.0,/en/matches/b26df467/Aston-Villa-West-Ham-United-September-16-2019-Premier-League
2,2019-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-17,Sat,Matchweek 9,Away,L 0–2,West Ham,Everton,Y,LB,90,0,0,0,2,0,0,1,3,1,0,0,0,6,1,2,33.3,/en/matches/0fa45675/Everton-West-Ham-United-October-19-2019-Premier-League
4,2019-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-17,Sat,Matchweek 14,Away,W 1–0,West Ham,Chelsea,N,LM,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,/en/matches/aa1ff9cd/Chelsea-West-Ham-United-November-30-2019-Premier-League
6,2019-08-17,Wed,Matchweek 15,Away,L 0–2,West Ham,Wolves,N,"On matchday squad, but did not play",/en/matches/292d0f46/Wolverhampton-Wanderers-West-Ham-United-December-4-2019-Premier-League,,,,,,,,,,,,,,,,,
7,2019-08-17,Mon,Matchweek 16,Home,L 1–3,West Ham,Arsenal,N,LB,40,0,0,0,0,0,0,3,1,1,0,0,0,5,0,1,0.0,/en/matches/a48c4638/West-Ham-United-Arsenal-December-9-2019-Premier-League
8,2019-08-17,Sat,Matchweek 17,Away,W 1–0,West Ham,Southampton,N,"On matchday squad, but did not play",/en/matches/a47901a8/Southampton-West-Ham-United-December-14-2019-Premier-League,,,,,,,,,,,,,,,,,
9,2019-08-17,Thu,Matchweek 19,Away,L 1–2,West Ham,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/048fa915/Crystal-Palace-West-Ham-United-December-26-2019-Premier-League,,,,,,,,,,,,,,,,,
10,2019-08-17,Sat,Matchweek 20,Home,L 1–2,West Ham,Leicester City,Y,LB,90,1,0,0,1,0,0,3,1,4,0,0,0,7,0,0,,/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League
11,2019-08-17,Wed,Matchweek 21,Home,W 4–0,West Ham,Bournemouth,N,RM,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League
12,2019-08-17,Fri,Matchweek 22,Away,L 0–1,West Ham,Sheffield Utd,Y,WB,68,0,0,0,0,1,0,3,1,1,0,0,0,3,1,3,25.0,/en/matches/c5f47ccb/Sheffield-United-West-Ham-United-January-10-2020-Premier-League
13,2019-08-17,Sat,Matchweek 23,Home,D 1–1,West Ham,Everton,N,LM,31,0,0,0,0,1,0,2,1,1,0,0,0,2,1,1,50.0,/en/matches/d4898eac/West-Ham-United-Everton-January-18-2020-Premier-League
