,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-11,Sat,Matchweek 4,Home,W 3–1,Leicester City,Bournemouth,Y,"LB,WB",90,82,2,19,46,17,0,82,0,0,,0,,47,200,82,1,0,0,0,1,54,1,/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League
1,2019-08-11,Sat,Matchweek 5,Away,L 0–1,Leicester City,Manchester Utd,Y,LB,90,88,1,21,39,28,1,88,2,1,50.0,1,50.0,52,248,108,1,0,0,3,0,58,10,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League
2,2019-08-11,Sat,Matchweek 6,Home,W 2–1,Leicester City,Tottenham,Y,LB,90,86,3,31,38,17,1,86,2,0,0.0,2,100.0,54,307,191,4,0,1,3,0,54,4,/en/matches/e30adc4b/Leicester-City-Tottenham-Hotspur-September-21-2019-Premier-League
3,2019-08-11,Sun,Matchweek 7,Home,W 5–0,Leicester City,Newcastle Utd,Y,LB,90,129,2,18,67,44,4,129,2,2,100.0,0,0.0,92,373,233,7,4,0,1,1,100,8,/en/matches/40d77688/Leicester-City-Newcastle-United-September-29-2019-Premier-League
4,2019-08-11,Sat,Matchweek 8,Away,L 1–2,Leicester City,Liverpool,Y,LB,90,94,2,31,42,23,2,94,3,1,33.3,2,66.7,55,263,138,4,4,1,1,2,62,9,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League
5,2019-08-11,Sat,Matchweek 9,Home,W 2–1,Leicester City,Burnley,Y,"LB,WB",90,117,4,35,55,27,0,117,1,0,0.0,1,100.0,66,334,181,3,1,0,0,0,78,6,/en/matches/3529c097/Leicester-City-Burnley-October-19-2019-Premier-League
6,2019-08-11,Fri,Matchweek 10,Away,W 9–0,Leicester City,Southampton,Y,LB,90,128,1,28,57,43,3,128,5,1,20.0,4,80.0,80,376,213,5,3,1,3,2,99,15,/en/matches/3e9712d7/Southampton-Leicester-City-October-25-2019-Premier-League
7,2019-08-11,Sun,Matchweek 11,Away,W 2–0,Leicester City,Crystal Palace,Y,"LB,WB,LW",90,63,3,18,28,18,2,63,0,0,,0,,42,183,130,2,1,0,1,1,42,4,/en/matches/25d28387/Crystal-Palace-Leicester-City-November-3-2019-Premier-League
8,2019-08-11,Sat,Matchweek 12,Home,W 2–0,Leicester City,Arsenal,Y,LB,90,62,4,11,30,21,2,62,2,0,0.0,2,100.0,32,179,104,2,3,0,3,0,31,4,/en/matches/8e13e609/Leicester-City-Arsenal-November-9-2019-Premier-League
9,2019-08-11,Sat,Matchweek 13,Away,W 2–0,Leicester City,Brighton,Y,LB,90,85,3,20,44,25,0,85,1,1,100.0,0,0.0,55,400,262,9,4,0,0,1,54,2,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League
10,2019-08-11,Sun,Matchweek 14,Home,W 2–1,Leicester City,Everton,Y,LB,90,111,4,28,57,26,1,111,0,0,,0,,71,431,265,5,3,0,0,0,78,9,/en/matches/aa2284c2/Leicester-City-Everton-December-1-2019-Premier-League
11,2019-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-08-11,Sun,Matchweek 16,Away,W 4–1,Leicester City,Aston Villa,Y,LB,79,51,2,11,16,24,3,51,2,0,0.0,2,100.0,27,228,156,4,4,2,1,0,32,6,/en/matches/559e812a/Aston-Villa-Leicester-City-December-8-2019-Premier-League
13,2019-08-11,Sat,Matchweek 17,Home,D 1–1,Leicester City,Norwich City,Y,LB,90,97,4,21,48,31,3,97,2,1,50.0,1,50.0,63,448,271,6,8,1,1,1,61,8,/en/matches/3b2eb152/Leicester-City-Norwich-City-December-14-2019-Premier-League
14,2019-08-11,Sat,Matchweek 18,Away,L 1–3,Leicester City,Manchester City,Y,LB,90,59,4,32,23,5,0,59,4,2,50.0,2,50.0,35,146,75,1,1,0,0,1,35,0,/en/matches/733c0243/Manchester-City-Leicester-City-December-21-2019-Premier-League
15,2019-08-11,Thu,Matchweek 19,Home,L 0–4,Leicester City,Liverpool,Y,LB,90,62,7,29,16,18,1,62,0,0,,0,,34,190,112,4,5,1,2,0,33,2,/en/matches/4b8063da/Leicester-City-Liverpool-December-26-2019-Premier-League
16,2019-08-11,Sat,Matchweek 20,Away,W 2–1,Leicester City,West Ham,N,"On matchday squad, but did not play",/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
17,2019-08-11,Wed,Matchweek 21,Away,W 3–0,Leicester City,Newcastle Utd,Y,LW,90,91,2,7,48,37,1,91,1,0,0.0,1,100.0,49,241,105,4,2,1,2,1,74,15,/en/matches/a7902bb1/Newcastle-United-Leicester-City-January-1-2020-Premier-League
