,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Chelsea,Y,CB,17,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0,Match Report
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mon,Premier League,Matchweek 17,Home,L 1–2,Everton,Wolves,N,CB,15,0,0,0,0,1,0,0,0,21,0,0,0,0.5,0.5,0.0,0,0,18,19,94.7,0,15,0,0,0,Match Report
3,Sat,Premier League,Matchweek 18,Away,D 1–1,Everton,Manchester City,Y,CB,89,0,0,0,0,0,0,0,0,38,1,1,3,0.0,0.0,0.0,0,0,25,29,86.2,3,27,0,2,1,Match Report
4,Tue,Premier League,Matchweek 19,Home,L 1–4,Everton,Brighton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fri,FA Cup,Third round proper,Away,L 1–3,Everton,Manchester Utd,Y,CB,90,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,Match Report
6,Sat,Premier League,Matchweek 20,Home,L 1–2,Everton,Southampton,Y,CB,90,0,0,0,0,2,0,0,0,44,3,1,2,0.5,0.5,0.1,1,0,22,34,64.7,2,15,0,0,0,Match Report
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat,Premier League,Matchweek 22,Home,W 1–0,Everton,Arsenal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mon,Premier League,Matchweek 23,Away,L 0–2,Everton,Liverpool,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat,Premier League,Matchweek 24,Home,W 1–0,Everton,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sat,Premier League,Matchweek 25,Home,L 0–2,Everton,Aston Villa,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Wed,Premier League,Matchweek 7,Away,L 0–4,Everton,Arsenal,N,RB,30,0,0,0,0,0,0,1,0,11,0,0,1,0.0,0.0,0.1,1,0,3,6,50.0,0,4,1,0,0,Match Report
13,Sun,Premier League,Matchweek 26,Away,D 2–2,Everton,Nott'ham Forest,Y,LB,90,0,0,0,0,0,0,1,0,56,2,3,0,0.0,0.0,0.0,0,0,17,38,44.7,1,16,2,0,0,Match Report
14,Sat,Premier League,Matchweek 27,Home,W 1–0,Everton,Brentford,Y,"LB,CB",90,0,0,0,0,0,0,0,0,35,4,0,0,0.0,0.0,0.0,0,0,12,24,50.0,0,14,1,1,0,Match Report
15,Sat,Premier League,Matchweek 28,Away,D 2–2,Everton,Chelsea,Y,"LB,RB",90,0,0,0,0,1,0,0,0,38,1,1,1,0.0,0.0,0.0,0,0,13,25,52.0,1,6,0,0,0,Match Report
16,Mon,Premier League,Matchweek 29,Home,D 1–1,Everton,Tottenham,Y,"LB,RB",90,0,1,0,0,1,0,0,0,54,3,1,1,0.1,0.1,0.0,1,1,30,39,76.9,3,30,1,3,1,Match Report
17,Sat,Premier League,Matchweek 30,Away,L 0–2,Everton,Manchester Utd,Y,LB,45,0,0,0,0,0,0,0,0,14,3,0,2,0.0,0.0,0.0,0,0,6,10,60.0,1,6,2,0,0,Match Report
18,Sat,Premier League,Matchweek 31,Home,L 1–3,Everton,Fulham,Y,RB,57,0,0,0,0,1,0,0,0,29,1,0,1,0.1,0.1,0.0,0,0,13,23,56.5,3,13,0,0,0,Match Report
19,Sat,Premier League,Matchweek 32,Away,D 0–0,Everton,Crystal Palace,N,RB,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,0,0,Match Report
20,Thu,Premier League,Matchweek 33,Home,L 1–4,Everton,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,0,0,36,1,1,1,0.0,0.0,0.0,1,1,16,24,66.7,5,11,2,2,1,Match Report
21,,,,,1-5-8,,,11/14,,892,0,1,0,0,6,0,3,0,391,20,9,12,1.2,1.2,0.2,4,2,182,281,64.8,19,162,9,8,3,
