,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-10,Sun,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y*,CB,90,46,8,30,15,1,1,46,0,0,,0,,19,64,23,0,0,0,0,0,18,0,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League
1,2019-08-10,Sat,Matchweek 4,Home,L 0–3,Burnley,Liverpool,Y*,CB,90,42,8,20,22,0,0,42,0,0,,0,,14,27,11,0,0,0,0,0,10,0,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League
2,2019-08-10,Sat,Matchweek 5,Away,D 1–1,Burnley,Brighton,Y*,CB,90,41,10,21,20,0,0,41,0,0,,0,,17,89,53,0,0,0,0,0,16,0,/en/matches/1d3bbc27/Brighton-and-Hove-Albion-Burnley-September-14-2019-Premier-League
3,2019-08-10,Sat,Matchweek 6,Home,W 2–0,Burnley,Norwich City,Y*,CB,90,34,7,11,23,0,0,34,0,0,,0,,15,86,27,0,0,0,0,0,16,0,/en/matches/f97b0ce8/Burnley-Norwich-City-September-21-2019-Premier-League
4,2019-08-10,Sat,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,Y*,CB,90,43,8,17,25,1,1,43,0,0,,0,,19,74,16,0,0,0,0,0,20,0,/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League
5,2019-08-10,Sat,Matchweek 8,Home,W 1–0,Burnley,Everton,Y*,CB,90,44,8,18,23,3,3,44,0,0,,0,,15,69,38,0,0,0,0,0,17,1,/en/matches/2f9439d0/Burnley-Everton-October-5-2019-Premier-League
6,2019-08-10,Sat,Matchweek 9,Away,L 1–2,Burnley,Leicester City,Y*,CB,90,33,4,10,21,2,2,33,0,0,,0,,14,64,31,0,0,0,0,0,15,0,/en/matches/3529c097/Leicester-City-Burnley-October-19-2019-Premier-League
7,2019-08-10,Sat,Matchweek 10,Home,L 2–4,Burnley,Chelsea,Y*,CB,90,63,6,24,40,2,1,63,0,0,,0,,35,122,49,0,0,0,1,0,33,0,/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League
8,2019-08-10,Sat,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,Y*,CB,90,79,7,37,42,2,1,79,0,0,,0,,42,189,77,0,0,0,0,0,44,0,/en/matches/21606115/Sheffield-United-Burnley-November-2-2019-Premier-League
9,2019-08-10,Sat,Matchweek 12,Home,W 3–0,Burnley,West Ham,Y*,CB,90,45,6,20,22,4,4,45,1,1,100.0,0,0.0,17,90,35,0,0,0,0,0,19,0,/en/matches/559f666e/Burnley-West-Ham-United-November-9-2019-Premier-League
10,2019-08-10,Sat,Matchweek 13,Away,W 3–0,Burnley,Watford,Y*,CB,90,39,8,23,15,1,1,39,0,0,,0,,16,72,34,0,0,0,0,0,16,0,/en/matches/d4aea4c0/Watford-Burnley-November-23-2019-Premier-League
11,2019-08-10,Sat,Matchweek 14,Home,L 0–2,Burnley,Crystal Palace,Y*,CB,90,78,6,29,47,4,3,78,1,1,100.0,0,0.0,34,175,98,1,0,0,3,1,39,1,/en/matches/86428aca/Burnley-Crystal-Palace-November-30-2019-Premier-League
12,2019-08-10,Tue,Matchweek 15,Home,L 1–4,Burnley,Manchester City,Y*,CB,90,38,10,21,15,2,0,38,1,0,0.0,1,100.0,15,63,29,1,0,0,0,0,19,1,/en/matches/4d718594/Burnley-Manchester-City-December-3-2019-Premier-League
13,2019-08-10,Sat,Matchweek 16,Away,L 0–5,Burnley,Tottenham,Y*,CB,90,85,6,32,52,1,0,85,0,0,,0,,53,236,86,1,0,0,2,0,55,0,/en/matches/56da163b/Tottenham-Hotspur-Burnley-December-7-2019-Premier-League
14,2019-08-10,Sat,Matchweek 17,Home,W 1–0,Burnley,Newcastle Utd,Y*,CB,90,62,3,23,40,1,1,62,0,0,,0,,36,168,98,0,0,0,1,0,36,0,/en/matches/4c3c57fa/Burnley-Newcastle-United-December-14-2019-Premier-League
15,2019-08-10,Sat,Matchweek 18,Away,W 1–0,Burnley,Bournemouth,Y*,CB,90,27,8,18,8,1,0,27,0,0,,0,,11,57,8,0,0,0,0,0,11,0,/en/matches/e8b74ca0/Bournemouth-Burnley-December-21-2019-Premier-League
16,2019-08-10,Thu,Matchweek 19,Away,L 0–1,Burnley,Everton,Y*,CB,90,54,8,34,19,1,1,54,0,0,,0,,17,64,20,0,0,0,1,0,20,0,/en/matches/b23c6c90/Everton-Burnley-December-26-2019-Premier-League
17,2019-08-10,Sat,Matchweek 20,Home,L 0–2,Burnley,Manchester Utd,Y*,CB,90,43,2,23,18,2,2,43,0,0,,0,,20,81,53,0,0,0,0,0,22,0,/en/matches/f66bbb03/Burnley-Manchester-United-December-28-2019-Premier-League
18,2019-08-10,Wed,Matchweek 21,Home,L 1–2,Burnley,Aston Villa,Y*,CB,90,79,6,29,50,0,0,79,0,0,,0,,29,101,49,0,0,0,0,0,47,0,/en/matches/ac409026/Burnley-Aston-Villa-January-1-2020-Premier-League
19,2019-08-10,Sat,Matchweek 22,Away,L 0–3,Burnley,Chelsea,Y*,CB,90,50,12,31,18,1,1,50,1,1,100.0,0,0.0,17,75,39,0,0,0,2,0,19,0,/en/matches/17a5a8ef/Chelsea-Burnley-January-11-2020-Premier-League
20,2019-08-10,Sun,Matchweek 23,Home,W 2–1,Burnley,Leicester City,Y*,CB,90,54,4,25,26,5,4,54,1,1,100.0,0,0.0,24,92,51,0,0,0,0,1,28,1,/en/matches/bd102a2b/Burnley-Leicester-City-January-19-2020-Premier-League
21,2019-08-10,Wed,Matchweek 24,Away,W 2–0,Burnley,Manchester Utd,Y*,CB,90,28,10,17,9,2,2,28,0,0,,0,,4,6,2,0,0,0,0,0,7,0,/en/matches/709e2aa4/Manchester-United-Burnley-January-22-2020-Premier-League
22,2019-08-10,Sun,Matchweek 25,Home,D 0–0,Burnley,Arsenal,Y*,CB,90,52,6,15,34,3,3,52,0,0,,0,,25,108,39,0,0,0,0,0,28,0,/en/matches/a6b40849/Burnley-Arsenal-February-2-2020-Premier-League
23,2019-08-10,Sat,Matchweek 26,Away,W 2–1,Burnley,Southampton,Y*,CB,90,50,10,31,20,0,0,50,1,1,100.0,0,0.0,21,83,38,0,0,0,1,0,17,0,/en/matches/738ade70/Southampton-Burnley-February-15-2020-Premier-League
24,2019-08-10,Sat,Matchweek 27,Home,W 3–0,Burnley,Bournemouth,Y*,CB,90,40,4,18,22,0,0,40,0,0,,0,,19,92,29,0,0,0,0,0,22,0,/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League
25,2019-08-10,Sat,Matchweek 28,Away,D 0–0,Burnley,Newcastle Utd,Y*,CB,90,55,7,24,30,3,2,55,0,0,,0,,20,131,38,1,0,0,2,0,22,1,/en/matches/5d623dc0/Newcastle-United-Burnley-February-29-2020-Premier-League
26,2019-08-10,Sat,Matchweek 29,Home,D 1–1,Burnley,Tottenham,Y*,CB,90,59,8,27,30,2,2,59,1,1,100.0,0,0.0,21,80,55,0,0,0,0,0,26,0,/en/matches/1b4c17ec/Burnley-Tottenham-Hotspur-March-7-2020-Premier-League
27,2019-08-10,Mon,Matchweek 30,Away,L 0–5,Burnley,Manchester City,Y*,CB,90,42,5,23,19,0,0,42,0,0,,0,,28,113,42,0,0,0,0,0,31,0,/en/matches/b1d3ebde/Manchester-City-Burnley-June-22-2020-Premier-League
28,2019-08-10,Thu,Matchweek 31,Home,W 1–0,Burnley,Watford,Y*,CB,90,63,8,38,24,1,1,63,0,0,,0,,35,170,85,1,0,0,0,1,35,0,/en/matches/965fbb94/Burnley-Watford-June-25-2020-Premier-League
29,2019-08-10,Mon,Matchweek 32,Away,W 1–0,Burnley,Crystal Palace,Y*,CB,90,62,8,31,30,1,1,62,0,0,,0,,27,105,64,0,0,0,0,0,39,0,/en/matches/d7661a5f/Crystal-Palace-Burnley-June-29-2020-Premier-League
