,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-16,Wed,EFL Cup,Second round,Home,W 3–0,Everton,Salford City,Y,AM,90,0,0,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,/en/matches/ece40780/Everton-Salford-City-September-16-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-23,Wed,EFL Cup,Third round,Away,W 5–2,Everton,Fleetwood Town,Y,CM,90,1,1,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,/en/matches/70412de8/Fleetwood-Town-Everton-September-23-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2020-10-25,Sun,Premier League,Matchweek 6,Away,L 0–2,Everton,Southampton,N,"LW,LM",45,0,0,0,0,0,0,1,0,41.0,1.0,3,1.0,0.0,0.0,0.2,3.0,0.0,26.0,31.0,83.9,3.0,25.0,0.0,2.0,2.0,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League,0.0,0.5,0.7179487179487178
3,3,3,3,3,3,3,3,3,3,3,3,3,2020-11-01,Sun,Premier League,Matchweek 7,Away,L 1–2,Everton,Newcastle Utd,N,AM,31,0,0,0,0,0,0,0,0,32.0,1.0,0,1.0,0.0,0.0,0.0,5.0,1.0,26.0,28.0,92.9,8.0,24.0,2.0,1.0,1.0,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League,0.0,0.6666666666666666,0.4404761904761905
4,4,4,4,4,4,4,4,4,4,4,4,4,2020-11-07,Sat,Premier League,Matchweek 8,Home,L 1–3,Everton,Manchester Utd,Y,"LW,LM",90,1,0,0,0,2,1,0,0,58.0,2.0,1,0.0,0.1,0.1,0.1,3.0,0.0,35.0,41.0,85.4,5.0,35.0,2.0,3.0,2.0,/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League,0.0,0.3333333333333333,0.4285714285714285
5,5,5,5,5,5,5,5,5,5,5,5,5,2020-11-28,Sat,Premier League,Matchweek 10,Home,L 0–1,Everton,Leeds United,N,LM,9,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,2.0,6.0,1.0,1.0,0.0,/en/matches/3eeb39c5/Everton-Leeds-United-November-28-2020-Premier-League,0.0,0.0,0.3571428571428571
6,6,6,6,6,6,6,6,6,6,6,6,6,2020-12-23,Wed,EFL Cup,Quarter-finals,Home,L 0–2,Everton,Manchester Utd,N,,35,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/6b313389/Everton-Manchester-United-December-23-2020-EFL-Cup,0.0,0.0,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,2020-12-26,Sat,Premier League,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,N,LW,36,0,0,0,0,1,0,1,0,26.0,1.0,1,0.0,0.1,0.1,0.0,1.0,1.0,16.0,21.0,76.2,1.0,14.0,1.0,1.0,1.0,/en/matches/870d9436/Sheffield-United-Everton-December-26-2020-Premier-League,1.0,0.0,0.1309523809523808
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-01-01,Fri,Premier League,Matchweek 17,Home,L 0–1,Everton,West Ham,Y,LW,63,0,0,0,0,1,1,0,0,43.0,0.0,0,1.0,0.0,0.0,0.1,2.0,0.0,22.0,33.0,66.7,2.0,27.0,3.0,4.0,0.0,/en/matches/0cd189c5/Everton-West-Ham-United-January-1-2021-Premier-League,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,2021-01-09,Sat,FA Cup,Third round proper,Home,W 2–1,Everton,Rotherham Utd,N,,60,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e562a9d8/Everton-Rotherham-United-January-9-2021-FA-Cup,1.0,0.3333333333333333,0.5
