,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
0,2023-08-06,Sun,Community Shield,FA Community Shield,Neutral,D 1 (1)–1 (4),Manchester City,Arsenal,Y,AM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,3,,,,,,
1,2023-08-11,Fri,Premier League,Matchweek 1,Away,W 3–0,Manchester City,Burnley,Y,"CM,RW",90,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.0,0,0,61,70,87.1,3,58,2,0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,830,149,0.0,0,6,0,0,67,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.0,0,0,1,0,1,1,0,0.0,1,100.0,0,0,0,59,3,0,0,0,0,0,4,0,0.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Manchester City,Sheffield Utd,Y,"RW,DM",90,0,0,0,0,0,0,0,0,61,1,0,1,0.0,0.0,0.7,11,0,47,55,85.5,9,50,11,1,https://fbref.com/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League,866,201,0.8,4,2,5,2,51,3,2,0,0,4,1,0,0,0,0,1,9,0,0,2,0,1,0,0,1,100.0,0,1,1,0,0,1,4,50.0,1,50.0,3,1,2,55,15,0,0,0,0,0,1,0,
4,2023-09-02,Sat,Premier League,Matchweek 4,Home,W 5–1,Manchester City,Fulham,N,DM,15,0,0,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.0,0,0,21,22,95.5,0,15,0,0,https://fbref.com/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,305,82,0.0,0,1,0,0,20,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,18,0,0,1,0,0,0,2,0,
5,2023-09-08,Fri,Euro Qualifying,Group stage,Away,W 1–0,pt Portugal,sk Slovakia,Y,FW,90,0,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/ef6f2db5/Slovakia-Portugal-September-8-2023-Euro-Qualifying,,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
6,2023-09-11,Mon,Euro Qualifying,Group stage,Home,W 9–0,pt Portugal,lu Luxembourg,Y*,AM,60,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/3631b2f7/Portugal-Luxembourg-September-11-2023-Euro-Qualifying,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,
7,2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Manchester City,West Ham,Y,"DM,RW",89,1,1,0,0,1,1,0,0,79,1,0,0,0.4,0.4,0.4,9,2,71,75,94.7,12,71,6,1,https://fbref.com/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,1158,254,0.6,4,1,5,1,73,2,1,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,25.0,3,0,1,0,0,0,2,100.0,0,0.0,0,2,1,71,9,0,1,0,0,0,1,0,
8,2023-09-19,Tue,Champions Lg,Group stage,Home,W 3–1,eng Manchester City,rs Red Star,Y,RW,43,0,0,0,0,3,1,0,0,38,2,0,2,0.2,0.2,0.0,4,0,25,30,83.3,3,24,2,0,https://fbref.com/en/matches/3d87750d/Manchester-City-Red-Star-Belgrade-September-19-2023-Champions-League,382,63,0.1,1,0,2,0,29,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,66.7,1,2,2,0,0,0,9,,0,,2,1,0,27,7,0,0,0,0,0,0,0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2023-10-04,Wed,Champions Lg,Group stage,Away,W 3–1,eng Manchester City,de RB Leipzig,Y,RW,86,0,0,0,0,3,0,0,0,62,0,0,0,0.4,0.4,0.1,4,1,49,55,89.1,8,41,8,1,https://fbref.com/en/matches/2dd697fb/RB-Leipzig-Manchester-City-October-4-2023-Champions-League,732,167,0.2,1,2,4,1,51,4,0,0,0,2,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,5,33.3,1,33.3,3,1,2,55,16,0,0,0,0,0,1,1,100.0
