,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-31,Sat,Matchweek 11,Away,W 2–1,Chelsea,Watford,N,"On matchday squad, but did not play",/en/matches/0b8b7f66/Watford-Chelsea-November-2-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2019-08-31,Sat,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,N,AM,4,4,4,100.0,49,23,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,1,0,0,0,1,/en/matches/99680077/Chelsea-Crystal-Palace-November-9-2019-Premier-League
2,2019-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-31,Sat,Matchweek 27,Home,W 2–1,Chelsea,Tottenham,N,"On matchday squad, but did not play",/en/matches/fdd364a6/Chelsea-Tottenham-Hotspur-February-22-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-31,Sat,Matchweek 28,Away,D 2–2,Chelsea,Bournemouth,N,"On matchday squad, but did not play",/en/matches/57d79762/Bournemouth-Chelsea-February-29-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-31,Sun,Matchweek 29,Home,W 4–0,Chelsea,Everton,Y,"CM,LM",90,73,81,90.1,1196,297,38,42,90.5,30,30,100.0,5,7,71.4,0,0.0,0.1,1,2,1,0,7,/en/matches/c062bff0/Chelsea-Everton-March-8-2020-Premier-League
6,2019-08-31,Sun,Matchweek 30,Away,W 2–1,Chelsea,Aston Villa,N,"On matchday squad, but did not play",/en/matches/827d4651/Aston-Villa-Chelsea-June-21-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2019-08-31,Thu,Matchweek 31,Home,W 2–1,Chelsea,Manchester City,N,LW,1,1,2,50.0,48,33,0,0,,0,1,0.0,1,1,100.0,0,0.1,0.0,1,1,0,0,1,/en/matches/bc237647/Chelsea-Manchester-City-June-25-2020-Premier-League
8,2019-08-31,Wed,Matchweek 32,Away,L 2–3,Chelsea,West Ham,N,"On matchday squad, but did not play",/en/matches/5df18070/West-Ham-United-Chelsea-July-1-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2019-08-31,Sat,Matchweek 33,Home,W 3–0,Chelsea,Watford,N,CM,13,9,10,90.0,124,29,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/ee7944f1/Chelsea-Watford-July-4-2020-Premier-League
10,2019-08-31,Tue,Matchweek 34,Away,W 3–2,Chelsea,Crystal Palace,Y,CM,79,63,69,91.3,1173,259,24,26,92.3,29,30,96.7,8,10,80.0,0,0.0,0.0,1,3,0,0,2,/en/matches/61407f3d/Crystal-Palace-Chelsea-July-7-2020-Premier-League
