,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,PL2 — Div. 1,Matchweek 5,Home,W 2–1,Chelsea,Brighton,Y,DM,60,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Sat,PL2 — Div. 1,Matchweek 6,Away,W 2–0,Chelsea,Southampton,Y,DM,75,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
2,Wed,EFL Cup,Third round,Home,W 7–1,Chelsea,Grimsby Town,Y,AM,90,1,0,0,0,6,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,Sat,Premier League,Matchweek 7,Home,W 2–0,Chelsea,Brighton,N,LW,28,0,1,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.1,1,1,21,24,87.5,1,18,2,0,0,Match Report
4,Wed,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,fr Lille,N,LW,24,0,1,0,0,1,0,0,0,12,0,0,1,0.0,0.0,0.0,2,2,8,10,80.0,0,9,1,1,1,Match Report
5,Sun,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Southampton,Y,LW,79,0,1,0,0,2,1,0,0,43,0,2,2,0.4,0.4,0.1,5,1,26,32,81.3,3,33,6,3,0,Match Report
6,Sat,Premier League,Matchweek 9,Home,W 1–0,Chelsea,Newcastle Utd,Y,LW,89,0,1,0,0,2,0,0,0,60,0,0,0,0.1,0.1,0.6,8,1,39,54,72.2,6,42,7,4,3,Match Report
7,Wed,Champions Lg,Group stage,Away,W 1–0,eng Chelsea,nl Ajax,Y,"LW,RW",89,0,0,0,0,2,0,0,0,41,1,0,0,0.1,0.1,0.2,4,0,23,32,71.9,2,26,4,2,1,Match Report
8,Sat,Premier League,Matchweek 10,Away,W 4–2,Chelsea,Burnley,N,LW,19,0,0,0,0,1,1,1,0,12,0,0,0,0.0,0.0,0.0,2,0,9,9,100.0,1,13,3,1,1,Match Report
9,Wed,EFL Cup,Fourth round,Home,L 1–2,Chelsea,Manchester Utd,Y,FW,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
10,Sat,Premier League,Matchweek 11,Away,W 2–1,Chelsea,Watford,N,"LW,AM",8,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,10,0,2,1,Match Report
11,Tue,Champions Lg,Group stage,Home,D 4–4,eng Chelsea,nl Ajax,N,LW,31,0,0,0,0,2,0,0,0,20,0,1,0,0.1,0.1,0.4,5,1,13,14,92.9,3,18,6,1,1,Match Report
12,Sat,Premier League,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,N,LW,11,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,1,0,0,Match Report
13,Thu,UEFA Euro Qualifying,Group stage,Home,W 7–0,eng England,me Montenegro,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Sun,UEFA Euro Qualifying,Group stage,Away,W 4–0,eng England,xk Kosovo,Y,FW,58,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
15,Sat,Premier League,Matchweek 14,Home,L 0–1,Chelsea,West Ham,N,LW,20,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,3,14,0,8,6,Match Report
16,Wed,Premier League,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,N,"LW,RW",5,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,4,3,2,2,Match Report
17,Sat,Premier League,Matchweek 16,Away,L 1–3,Chelsea,Everton,N,"WB,RW",20,0,0,0,0,1,0,0,0,14,1,0,1,0.0,0.0,0.0,2,0,8,11,72.7,2,10,2,1,1,Match Report
18,Tue,Champions Lg,Group stage,Home,W 2–1,eng Chelsea,fr Lille,N,LW,29,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.0,2,0,11,14,78.6,1,17,2,5,4,Match Report
19,Sat,Premier League,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,N,"AM,RW",26,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,14,18,77.8,2,18,4,1,0,Match Report
20,Sun,Premier League,Matchweek 18,Away,W 2–0,Chelsea,Tottenham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Thu,Premier League,Matchweek 19,Home,L 0–2,Chelsea,Southampton,Y,"AM,RW",66,0,0,0,0,3,0,0,0,42,2,0,0,0.1,0.1,0.1,1,0,25,31,80.6,5,32,3,2,0,Match Report
22,Sun,Premier League,Matchweek 20,Away,W 2–1,Chelsea,Arsenal,N,LW,21,0,0,0,0,1,0,0,0,25,0,0,0,0.0,0.0,0.0,1,0,17,20,85.0,1,19,2,4,2,Match Report
23,Wed,Premier League,Matchweek 21,Away,D 1–1,Chelsea,Brighton,N,LW,25,0,0,0,0,3,0,0,0,20,0,0,0,0.2,0.2,0.0,1,0,10,13,76.9,0,13,3,3,1,Match Report
24,Sun,FA Cup,Third round,Home,W 2–0,Chelsea,Nott'ham Forest,Y,FW,90,1,0,0,0,3,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
25,Sat,Premier League,Matchweek 22,Home,W 3–0,Chelsea,Burnley,Y,RW,90,1,0,0,0,1,1,0,0,66,1,1,1,0.8,0.8,0.2,6,1,38,55,69.1,5,43,6,2,1,Match Report
26,Sat,Premier League,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd,Y,"RW,LW",90,0,0,0,0,1,0,0,0,60,0,0,1,0.0,0.0,0.4,3,0,36,50,72.0,1,39,5,3,2,Match Report
27,Tue,Premier League,Matchweek 24,Home,D 2–2,Chelsea,Arsenal,Y,"RW,RM",90,0,1,0,0,1,1,0,0,74,3,0,0,0.0,0.0,0.3,7,1,46,61,75.4,7,57,9,6,2,Match Report
28,Sat,FA Cup,Fourth round,Away,W 2–1,Chelsea,Hull City,Y,FW,67,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
29,Sat,Premier League,Matchweek 25,Away,D 2–2,Chelsea,Leicester City,Y,RW,90,0,0,0,0,1,0,0,0,50,0,0,1,0.1,0.1,0.0,3,0,31,37,83.8,3,32,4,3,3,Match Report
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Wed,Premier League,Matchweek 32,Away,L 2–3,Chelsea,West Ham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sat,Premier League,Matchweek 33,Home,W 3–0,Chelsea,Watford,N,RW,15,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,8,0,0,0,Match Report
