,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-14,Mon,PL2 — Div. 2,Matchweek 1,Away,L 1–3,Aston Villa,West Brom,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/d7b78102/West-Bromwich-Albion-U23-Aston-Villa-U23-September-14-2020-Premier-League-2----Division-2
1,2020-09-25,Fri,PL2 — Div. 2,Matchweek 3,Home,L 1–2,Aston Villa,Reading,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/dd03cf8f/Aston-Villa-U23-Reading-U23-September-25-2020-Premier-League-2----Division-2
2,2020-10-02,Fri,PL2 — Div. 2,Matchweek 4,Away,W 1–0,Aston Villa,Crystal Palace,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/00b80046/Crystal-Palace-U23-Aston-Villa-U23-October-2-2020-Premier-League-2----Division-2
3,2020-10-19,Mon,PL2 — Div. 2,Matchweek 5,Away,W 3–1,Aston Villa,Wolves,Y,CM,84,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ab43453f/Wolverhampton-Wanderers-U23-Aston-Villa-U23-October-19-2020-Premier-League-2----Division-2
4,2020-10-30,Fri,PL2 — Div. 2,Matchweek 7,Home,L 0–2,Aston Villa,Sunderland,Y,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7b5956f8/Aston-Villa-U23-Sunderland-U23-October-30-2020-Premier-League-2----Division-2
5,2020-11-09,Mon,PL2 — Div. 2,Matchweek 8,Away,D 2–2,Aston Villa,Burnley,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6c3d26b6/Burnley-U23-Aston-Villa-U23-November-9-2020-Premier-League-2----Division-2
6,2020-11-23,Mon,PL2 — Div. 2,Matchweek 9,Away,W 2–0,Aston Villa,Stoke City,Y,CM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b062a57d/Stoke-City-U23-Aston-Villa-U23-November-23-2020-Premier-League-2----Division-2
7,2020-11-27,Fri,PL2 — Div. 2,Matchweek 10,Home,L 2–3,Aston Villa,Fulham,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c3ffdf69/Aston-Villa-U23-Fulham-U23-November-27-2020-Premier-League-2----Division-2
8,2020-12-18,Fri,PL2 — Div. 2,Matchweek 12,Home,D 1–1,Aston Villa,Middlesbrough,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/efe0582d/Aston-Villa-U23-Middlesbrough-U23-December-18-2020-Premier-League-2----Division-2
9,2021-01-22,Fri,PL2 — Div. 2,Matchweek 15,Away,W 3–2,Aston Villa,Norwich City,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/985109ab/Norwich-City-U23-Aston-Villa-U23-January-22-2021-Premier-League-2----Division-2
10,2021-01-29,Fri,PL2 — Div. 2,Matchweek 16,Away,L 1–3,Aston Villa,Reading,Y,CM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/9c7aa8c8/Reading-U23-Aston-Villa-U23-January-29-2021-Premier-League-2----Division-2
