,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Mon,PL2 — Div. 1,Matchweek 2,Home,L 0–3,Chelsea,Fulham,Y,DM,66,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Sun,Premier League,Matchweek 3,Away,L 0–3,Chelsea,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Fri,PL2 — Div. 1,Matchweek 4,Home,D 2–2,Chelsea,Manchester City,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
3,Tue,Premier League,Matchweek 5,Away,L 1–2,Chelsea,Southampton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tue,Champions Lg,Group stage,Away,L 0–1,eng Chelsea,hr Dinamo Zagreb,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Wed,Champions Lg,Group stage,Home,D 1–1,eng Chelsea,at RB Salzburg,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sat,Premier League,Matchweek 10,Home,W 3–0,Chelsea,Wolves,N,AM,5,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,1,2,1,0,0,Match Report
9,Tue,Champions Lg,Group stage,Away,W 2–0,eng Chelsea,it Milan,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sun,Premier League,Matchweek 11,Away,W 2–0,Chelsea,Aston Villa,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Wed,Premier League,Matchweek 12,Away,D 0–0,Chelsea,Brentford,N,AM,29,0,0,0,0,1,1,0,0,19,0,0,0,0.1,0.1,0.0,2,0,11,14,78.6,0,9,2,2,1,Match Report
12,Sat,Premier League,Matchweek 13,Home,D 1–1,Chelsea,Manchester Utd,N,AM,12,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,3,0,0,0,Match Report
13,Tue,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,at RB Salzburg,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tue,Premier League,Matchweek 17,Home,W 2–0,Chelsea,Bournemouth,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sun,Premier League,Matchweek 18,Away,D 1–1,Chelsea,Nott'ham Forest,N,LW,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
17,Thu,Premier League,Matchweek 19,Home,L 0–1,Chelsea,Manchester City,N,LW,69,0,0,0,0,2,0,0,0,42,6,2,0,0.2,0.2,0.0,3,0,27,31,87.1,4,26,6,2,0,Match Report
18,Sun,FA Cup,Third round proper,Away,L 0–4,Chelsea,Manchester City,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
19,Thu,Premier League,Matchweek 7,Away,L 1–2,Chelsea,Fulham,N,LM,12,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.1,1,0,10,14,71.4,1,10,1,1,0,Match Report
20,Sun,Premier League,Matchweek 20,Home,W 1–0,Chelsea,Crystal Palace,Y,AM,62,0,0,0,0,1,0,0,0,32,1,2,2,0.1,0.1,0.0,1,0,17,21,81.0,3,19,2,1,0,Match Report
21,Sat,Premier League,Matchweek 21,Away,D 0–0,Chelsea,Liverpool,N,AM,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,1,1,1,Match Report
22,Fri,Premier League,Matchweek 22,Home,D 0–0,Chelsea,Fulham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sat,Premier League,Matchweek 23,Away,D 1–1,Chelsea,West Ham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Wed,Champions Lg,Round of 16,Away,L 0–1,eng Chelsea,de Dortmund,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat,Premier League,Matchweek 26,Home,W 1–0,Chelsea,Leeds United,N,LW,16,0,0,0,0,0,0,0,0,13,3,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,9,0,2,2,Match Report
27,Tue,Champions Lg,Round of 16,Home,W 2–0,eng Chelsea,de Dortmund,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Sat,Premier League,Matchweek 27,Away,W 3–1,Chelsea,Leicester City,N,LW,9,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,9,0,0,0,Match Report
29,Sat,Premier League,Matchweek 28,Home,D 2–2,Chelsea,Everton,N,LW,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,5,0,0,0,Match Report
30,Sat,Premier League,Matchweek 29,Home,L 0–2,Chelsea,Aston Villa,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Tue,Champions Lg,Quarter-finals,Home,L 0–2,eng Chelsea,es Real Madrid,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sun,Premier League,Matchweek 37,Away,L 0–1,Chelsea,Manchester City,N,CM,10,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.1,2,0,4,4,100.0,1,3,2,0,0,Match Report
35,Thu,Premier League,Matchweek 32,Away,L 1–4,Chelsea,Manchester Utd,Y,RM,81,0,0,0,0,1,0,0,0,71,2,1,2,0.1,0.1,0.0,1,0,55,59,93.2,7,33,4,2,2,Match Report
