,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Wed,Super Cup,UEFA Super Cup,Home,W 2–0,es Real Madrid,de Eint Frankfurt,Y,CM,90,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Sun,La Liga,Matchweek 1,Away,W 2–1,Real Madrid,Almería,N,CM,8,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,7,0,0,0,Match Report
2,Sat,Premier League,Matchweek 4,Away,W 1–0,Manchester Utd,Southampton,N,DM,11,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,2,0,0,0,Match Report
3,Thu,Premier League,Matchweek 5,Away,W 1–0,Manchester Utd,Leicester City,N,DM,32,0,0,0,0,0,0,0,0,37,1,1,3,0.0,0.0,0.0,0,0,27,33,81.8,4,16,2,2,1,Match Report
4,Sun,Premier League,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,N,DM,11,0,0,0,0,0,0,0,0,10,2,2,1,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,0,0,Match Report
5,Thu,Europa Lg,Group stage,Home,L 0–1,eng Manchester Utd,es Real Sociedad,Y,DM,90,0,0,0,0,3,2,0,0,72,2,0,5,0.1,0.1,0.1,4,0,45,58,77.6,5,46,0,0,0,Match Report
6,Thu,Europa Lg,Group stage,Away,W 2–0,eng Manchester Utd,md Sheriff Tiraspol,N,DM,45,0,0,0,0,0,0,0,0,52,4,3,0,0.0,0.0,0.0,0,0,38,42,90.5,8,31,0,0,0,Match Report
7,Fri,Friendlies (M),Friendlies (M),Neutral,W 3–0,br Brazil,gh Ghana,Y,CM,62,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
8,Tue,Friendlies (M),Friendlies (M),Neutral,W 5–1,br Brazil,tn Tunisia,Y,DM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9,Sun,Premier League,Matchweek 9,Away,L 3–6,Manchester Utd,Manchester City,N,DM,32,0,0,0,0,1,1,0,0,29,1,1,1,0.0,0.0,0.0,2,0,19,24,79.2,0,16,0,0,0,Match Report
10,Thu,Europa Lg,Group stage,Away,W 3–2,eng Manchester Utd,cy AC Omonia,Y,DM,81,0,0,0,0,0,0,0,0,97,3,0,0,0.0,0.0,0.0,4,0,73,90,81.1,8,49,2,1,1,Match Report
11,Sun,Premier League,Matchweek 10,Away,W 2–1,Manchester Utd,Everton,Y,DM,90,0,1,0,0,2,0,0,0,87,4,1,3,0.3,0.3,0.4,3,1,56,72,77.8,7,40,1,0,0,Match Report
12,Thu,Europa Lg,Group stage,Home,W 1–0,eng Manchester Utd,cy AC Omonia,Y,DM,80,0,0,0,0,2,1,0,0,93,4,2,1,0.1,0.1,0.6,3,0,66,81,81.5,9,45,2,0,0,Match Report
13,Sun,Premier League,Matchweek 11,Home,D 0–0,Manchester Utd,Newcastle Utd,Y,DM,90,0,0,0,0,1,0,1,0,69,7,1,3,0.0,0.0,0.3,4,0,43,54,79.6,5,29,0,0,0,Match Report
14,Wed,Premier League,Matchweek 12,Home,W 2–0,Manchester Utd,Tottenham,Y,DM,86,0,0,0,0,2,0,1,0,68,4,2,0,0.1,0.1,0.1,5,1,49,59,83.1,3,31,1,2,1,Match Report
15,Sat,Premier League,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,DM,90,1,0,0,0,1,1,0,0,68,5,1,1,0.1,0.1,0.0,4,0,46,56,82.1,7,41,0,0,0,Match Report
16,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,Y,DM,61,0,0,0,0,2,0,0,0,82,3,1,0,0.1,0.1,0.0,3,0,59,72,81.9,11,58,2,1,0,Match Report
17,Sun,Premier League,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y,DM,90,0,0,0,0,0,0,0,0,76,2,1,1,0.0,0.0,0.0,3,0,52,65,80.0,3,29,0,1,1,Match Report
