,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2022-10-30,Sun,Premier League,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,N,"RB,LB",28,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,1,0,19,23,82.6,3,14,1,0,0,/en/matches/1b496cc1/Arsenal-Nottingham-Forest-October-30-2022-Premier-League
1,2022-11-03,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,ch Zürich,N,RB,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.2,1,0,2,3,66.7,0,2,1,0,0,/en/matches/75b5ef0d/Arsenal-Zurich-November-3-2022-Europa-League
2,2022-11-09,Wed,EFL Cup,Third round,Home,L 1–3,Arsenal,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5505b180/Arsenal-Brighton-and-Hove-Albion-November-9-2022-EFL-Cup
3,2022-11-12,Sat,Premier League,Matchweek 16,Away,W 2–0,Arsenal,Wolves,N,LB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,/en/matches/863d7a8f/Wolverhampton-Wanderers-Arsenal-November-12-2022-Premier-League
4,2023-02-11,Sat,Premier League,Matchweek 23,Home,W 2–0,Fulham,Nott'ham Forest,N,RB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,2,1,0,0,0,/en/matches/ee86dc99/Fulham-Nottingham-Forest-February-11-2023-Premier-League
5,2023-02-28,Tue,FA Cup,Fifth round proper,Home,W 2–0,Fulham,Leeds United,Y,RB,89,0,0,0,0,2,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/894f2b33/Fulham-Leeds-United-February-28-2023-FA-Cup
6,2023-03-06,Mon,Premier League,Matchweek 26,Away,L 2–3,Fulham,Brentford,N,RB,8,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,6,12,50.0,0,7,0,0,0,/en/matches/3dce3a24/Brentford-Fulham-March-6-2023-Premier-League
7,2023-03-19,Sun,FA Cup,Quarter-finals,Away,L 1–3,Fulham,Manchester Utd,N,,2,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a1c08a96/Manchester-United-Fulham-March-19-2023-FA-Cup
8,2023-04-01,Sat,Premier League,Matchweek 29,Away,L 1–2,Fulham,Bournemouth,N,RB,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,1,4,0,0,0,/en/matches/f64320c3/Bournemouth-Fulham-April-1-2023-Premier-League
9,2023-04-08,Sat,Premier League,Matchweek 30,Home,L 0–1,Fulham,West Ham,Y,RB,67,0,0,0,0,1,0,0,0,86,2,0,0,0.0,0.0,0.1,1,0,63,81,77.8,2,58,2,0,0,/en/matches/0ba42648/Fulham-West-Ham-United-April-8-2023-Premier-League
10,2023-04-25,Tue,Premier League,Matchweek 33,Away,L 0–1,Fulham,Aston Villa,N,RB,23,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,17,21,81.0,4,14,1,1,1,/en/matches/8b295a84/Aston-Villa-Fulham-April-25-2023-Premier-League
11,2023-05-03,Wed,Premier League,Matchweek 28,Away,L 0–1,Fulham,Liverpool,Y,RB,90,0,0,0,0,1,0,0,0,72,3,1,2,0.0,0.0,0.2,3,0,46,59,78.0,3,36,1,1,1,/en/matches/24fb8eca/Liverpool-Fulham-May-3-2023-Premier-League
