,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sun,Premier League,Matchweek 7,Away,L 1–2,Everton,Newcastle Utd,N,FW,22,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.1,2,1,3,5,60.0,0,2,0,0,0,Match Report
1,Sat,Premier League,Matchweek 8,Home,L 1–3,Everton,Manchester Utd,N,FW,11,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Match Report
2,Wed,Friendlies (M),Friendlies (M),Home,D 3–3,tr Türkiye,hr Croatia,Y*,FW,62,1,1,1,1,,,0,0,,,,,,,,,,,,,,,,,,Match Report
3,Sun,UEFA Nations League,League B,Home,W 3–2,tr Türkiye,ru Russia,Y*,FW,79,1,0,1,1,5,2,1,0,,,0,,,,,,,,,,,,,,,Match Report
4,Wed,UEFA Nations League,League B,Away,L 0–2,tr Türkiye,hu Hungary,Y*,FW,70,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
5,Sun,Premier League,Matchweek 9,Away,W 3–2,Everton,Fulham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat,Premier League,Matchweek 10,Home,L 0–1,Everton,Leeds United,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat,Premier League,Matchweek 11,Away,D 1–1,Everton,Burnley,N,FW,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Match Report
8,Sat,Premier League,Matchweek 12,Home,W 1–0,Everton,Chelsea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Wed,Premier League,Matchweek 13,Away,W 2–0,Everton,Leicester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat,Premier League,Matchweek 14,Home,W 2–1,Everton,Arsenal,N,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Match Report
11,Wed,EFL Cup,Quarter-finals,Home,L 0–2,Everton,Manchester Utd,N,,2,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
12,Sat,Premier League,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Fri,Premier League,Matchweek 17,Home,L 0–1,Everton,West Ham,N,FW,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,Match Report
14,Sat,FA Cup,Third round proper,Home,W 2–1,Everton,Rotherham Utd,Y,FW,120,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
15,Tue,Premier League,Matchweek 18,Away,W 2–1,Everton,Wolves,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mon,Süper Lig,Matchweek 25,Away,W 3–0,Beşiktaş,Gençlerbirliği,N,,29,2,0,0,0,3,3,0,0,,,0,,,,,,,,,,,,,,,Match Report
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sun,Süper Lig,Matchweek 31,Home,D 1–1,Beşiktaş,Fenerbahçe,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Wed,WCQ,First round,Home,W 4–2,tr Türkiye,nl Netherlands,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sat,WCQ,First round,Away,W 3–0,tr Türkiye,no Norway,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Wed,Süper Lig,Matchweek 33,Home,W 3–0,Beşiktaş,Alanyaspor,Y,FW,70,1,0,0,0,4,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
22,Sun,Süper Lig,Matchweek 34,Away,W 4–2,Beşiktaş,Erzurum BB,Y,FW,75,0,1,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
23,,,,,6-2-5,,,6/13,,555,6,2,2,2,20,10,2,0,17,0,1,0,0.0,0.0,0.1,2,1,10,15,66.7,0,9,0,0,0,
