,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2021-08-07,Sat,Primeira Liga,Matchweek 1,Away,W 2–0,Estoril,Arouca,Y,RW,60,0,0,0,0,2.0,0.0,0,0,31.0,3.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,8.0,16.0,50.0,2.0,22.0,1.0,0.0,0.0,/en/matches/066f28ef/Arouca-Estoril-August-7-2021-Primeira-Liga,1.0,0.5,0.5
1,1,1,1,2021-08-13,Fri,Primeira Liga,Matchweek 2,Home,D 0–0,Estoril,Vitória,N,RW,22,0,0,0,0,1.0,1.0,0,0,15.0,3.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,4.0,7.0,57.1,0.0,10.0,1.0,1.0,0.0,/en/matches/450ff19d/Estoril-Vitoria-Guimaraes-August-13-2021-Primeira-Liga,0.5,0.5,0.5
2,2,2,2,2021-08-23,Mon,Primeira Liga,Matchweek 3,Away,W 3–1,Estoril,Paços,Y,LW,89,0,0,0,0,1.0,0.0,1,0,26.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,12.0,15.0,80.0,3.0,14.0,5.0,6.0,5.0,/en/matches/55dc9019/Pacos-de-Ferreira-Estoril-August-23-2021-Primeira-Liga,1.0,0.5,0.5
3,3,3,3,2021-08-27,Fri,Primeira Liga,Matchweek 4,Home,W 2–1,Estoril,Marítimo,Y,RW,90,1,0,0,0,2.0,1.0,1,0,38.0,2.0,0.0,0.0,0.4,0.4,0.2,3.0,0.0,18.0,29.0,62.1,2.0,24.0,5.0,7.0,4.0,/en/matches/92060ec0/Estoril-Maritimo-August-27-2021-Primeira-Liga,1.0,0.8333333333333334,0.5
4,4,4,4,2021-09-13,Mon,Primeira Liga,Matchweek 5,Away,W 2–1,Estoril,Tondela,Y,RW,90,1,1,0,0,4.0,2.0,1,0,28.0,2.0,1.0,1.0,0.4,0.4,0.1,2.0,1.0,6.0,13.0,46.2,2.0,21.0,5.0,3.0,1.0,/en/matches/3964cc71/Tondela-Estoril-September-13-2021-Primeira-Liga,1.0,0.8333333333333334,0.5
5,5,5,5,2021-09-19,Sun,Primeira Liga,Matchweek 6,Home,L 0–1,Estoril,Sporting CP,Y,RW,69,0,0,0,0,0.0,0.0,0,0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,50.0,1.0,10.0,2.0,3.0,3.0,/en/matches/66359d64/Estoril-Sporting-CP-September-19-2021-Primeira-Liga,0.0,1.0,0.5
6,6,6,6,2021-09-27,Mon,Primeira Liga,Matchweek 7,Away,D 1–1,Estoril,Boavista,Y,"RW,LW",89,0,0,0,0,2.0,0.0,1,0,20.0,3.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,6.0,8.0,75.0,2.0,14.0,3.0,3.0,1.0,/en/matches/28868f1e/Boavista-Estoril-September-27-2021-Primeira-Liga,0.5,0.6666666666666666,0.5
7,7,7,7,2021-10-03,Sun,Primeira Liga,Matchweek 8,Home,D 2–2,Estoril,Gil Vicente FC,Y,RW,72,0,0,0,0,1.0,0.0,1,0,22.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,8.0,15.0,53.3,0.0,10.0,3.0,4.0,1.0,/en/matches/c0d65f8c/Estoril-Gil-Vicente-FC-October-3-2021-Primeira-Liga,0.5,0.5,0.5
8,8,8,8,2021-10-30,Sat,Primeira Liga,Matchweek 10,Home,D 1–1,Estoril,Benfica,N,LW,20,0,0,0,0,0.0,0.0,0,0,7.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,3.0,66.7,0.0,6.0,2.0,1.0,0.0,/en/matches/9ba7bc65/Estoril-Benfica-October-30-2021-Primeira-Liga,0.5,0.3333333333333333,0.5
9,9,9,9,2021-11-06,Sat,Primeira Liga,Matchweek 11,Away,D 1–1,Estoril,Vizela,N,LW,28,0,0,0,0,2.0,0.0,0,0,12.0,1.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,5.0,7.0,71.4,1.0,7.0,1.0,1.0,1.0,/en/matches/09d25098/Vizela-Estoril-November-6-2021-Primeira-Liga,0.5,0.5,0.5
10,10,10,10,2021-11-29,Mon,Primeira Liga,Matchweek 12,Home,D 2–2,Estoril,Santa Clara,N,RW,18,0,0,0,0,0.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,6.0,0.0,2.0,0.0,/en/matches/b42c9901/Estoril-Santa-Clara-November-29-2021-Primeira-Liga,0.5,0.5,0.5
11,11,11,11,2021-12-05,Sun,Primeira Liga,Matchweek 13,Away,L 0–2,Estoril,Braga,N,LW,29,0,0,0,0,2.0,2.0,0,0,19.0,1.0,0.0,0.0,0.2,0.2,0.0,3.0,0.0,5.0,12.0,41.7,2.0,16.0,4.0,0.0,0.0,/en/matches/22d90a3a/Braga-Estoril-December-5-2021-Primeira-Liga,0.0,0.5,0.5
12,12,12,12,2021-12-12,Sun,Primeira Liga,Matchweek 14,Away,W 1–0,Estoril,B-SAD,N,RW,28,0,0,0,0,0.0,0.0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,11.0,4.0,2.0,1.0,/en/matches/c6a9f295/Belenenses-SAD-Estoril-December-12-2021-Primeira-Liga,1.0,0.3333333333333333,0.5
13,13,13,13,2021-12-17,Fri,Primeira Liga,Matchweek 15,Home,D 2–2,Estoril,Famalicão,Y,RM,77,1,0,0,0,3.0,1.0,0,0,22.0,1.0,0.0,0.0,0.2,0.2,0.0,4.0,0.0,3.0,13.0,23.1,0.0,13.0,1.0,5.0,2.0,/en/matches/290e8697/Estoril-Famalicao-December-17-2021-Primeira-Liga,0.5,0.5,0.5
14,14,14,14,2022-01-08,Sat,Primeira Liga,Matchweek 17,Home,L 2–3,Estoril,Porto,Y,RW,57,0,0,0,0,0.0,0.0,0,0,16.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,50.0,0.0,13.0,0.0,1.0,1.0,/en/matches/0c210460/Estoril-Porto-January-8-2022-Primeira-Liga,0.0,0.5,0.5
15,15,15,15,2022-01-24,Mon,PL2 — Div. 2,Matchweek 18,Away,W 2–1,Wolves,Sunderland,Y,FW,59,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/0f35d65c/Sunderland-U23-Wolverhampton-Wanderers-U23-January-24-2022-Premier-League-2----Division-2,1.0,0.5,0.5
16,16,16,16,2022-02-05,Sat,FA Cup,Fourth round proper,Home,L 0–1,Wolves,Norwich City,N,,17,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/7b2400a8/Wolverhampton-Wanderers-Norwich-City-February-5-2022-FA-Cup,0.0,0.5,0.5
17,17,17,17,2022-02-10,Thu,Premier League,Matchweek 24,Home,L 0–1,Wolves,Arsenal,N,"RW,RM",29,0,0,0,0,1.0,0.0,0,0,19.0,1.0,0.0,1.0,0.2,0.2,0.1,1.0,0.0,7.0,13.0,53.8,1.0,11.0,1.0,2.0,0.0,/en/matches/bf5f0f9e/Wolverhampton-Wanderers-Arsenal-February-10-2022-Premier-League,0.0,0.3333333333333333,0.5
18,18,18,18,2022-02-28,Mon,PL2 — Div. 2,Matchweek 21,Home,W 4–3,Wolves,Reading,Y,AM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e622cb55/Wolverhampton-Wanderers-U23-Reading-U23-February-28-2022-Premier-League-2----Division-2,1.0,0.3333333333333333,0.5
19,19,19,19,2022-03-05,Sat,Premier League,Matchweek 28,Home,L 0–2,Wolves,Crystal Palace,N,FW,12,0,0,0,0,1.0,1.0,0,0,7.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,4.0,25.0,0.0,5.0,0.0,0.0,0.0,/en/matches/9ccef73f/Wolverhampton-Wanderers-Crystal-Palace-March-5-2022-Premier-League,0.0,0.3333333333333333,0.5
20,20,20,20,2022-03-10,Thu,Premier League,Matchweek 19,Home,W 4–0,Wolves,Watford,N,WB,9,0,1,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,66.7,0.0,3.0,0.0,2.0,1.0,/en/matches/d0ee0e9a/Wolverhampton-Wanderers-Watford-March-10-2022-Premier-League,1.0,0.3333333333333333,0.5
21,21,21,21,2022-03-18,Fri,Premier League,Matchweek 30,Home,L 2–3,Wolves,Leeds United,N,CM,1,0,0,0,0,0.0,0.0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,1.0,1.0,/en/matches/1c402923/Wolverhampton-Wanderers-Leeds-United-March-18-2022-Premier-League,0.0,0.6666666666666666,0.5
22,22,22,22,2022-04-02,Sat,Premier League,Matchweek 31,Home,W 2–1,Wolves,Aston Villa,N,AM,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/320d3dfe/Wolverhampton-Wanderers-Aston-Villa-April-2-2022-Premier-League,1.0,0.3333333333333333,0.5
23,23,23,23,2022-04-18,Mon,PL2 — Div. 2,Matchweek 15,Home,W 4–2,Wolves,Newcastle Utd,Y,AM,73,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/0df1d40e/Wolverhampton-Wanderers-U23-Newcastle-United-U23-April-18-2022-Premier-League-2----Division-2,1.0,0.6666666666666666,0.5
24,24,24,24,2022-05-07,Sat,Premier League,Matchweek 36,Away,D 2–2,Wolves,Chelsea,N,WB,21,0,2,0,0,0.0,0.0,0,0,20.0,1.0,0.0,1.0,0.0,0.0,0.3,2.0,2.0,9.0,15.0,60.0,1.0,10.0,0.0,3.0,3.0,/en/matches/7c8a79d2/Chelsea-Wolverhampton-Wanderers-May-7-2022-Premier-League,0.5,0.6666666666666666,0.5
25,25,25,25,2022-05-11,Wed,Premier League,Matchweek 33,Home,L 1–5,Wolves,Manchester City,Y,WB,90,0,0,0,0,2.0,0.0,0,0,43.0,6.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,22.0,32.0,68.8,2.0,35.0,5.0,5.0,3.0,/en/matches/a93c0c92/Wolverhampton-Wanderers-Manchester-City-May-11-2022-Premier-League,0.0,0.8333333333333334,0.5
26,26,26,26,2022-05-15,Sun,Premier League,Matchweek 37,Home,D 1–1,Wolves,Norwich City,N,WB,45,0,0,0,0,1.0,1.0,0,0,45.0,0.0,1.0,2.0,0.0,0.0,0.3,3.0,0.0,25.0,36.0,69.4,3.0,26.0,4.0,4.0,2.0,/en/matches/7f0d5ca8/Wolverhampton-Wanderers-Norwich-City-May-15-2022-Premier-League,0.5,0.5,0.5
