,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sun,Matchweek 3,Home,D 1–1,Burnley,Leeds United,Y,FW,90,20,30,66.7,223,31,15,21,71.4,3,5,60.0,0,0,,0,0.1,0.1,3,3,0,0,2,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League
1,2021-08-14,Mon,Matchweek 4,Away,L 1–3,Burnley,Everton,Y,FW,85,12,22,54.5,182,42,7,15,46.7,4,5,80.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2,/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Home,L 0–1,Burnley,Arsenal,Y,FW,81,10,16,62.5,117,32,8,12,66.7,2,3,66.7,0,0,,0,0.0,0.0,1,2,0,0,2,/en/matches/a427debc/Burnley-Arsenal-September-18-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Away,D 2–2,Burnley,Leicester City,Y,FW,90,11,18,61.1,186,43,6,12,50.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,2,/en/matches/2d61f328/Leicester-City-Burnley-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Home,D 0–0,Burnley,Norwich City,Y,FW,79,10,16,62.5,162,9,6,10,60.0,3,3,100.0,1,2,50.0,0,0.0,0.0,1,0,0,0,0,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Away,L 0–2,Burnley,Manchester City,Y,FW,81,16,22,72.7,173,31,11,15,73.3,2,4,50.0,0,0,,0,0.0,0.0,0,1,0,0,1,/en/matches/55778d0d/Manchester-City-Burnley-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Away,D 2–2,Burnley,Southampton,Y,FW,89,11,24,45.8,114,48,10,18,55.6,1,5,20.0,0,0,,0,0.0,0.0,0,3,0,0,2,/en/matches/d5164fbe/Southampton-Burnley-October-23-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Home,W 3–1,Burnley,Brentford,Y,FW,90,12,18,66.7,114,10,9,11,81.8,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,1,/en/matches/c8915e9e/Burnley-Brentford-October-30-2021-Premier-League
8,2021-08-14,Sat,Matchweek 11,Away,D 1–1,Burnley,Chelsea,Y,FW,60,3,9,33.3,32,3,3,7,42.9,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/316c0296/Chelsea-Burnley-November-6-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Home,D 3–3,Burnley,Crystal Palace,Y,FW,78,5,10,50.0,56,32,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,2,0,0,1,/en/matches/e7ab34c4/Burnley-Crystal-Palace-November-20-2021-Premier-League
10,2021-08-14,Wed,Matchweek 14,Away,D 0–0,Burnley,Wolves,Y,FW,58,5,10,50.0,62,16,4,9,44.4,1,1,100.0,0,0,,0,0.0,0.0,1,2,0,0,0,/en/matches/a3fc2ddc/Wolverhampton-Wanderers-Burnley-December-1-2021-Premier-League
11,2021-08-14,Sat,Matchweek 15,Away,L 0–1,Burnley,Newcastle Utd,Y,FW,90,17,24,70.8,199,61,10,14,71.4,4,5,80.0,0,0,,0,0.0,0.1,1,2,3,0,3,/en/matches/11ed382d/Newcastle-United-Burnley-December-4-2021-Premier-League
12,2021-08-14,Sun,Matchweek 16,Home,D 0–0,Burnley,West Ham,Y,FW,59,7,15,46.7,88,26,5,8,62.5,2,6,33.3,0,0,,0,0.0,0.0,0,1,0,0,2,/en/matches/6d236ce6/Burnley-West-Ham-United-December-12-2021-Premier-League
13,2021-08-14,Thu,Matchweek 20,Away,L 1–3,Burnley,Manchester Utd,Y,FW,90,12,17,70.6,125,11,8,11,72.7,2,3,66.7,0,1,0.0,0,0.2,0.1,1,2,0,0,0,/en/matches/bbfa96c9/Manchester-United-Burnley-December-30-2021-Premier-League
14,2021-08-14,Sun,Matchweek 21,Away,L 1–3,Burnley,Leeds United,Y,FW,83,9,29,31.0,119,46,6,16,37.5,2,7,28.6,0,0,,0,0.0,0.0,0,3,0,0,1,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
15,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-08-14,Sat,Matchweek 22,Home,D 1–1,Newcastle Utd,Watford,Y,FW,90,10,18,55.6,93,21,7,11,63.6,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/64dd3e3f/Newcastle-United-Watford-January-15-2022-Premier-League
17,2021-08-14,Sat,Matchweek 23,Away,W 1–0,Newcastle Utd,Leeds United,Y,FW,90,22,38,57.9,257,74,18,27,66.7,3,8,37.5,1,1,100.0,0,0.1,0.1,2,3,0,0,4,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League
18,2021-08-14,Tue,Matchweek 24,Home,W 3–1,Newcastle Utd,Everton,Y,FW,90,7,24,29.2,60,21,4,12,33.3,1,5,20.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League
19,2021-08-14,Sun,Matchweek 25,Home,W 1–0,Newcastle Utd,Aston Villa,Y,FW,90,12,29,41.4,165,41,7,18,38.9,3,6,50.0,1,1,100.0,0,0.0,0.0,1,2,0,0,4,/en/matches/59b88877/Newcastle-United-Aston-Villa-February-13-2022-Premier-League
20,2021-08-14,Sat,Matchweek 26,Away,D 1–1,Newcastle Utd,West Ham,Y,FW,90,12,22,54.5,124,5,12,15,80.0,0,5,0.0,0,1,0.0,0,0.0,0.0,2,1,0,0,0,/en/matches/4e263347/West-Ham-United-Newcastle-United-February-19-2022-Premier-League
21,2021-08-14,Sat,Matchweek 27,Away,W 2–0,Newcastle Utd,Brentford,Y,FW,90,14,19,73.7,128,6,10,14,71.4,1,2,50.0,0,0,,0,0.1,0.0,2,0,0,0,0,/en/matches/fd61d442/Brentford-Newcastle-United-February-26-2022-Premier-League
22,2021-08-14,Sat,Matchweek 28,Home,W 2–1,Newcastle Utd,Brighton,Y,FW,90,11,24,45.8,154,40,7,14,50.0,1,2,50.0,2,2,100.0,0,0.6,0.2,1,1,0,0,0,/en/matches/02337bda/Newcastle-United-Brighton-and-Hove-Albion-March-5-2022-Premier-League
23,2021-08-14,Thu,Matchweek 21,Away,W 2–1,Newcastle Utd,Southampton,Y,FW,90,11,29,37.9,165,85,9,18,50.0,1,4,25.0,1,2,50.0,0,0.0,0.0,0,3,1,0,4,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League
24,2021-08-14,Sun,Matchweek 29,Away,L 0–1,Newcastle Utd,Chelsea,Y,FW,90,6,18,33.3,79,25,3,9,33.3,3,6,50.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,/en/matches/0dcf103b/Chelsea-Newcastle-United-March-13-2022-Premier-League
