,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-08-07,Sat,Matchweek 3,Away,L 2–3,Brentford,Fulham,Y,CM,90,32,44,72.7,637,240,13,17,76.5,12,16,75.0,5,8,62.5,0,0.0,0.3,0,4,0,0,2,/en/matches/a107c037/Fulham-Brentford-August-20-2022-Premier-League
1,2022-08-07,Sat,Matchweek 4,Home,D 1–1,Brentford,Everton,Y*,CM,68,48,58,82.8,758,225,27,29,93.1,20,25,80.0,1,3,33.3,0,0.0,0.0,1,1,1,0,4,/en/matches/db59fc65/Brentford-Everton-August-27-2022-Premier-League
2,2022-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022-08-07,Sat,Matchweek 16,Away,W 2–1,Brentford,Manchester City,N,CM,29,3,4,75.0,36,16,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.2,0,1,0,0,1,/en/matches/28b60c1b/Manchester-City-Brentford-November-12-2022-Premier-League
4,2022-08-07,Mon,Matchweek 17,Home,D 2–2,Brentford,Tottenham,Y*,CM,81,26,38,68.4,332,115,15,19,78.9,10,14,71.4,0,2,0.0,1,0.6,0.0,1,4,0,0,3,/en/matches/14e4f648/Brentford-Tottenham-Hotspur-December-26-2022-Premier-League
5,2022-08-07,Fri,Matchweek 18,Away,W 2–0,Brentford,West Ham,Y*,"CM,DM",90,42,48,87.5,761,324,15,18,83.3,24,27,88.9,3,3,100.0,0,0.0,0.0,1,8,0,0,5,/en/matches/56acbbbe/West-Ham-United-Brentford-December-30-2022-Premier-League
6,2022-08-07,Mon,Matchweek 19,Home,W 3–1,Brentford,Liverpool,Y*,CM,90,13,33,39.4,194,151,9,14,64.3,3,12,25.0,1,6,16.7,0,0.0,0.0,0,2,0,0,2,/en/matches/af6aa183/Brentford-Liverpool-January-2-2023-Premier-League
7,2022-08-07,Sat,Matchweek 20,Home,W 2–0,Brentford,Bournemouth,Y*,CM,90,27,45,60.0,414,201,14,21,66.7,9,15,60.0,3,4,75.0,0,0.0,0.0,0,4,0,0,5,/en/matches/3f992264/Brentford-Bournemouth-January-14-2023-Premier-League
8,2022-08-07,Sun,Matchweek 21,Away,D 0–0,Brentford,Leeds United,Y*,CM,90,36,49,73.5,703,163,13,16,81.3,19,23,82.6,3,7,42.9,0,0.1,0.1,1,4,2,0,6,/en/matches/f0e7d8a8/Leeds-United-Brentford-January-22-2023-Premier-League
9,2022-08-07,Sat,Matchweek 22,Home,W 3–0,Brentford,Southampton,Y*,CM,90,32,42,76.2,457,194,20,25,80.0,9,12,75.0,2,3,66.7,0,0.0,0.0,0,5,0,0,3,/en/matches/ef31dad5/Brentford-Southampton-February-4-2023-Premier-League
10,2022-08-07,Sat,Matchweek 23,Away,D 1–1,Brentford,Arsenal,Y*,CM,90,18,27,66.7,254,90,13,17,76.5,3,5,60.0,2,2,100.0,1,1.0,0.7,2,2,1,0,3,/en/matches/7caa56bc/Arsenal-Brentford-February-11-2023-Premier-League
11,2022-08-07,Sat,Matchweek 24,Home,D 1–1,Brentford,Crystal Palace,Y*,CM,82,35,46,76.1,542,176,20,23,87.0,11,15,73.3,3,5,60.0,0,0.0,0.1,1,3,1,1,6,/en/matches/f6370484/Brentford-Crystal-Palace-February-18-2023-Premier-League
12,2022-08-07,Mon,Matchweek 26,Home,W 3–2,Brentford,Fulham,Y*,CM,90,24,31,77.4,355,173,14,15,93.3,9,13,69.2,1,1,100.0,0,0.0,0.0,1,3,0,0,4,/en/matches/3dce3a24/Brentford-Fulham-March-6-2023-Premier-League
13,2022-08-07,Sat,Matchweek 27,Away,L 0–1,Brentford,Everton,Y*,CM,73,40,48,83.3,727,250,14,14,100.0,24,28,85.7,2,5,40.0,0,0.3,0.2,1,4,1,1,4,/en/matches/980f57d4/Everton-Brentford-March-11-2023-Premier-League
