,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,2021-08-16,Mon,PL2 — Div. 1,Matchweek 1,Away,W 3–1,Leeds United,Crystal Palace,Y,RB,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/ccc73921/Crystal-Palace-U23-Leeds-United-U23-August-16-2021-Premier-League-2----Division-1,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,2021-08-23,Mon,PL2 — Div. 1,Matchweek 2,Home,L 2–4,Leeds United,Tottenham,Y,LB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/01b4c85d/Leeds-United-U23-Tottenham-Hotspur-U23-August-23-2021-Premier-League-2----Division-1,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2021-08-27,Fri,PL2 — Div. 1,Matchweek 3,Away,W 3–2,Leeds United,Derby County,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/cbdd909a/Derby-County-U23-Leeds-United-U23-August-27-2021-Premier-League-2----Division-1,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,2021-09-11,Sat,PL2 — Div. 1,Matchweek 4,Home,D 2–2,Leeds United,West Ham,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/cbdeee5b/Leeds-United-U23-West-Ham-United-U23-September-11-2021-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,2021-09-19,Sun,PL2 — Div. 1,Matchweek 5,Away,W 4–0,Leeds United,Liverpool,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/67b67bb1/Liverpool-U23-Leeds-United-U23-September-19-2021-Premier-League-2----Division-1,1.0,0.5,0.5
5,5,5,5,5,5,5,5,5,5,2021-09-24,Fri,PL2 — Div. 1,Matchweek 6,Home,D 4–4,Leeds United,Blackburn,Y,RB,45,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/adfa77e3/Leeds-United-U23-Blackburn-Rovers-U23-September-24-2021-Premier-League-2----Division-1,0.5,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,2021-10-01,Fri,PL2 — Div. 1,Matchweek 7,Away,L 0–1,Leeds United,Leicester City,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b474f487/Leicester-City-U23-Leeds-United-U23-October-1-2021-Premier-League-2----Division-1,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,2021-10-18,Mon,PL2 — Div. 1,Matchweek 8,Away,L 2–4,Leeds United,Everton,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6fcfdad1/Everton-U23-Leeds-United-U23-October-18-2021-Premier-League-2----Division-1,0.0,0.5,0.5
8,8,8,8,8,8,8,8,8,8,2021-10-26,Tue,EFL Cup,Fourth round,Away,L 0–2,Leeds United,Arsenal,Y,RB,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup,0.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,2021-10-31,Sun,Premier League,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,N,CM,20,0,0,0,0,0.0,0.0,1,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,1.0,3.0,0.0,2.0,0.0,/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League,1.0,0.0,0.4047619047619047
10,10,10,10,10,10,10,10,10,10,2021-12-03,Fri,PL2 — Div. 1,Matchweek 14,Home,L 1–3,Leeds United,Leicester City,Y,RB,54,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/57d35db4/Leeds-United-U23-Leicester-City-U23-December-3-2021-Premier-League-2----Division-1,0.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,2021-12-14,Tue,Premier League,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,N,RB,18,0,0,0,0,0.0,0.0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,5.0,1.0,0.0,0.0,/en/matches/5730a84c/Manchester-City-Leeds-United-December-14-2021-Premier-League,0.0,0.3333333333333333,0.7619047619047619
12,12,12,12,12,12,12,12,12,12,2021-12-18,Sat,Premier League,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,RB,90,0,0,0,0,0.0,0.0,0,0,77.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,61.0,73.8,4.0,29.0,2.0,2.0,2.0,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League,0.0,0.3333333333333333,0.6666666666666667
13,13,13,13,13,13,13,13,13,13,2022-01-09,Sun,FA Cup,Third round proper,Away,L 0–2,Leeds United,West Ham,N,,22,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/b5e5de2f/West-Ham-United-Leeds-United-January-9-2022-FA-Cup,0.0,0.0,0.5
14,14,14,14,14,14,14,14,14,14,2022-01-15,Sat,Championship,Matchweek 27,Home,L 0–1,Cardiff City,Blackburn,Y,RB,77,0,0,0,0,1.0,1.0,1,0,46.0,0.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,21.0,34.0,61.8,1.0,20.0,2.0,4.0,0.0,/en/matches/c6f56e4d/Cardiff-City-Blackburn-Rovers-January-15-2022-Championship,0.0,0.0,0.5
15,15,15,15,15,15,15,15,15,15,2022-01-22,Sat,Championship,Matchweek 28,Away,L 2–3,Cardiff City,Bristol City,Y,WB,90,0,0,0,0,1.0,0.0,0,0,51.0,3.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,24.0,34.0,70.6,3.0,21.0,2.0,0.0,0.0,/en/matches/d85a7227/Bristol-City-Cardiff-City-January-22-2022-Championship,0.0,0.0,0.5
16,16,16,16,16,16,16,16,16,16,2022-01-30,Sun,Championship,Matchweek 29,Home,W 2–1,Cardiff City,Nott'ham Forest,Y,RB,90,0,0,0,0,0.0,0.0,1,0,51.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,21.0,39.0,53.8,2.0,21.0,3.0,1.0,0.0,/en/matches/5454072b/Cardiff-City-Nottingham-Forest-January-30-2022-Championship,1.0,0.0,0.5
17,17,17,17,17,17,17,17,17,17,2022-02-02,Wed,Championship,Matchweek 30,Away,W 1–0,Cardiff City,Barnsley,Y,RB,90,0,0,0,0,0.0,0.0,0,0,58.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,51.4,1.0,12.0,2.0,2.0,0.0,/en/matches/aa5b2dc0/Barnsley-Cardiff-City-February-2-2022-Championship,1.0,0.3333333333333333,0.5
