,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,WCQ,First round,Away,D 2–2,wls Wales,cz Czech Republic,N,,31,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Mon,WCQ,First round,Away,W 1–0,wls Wales,ee Estonia,Y,RB,82,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,Sat,Premier League,Matchweek 8,Away,L 0–2,Burnley,Manchester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Wed,EFL Cup,Fourth round,Home,L 0–1,Burnley,Tottenham,Y,RB,90,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sat,Premier League,Matchweek 11,Away,D 1–1,Burnley,Chelsea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sat,WCQ,First round,Home,W 5–1,wls Wales,by Belarus,Y,RB,90,1,0,0,0,5,1,0,0,,,1,,,,,,,,,,,,,,,Match Report
8,Tue,WCQ,First round,Home,D 1–1,wls Wales,be Belgium,Y,LM,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
9,Wed,Premier League,Matchweek 14,Away,D 0–0,Burnley,Wolves,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat,Premier League,Matchweek 15,Away,L 0–1,Burnley,Newcastle Utd,N,RB,16,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,6,7,85.7,3,1,0,0,0,Match Report
11,Mon,PL2 — Div. 2,Matchweek 16,Home,D 1–1,Burnley,Birmingham City,Y,RB,59,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
12,Sun,Premier League,Matchweek 23,Away,D 0–0,Burnley,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,33,1,2,1,0.0,0.0,0.0,0,0,11,18,61.1,2,12,0,0,0,Match Report
13,Sat,Premier League,Matchweek 17,Home,D 0–0,Burnley,Watford,Y,RB,90,0,0,0,0,0,0,0,0,80,0,0,1,0.0,0.0,0.0,2,0,37,73,50.7,4,29,4,2,1,Match Report
14,Tue,Premier League,Matchweek 24,Home,D 1–1,Burnley,Manchester Utd,Y,RB,90,0,0,0,0,1,0,0,0,31,0,0,1,0.0,0.0,0.0,1,0,16,25,64.0,2,14,2,0,0,Match Report
15,Sun,Premier League,Matchweek 25,Home,L 0–1,Burnley,Liverpool,Y,RB,90,0,0,0,0,0,0,0,0,54,0,3,1,0.0,0.0,0.2,1,0,29,41,70.7,1,17,1,0,0,Match Report
16,Sat,Premier League,Matchweek 26,Away,W 3–0,Burnley,Brighton,Y,RB,90,0,1,0,0,1,0,1,0,41,0,1,2,0.0,0.0,0.1,1,1,21,34,61.8,4,18,0,0,0,Match Report
17,Wed,Premier League,Matchweek 13,Home,W 1–0,Burnley,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,47,0,1,1,0.0,0.0,0.0,3,0,33,37,89.2,2,27,1,3,3,Match Report
18,Sat,Premier League,Matchweek 27,Away,D 1–1,Burnley,Crystal Palace,Y,RB,90,0,0,0,0,0,0,0,0,63,0,1,0,0.0,0.0,0.0,1,0,33,56,58.9,4,21,0,0,0,Match Report
