,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-14,Sun,Matchweek 3,Away,L 0–4,Wolves,West Ham,Y*,CB,90,45,45,0,0,0,0,0,0,0,0,0,0,40,0,0,/en/matches/a223dd70/West-Ham-United-Wolverhampton-Wanderers-September-27-2020-Premier-League
1,2020-09-14,Sun,Matchweek 4,Home,W 1–0,Wolves,Fulham,Y*,CB,90,65,63,2,2,0,0,0,0,0,0,0,0,60,0,0,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
2,2020-09-14,Mon,Matchweek 5,Away,W 1–0,Wolves,Leeds United,Y*,CB,90,23,19,3,3,0,1,0,0,0,0,0,0,11,1,1,/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League
3,2020-09-14,Sun,Matchweek 6,Home,D 1–1,Wolves,Newcastle Utd,Y*,CB,90,98,96,2,2,0,0,0,0,0,0,0,0,93,0,0,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
4,2020-09-14,Fri,Matchweek 7,Home,W 2–0,Wolves,Crystal Palace,Y*,CB,90,45,45,0,0,0,1,0,0,0,0,0,0,43,0,0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League
5,2020-09-14,Sun,Matchweek 8,Away,L 0–1,Wolves,Leicester City,Y*,CB,90,43,42,1,1,0,0,0,0,0,0,0,0,39,0,0,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League
6,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-09-14,Sun,Matchweek 10,Away,W 2–1,Wolves,Arsenal,Y*,CB,90,46,43,3,3,0,1,0,0,0,0,0,0,41,0,1,/en/matches/fa17687c/Arsenal-Wolverhampton-Wanderers-November-29-2020-Premier-League
8,2020-09-14,Sun,Matchweek 11,Away,L 0–4,Wolves,Liverpool,Y*,CB,90,43,42,1,1,0,1,0,0,0,0,0,0,37,0,0,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
9,2020-09-14,Sat,Matchweek 12,Home,L 0–1,Wolves,Aston Villa,Y*,CB,90,44,43,1,1,0,0,0,0,0,0,0,0,27,0,0,/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League
10,2020-09-14,Tue,Matchweek 13,Home,W 2–1,Wolves,Chelsea,Y*,CB,90,35,34,1,1,0,0,0,0,0,0,0,0,30,0,0,/en/matches/20bd0665/Wolverhampton-Wanderers-Chelsea-December-15-2020-Premier-League
11,2020-09-14,Mon,Matchweek 14,Away,L 1–2,Wolves,Burnley,Y*,CB,90,54,51,3,3,0,2,0,0,0,0,0,0,46,0,0,/en/matches/4e106790/Burnley-Wolverhampton-Wanderers-December-21-2020-Premier-League
12,2020-09-14,Sun,Matchweek 15,Home,D 1–1,Wolves,Tottenham,Y*,CB,90,67,64,3,2,0,0,0,1,0,0,0,0,59,0,0,/en/matches/f50faef3/Wolverhampton-Wanderers-Tottenham-Hotspur-December-27-2020-Premier-League
13,2020-09-14,Tue,Matchweek 16,Away,L 0–1,Wolves,Manchester Utd,Y*,CB,90,42,39,2,2,0,0,0,0,0,0,0,0,37,1,0,/en/matches/a8d659e4/Manchester-United-Wolverhampton-Wanderers-December-29-2020-Premier-League
14,2020-09-14,Sat,Matchweek 17,Away,D 3–3,Wolves,Brighton,Y*,CB,90,45,44,1,1,0,0,0,0,0,0,0,0,38,0,0,/en/matches/abeb80b7/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-January-2-2021-Premier-League
15,2020-09-14,Tue,Matchweek 18,Home,L 1–2,Wolves,Everton,Y*,CB,90,76,74,2,2,0,0,0,0,0,0,0,0,68,0,0,/en/matches/8cbb9119/Wolverhampton-Wanderers-Everton-January-12-2021-Premier-League
16,2020-09-14,Sat,Matchweek 19,Home,L 2–3,Wolves,West Brom,Y*,CB,63,50,49,1,1,0,0,0,0,0,0,0,0,45,0,0,/en/matches/93420516/Wolverhampton-Wanderers-West-Bromwich-Albion-January-16-2021-Premier-League
17,2020-09-14,Wed,Matchweek 20,Away,D 0–0,Wolves,Chelsea,Y*,CB,90,22,20,2,2,0,0,0,0,0,0,0,0,19,0,0,/en/matches/42eeae0e/Chelsea-Wolverhampton-Wanderers-January-27-2021-Premier-League
18,2020-09-14,Sat,Matchweek 21,Away,L 0–1,Wolves,Crystal Palace,Y*,CB,90,60,57,3,3,0,1,0,0,0,0,0,0,55,0,0,/en/matches/111bd050/Crystal-Palace-Wolverhampton-Wanderers-January-30-2021-Premier-League
19,2020-09-14,Tue,Matchweek 22,Home,W 2–1,Wolves,Arsenal,Y*,CB,90,61,58,2,1,0,0,0,0,0,0,0,0,56,1,0,/en/matches/558fa672/Wolverhampton-Wanderers-Arsenal-February-2-2021-Premier-League
20,2020-09-14,Sun,Matchweek 23,Home,D 0–0,Wolves,Leicester City,Y*,CB,90,52,51,1,0,0,0,0,0,0,0,0,0,46,0,1,/en/matches/dca0be20/Wolverhampton-Wanderers-Leicester-City-February-7-2021-Premier-League
21,2020-09-14,Sun,Matchweek 24,Away,W 2–1,Wolves,Southampton,Y*,CB,90,57,54,3,3,0,1,0,0,0,0,0,0,53,0,0,/en/matches/34682a95/Southampton-Wolverhampton-Wanderers-February-14-2021-Premier-League
22,2020-09-14,Fri,Matchweek 25,Home,W 1–0,Wolves,Leeds United,Y*,CB,90,27,27,0,0,0,0,0,0,0,0,0,0,20,0,0,/en/matches/ae2d6f15/Wolverhampton-Wanderers-Leeds-United-February-19-2021-Premier-League
23,2020-09-14,Sat,Matchweek 26,Away,D 1–1,Wolves,Newcastle Utd,Y*,CB,90,35,35,0,0,0,3,0,0,0,0,0,0,30,0,0,/en/matches/99e5e3dc/Newcastle-United-Wolverhampton-Wanderers-February-27-2021-Premier-League
24,2020-09-14,Tue,Matchweek 29,Away,L 1–4,Wolves,Manchester City,Y*,CB,90,31,31,0,0,0,0,0,0,0,0,0,0,28,0,0,/en/matches/7145e0a8/Manchester-City-Wolverhampton-Wanderers-March-2-2021-Premier-League
25,2020-09-14,Sat,Matchweek 27,Away,D 0–0,Wolves,Aston Villa,Y*,CB,90,32,31,1,1,0,0,0,0,0,0,0,0,31,0,0,/en/matches/e52c1e46/Aston-Villa-Wolverhampton-Wanderers-March-6-2021-Premier-League
26,2020-09-14,Mon,Matchweek 28,Home,L 0–1,Wolves,Liverpool,Y*,CB,90,56,54,2,1,0,0,0,1,0,0,0,0,51,0,0,/en/matches/ad3063c2/Wolverhampton-Wanderers-Liverpool-March-15-2021-Premier-League
27,2020-09-14,Mon,Matchweek 30,Home,L 2–3,Wolves,West Ham,Y*,CB,90,80,80,0,0,0,2,0,0,0,0,0,0,72,0,0,/en/matches/4c2f6a7b/Wolverhampton-Wanderers-West-Ham-United-April-5-2021-Premier-League
28,2020-09-14,Fri,Matchweek 31,Away,W 1–0,Wolves,Fulham,Y*,CB,90,57,53,4,3,0,0,0,1,0,0,0,0,52,0,0,/en/matches/be1ee647/Fulham-Wolverhampton-Wanderers-April-9-2021-Premier-League
29,2020-09-14,Sat,Matchweek 32,Home,W 1–0,Wolves,Sheffield Utd,Y*,CB,90,46,43,2,2,0,0,0,0,0,0,0,0,40,1,0,/en/matches/07745ff2/Wolverhampton-Wanderers-Sheffield-United-April-17-2021-Premier-League
30,2020-09-14,Sun,Matchweek 33,Home,L 0–4,Wolves,Burnley,Y*,CB,90,47,45,2,2,0,0,0,0,0,0,0,0,40,0,1,/en/matches/5656770f/Wolverhampton-Wanderers-Burnley-April-25-2021-Premier-League
31,2020-09-14,Mon,Matchweek 34,Away,D 1–1,Wolves,West Brom,Y*,CB,90,48,43,5,5,0,0,0,0,0,0,0,0,38,0,0,/en/matches/378a8a95/West-Bromwich-Albion-Wolverhampton-Wanderers-May-3-2021-Premier-League
32,2020-09-14,Sun,Matchweek 35,Home,W 2–1,Wolves,Brighton,Y*,CB,90,68,65,3,2,0,1,0,1,0,0,0,0,64,0,0,/en/matches/ad903480/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-May-9-2021-Premier-League
33,2020-09-14,Sun,Matchweek 36,Away,L 0–2,Wolves,Tottenham,Y*,CB,90,37,36,1,1,0,0,0,0,0,0,0,0,28,0,0,/en/matches/9059c960/Tottenham-Hotspur-Wolverhampton-Wanderers-May-16-2021-Premier-League
34,2020-09-14,Wed,Matchweek 37,Away,L 0–1,Wolves,Everton,Y*,CB,90,67,66,1,1,0,0,0,0,0,0,0,0,64,0,0,/en/matches/eb7bd01f/Everton-Wolverhampton-Wanderers-May-19-2021-Premier-League
35,2020-09-14,Sun,Matchweek 38,Home,L 1–2,Wolves,Manchester Utd,Y*,CB,90,85,85,0,0,0,0,0,0,0,0,0,0,79,0,1,/en/matches/2c081c94/Wolverhampton-Wanderers-Manchester-United-May-23-2021-Premier-League
