,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022-08-06,Sat,Matchweek 6,Home,W 2–1,Tottenham,Fulham,Y,CB,90,1,0,0,1,0,0,0,3,1,0,0,0,4,3,0,100.0,/en/matches/a497b725/Tottenham-Hotspur-Fulham-September-3-2022-Premier-League
2,2022-08-06,Sat,Matchweek 8,Home,W 6–2,Tottenham,Leicester City,N,CB,32,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,,/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League
3,2022-08-06,Sat,Matchweek 9,Away,L 1–3,Tottenham,Arsenal,Y,CB,90,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,100.0,/en/matches/aefe3b90/North-London-Derby-Arsenal-Tottenham-Hotspur-October-1-2022-Premier-League
4,2022-08-06,Sat,Matchweek 10,Away,W 1–0,Tottenham,Brighton,Y,CB,90,0,0,0,2,0,0,0,1,2,0,0,0,6,1,3,25.0,/en/matches/3eeefbc5/Brighton-and-Hove-Albion-Tottenham-Hotspur-October-8-2022-Premier-League
5,2022-08-06,Sat,Matchweek 11,Home,W 2–0,Tottenham,Everton,Y,CB,86,0,0,0,2,0,0,0,1,1,0,0,0,6,4,3,57.1,/en/matches/e42493f9/Tottenham-Hotspur-Everton-October-15-2022-Premier-League
6,2022-08-06,Wed,Matchweek 12,Away,L 0–2,Tottenham,Manchester Utd,Y,CB,90,0,0,0,1,1,0,0,3,2,0,0,0,6,4,0,100.0,/en/matches/eebe78c1/Manchester-United-Tottenham-Hotspur-October-19-2022-Premier-League
7,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022-08-06,Sun,Matchweek 18,Home,L 0–2,Tottenham,Aston Villa,Y,CB,90,1,0,0,3,0,0,0,2,0,0,0,0,10,2,1,66.7,/en/matches/63e8eaf8/Tottenham-Hotspur-Aston-Villa-January-1-2023-Premier-League
9,2022-08-06,Wed,Matchweek 19,Away,W 4–0,Tottenham,Crystal Palace,Y,CB,90,0,0,0,1,0,0,0,0,2,0,0,0,8,1,1,50.0,/en/matches/d8118454/Crystal-Palace-Tottenham-Hotspur-January-4-2023-Premier-League
10,2022-08-06,Sun,Matchweek 20,Home,L 0–2,Tottenham,Arsenal,Y,"CB,RB",90,1,0,0,4,0,0,0,3,1,0,0,0,6,3,1,75.0,/en/matches/4fc8b7b2/North-London-Derby-Tottenham-Hotspur-Arsenal-January-15-2023-Premier-League
11,2022-08-06,Thu,Matchweek 7,Away,L 2–4,Tottenham,Manchester City,Y,CB,90,1,0,0,1,0,0,0,0,2,0,0,0,6,0,1,0.0,/en/matches/847f0a9c/Manchester-City-Tottenham-Hotspur-January-19-2023-Premier-League
12,2022-08-06,Mon,Matchweek 21,Away,W 1–0,Tottenham,Fulham,Y,CB,90,1,0,0,3,1,0,0,1,1,0,0,0,4,4,0,100.0,/en/matches/098cd338/Fulham-Tottenham-Hotspur-January-23-2023-Premier-League
13,2022-08-06,Sun,Matchweek 22,Home,W 1–0,Tottenham,Manchester City,Y,CB,86,2,1,1,2,2,0,0,2,1,0,0,0,4,1,0,100.0,/en/matches/8a923619/Tottenham-Hotspur-Manchester-City-February-5-2023-Premier-League
14,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,
