,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-17,Thu,EFL Cup,Second round,Home,W 4–0,Brighton,Portsmouth,Y,CB,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/bf5d7181/Brighton-and-Hove-Albion-Portsmouth-September-17-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-20,Sun,Premier League,Matchweek 2,Away,W 3–0,Brighton,Newcastle Utd,N,LB,33,0,0,0,0,0,0,0,0,18.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,2.0,9.0,0.0,0.0,0.0,/en/matches/845f6a86/Newcastle-United-Brighton-and-Hove-Albion-September-20-2020-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-23,Wed,EFL Cup,Third round,Away,W 2–0,Brighton,Preston,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7166996d/Preston-North-End-Brighton-and-Hove-Albion-September-23-2020-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-09-30,Wed,EFL Cup,Fourth round,Home,L 0–3,Brighton,Manchester Utd,Y,CB,90,0,0,0,0,1,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/310f1db8/Brighton-and-Hove-Albion-Manchester-United-September-30-2020-EFL-Cup,0.0,1.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 1–1,Brighton,Crystal Palace,Y,CB,81,0,0,0,0,1,0,0,0,75.0,0.0,0,2.0,0.1,0.1,0.0,2.0,0.0,58.0,68.0,85.3,5.0,38.0,1.0,0.0,0.0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,0.5,0.6666666666666666,0.3717948717948717
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-26,Mon,Premier League,Matchweek 6,Home,D 1–1,Brighton,West Brom,Y,"CB,LB",90,0,0,0,0,1,0,0,0,63.0,2.0,2,0.0,0.0,0.0,0.0,1.0,0.0,38.0,54.0,70.4,6.0,28.0,3.0,2.0,2.0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League,0.5,0.5,0.369047619047619
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-11-01,Sun,Premier League,Matchweek 7,Away,L 1–2,Brighton,Tottenham,Y,CB,90,0,0,0,0,1,0,1,0,59.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,80.0,4.0,32.0,1.0,1.0,0.0,/en/matches/1d01ff0c/Tottenham-Hotspur-Brighton-and-Hove-Albion-November-1-2020-Premier-League,0.0,0.3333333333333333,0.6785714285714287
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-11-06,Fri,Premier League,Matchweek 8,Home,D 0–0,Brighton,Burnley,Y,LB,90,0,0,0,0,1,0,0,0,74.0,1.0,1,1.0,0.0,0.0,0.1,4.0,0.0,48.0,64.0,75.0,8.0,36.0,5.0,2.0,1.0,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League,0.5,0.3333333333333333,0.1923076923076922
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-11-21,Sat,Premier League,Matchweek 9,Away,W 2–1,Brighton,Aston Villa,N,CB,11,0,0,0,0,0,0,0,0,7.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League,1.0,0.3333333333333333,0.4642857142857143
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-13,Sun,Premier League,Matchweek 12,Away,L 0–3,Brighton,Leicester City,Y,LB,90,0,0,0,0,0,0,1,0,57.0,2.0,1,2.0,0.0,0.0,0.1,1.0,0.0,36.0,47.0,76.6,2.0,20.0,0.0,0.0,0.0,/en/matches/964e6470/Leicester-City-Brighton-and-Hove-Albion-December-13-2020-Premier-League,0.0,0.5,0.5714285714285715
