,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sat,Matchweek 3,Away,W 2–1,Leicester City,Norwich City,Y,CB,90,61,75,81.3,1216,434,22,26,84.6,34,41,82.9,5,7,71.4,0,0.0,0.0,1,4,1,0,7,/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Home,L 0–1,Leicester City,Manchester City,N,"On matchday squad, but did not play",/en/matches/8dd69c8d/Leicester-City-Manchester-City-September-11-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2021-08-14,Sun,Matchweek 5,Away,L 1–2,Leicester City,Brighton,N,"On matchday squad, but did not play",/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-08-14,Sun,Matchweek 7,Away,D 2–2,Leicester City,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2021-08-14,Sat,Matchweek 8,Home,W 4–2,Leicester City,Manchester Utd,Y,CB,90,51,54,94.4,807,293,23,23,100.0,23,24,95.8,2,3,66.7,0,0.0,0.0,0,0,0,0,1,/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League
6,2021-08-14,Sun,Matchweek 9,Away,W 2–1,Leicester City,Brentford,Y,CB,90,37,48,77.1,652,303,18,22,81.8,16,18,88.9,3,6,50.0,0,0.0,0.0,0,3,0,0,3,/en/matches/b5c25937/Brentford-Leicester-City-October-24-2021-Premier-League
7,2021-08-14,Sat,Matchweek 10,Home,L 0–2,Leicester City,Arsenal,Y,CB,45,50,53,94.3,863,302,19,21,90.5,30,31,96.8,1,1,100.0,0,0.0,0.0,0,10,0,0,7,/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League
8,2021-08-14,Sun,Matchweek 11,Away,D 1–1,Leicester City,Leeds United,N,CB,21,8,8,100.0,131,65,3,3,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Home,L 0–3,Leicester City,Chelsea,Y,CB,90,28,43,65.1,392,126,15,21,71.4,11,12,91.7,1,4,25.0,0,0.0,0.0,0,1,0,0,0,/en/matches/2fd486d6/Leicester-City-Chelsea-November-20-2021-Premier-League
10,2021-08-14,Sun,Matchweek 13,Home,W 4–2,Leicester City,Watford,N,"On matchday squad, but did not play",/en/matches/c2e426c8/Leicester-City-Watford-November-28-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2021-08-14,Wed,Matchweek 14,Away,D 2–2,Leicester City,Southampton,N,"On matchday squad, but did not play",/en/matches/135f5959/Southampton-Leicester-City-December-1-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-08-14,Sun,Matchweek 19,Away,L 3–6,Leicester City,Manchester City,Y,CB,90,39,41,95.1,682,230,13,13,100.0,24,24,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/49e84e17/Manchester-City-Leicester-City-December-26-2021-Premier-League
14,2021-08-14,Tue,Matchweek 20,Home,W 1–0,Leicester City,Liverpool,Y,CB,90,26,31,83.9,508,223,11,12,91.7,11,12,91.7,4,6,66.7,0,0.0,0.0,0,3,0,0,3,/en/matches/8ad7b26f/Leicester-City-Liverpool-December-28-2021-Premier-League
15,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-08-14,Sun,Matchweek 23,Home,D 1–1,Leicester City,Brighton,Y,CB,90,41,47,87.2,748,260,14,14,100.0,22,24,91.7,5,8,62.5,0,0.0,0.0,0,2,0,0,2,/en/matches/a28f6f69/Leicester-City-Brighton-and-Hove-Albion-January-23-2022-Premier-League
