,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2021-08-07,Sat,Community Shield,FA Community Shield,Neutral,W 1–0,Leicester City,Manchester City,Y,CB,90,0,,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/6a1fc101/Leicester-City-Manchester-City-August-7-2021-FA-Community-Shield,1.0,0.5
1,1,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 1–0,Leicester City,Wolves,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,89.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,74.0,81.0,91.4,2.0,58.0,0.0,0.0,0.0,/en/matches/0b346a62/Leicester-City-Wolverhampton-Wanderers-August-14-2021-Premier-League,1.0,0.5
2,2,2021-08-23,Mon,Premier League,Matchweek 2,Away,L 1–4,Leicester City,West Ham,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,93.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,87.0,92.0,5.0,74.0,0.0,0.0,0.0,/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,0.0,0.5
3,3,2021-08-28,Sat,Premier League,Matchweek 3,Away,W 2–1,Leicester City,Norwich City,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,78.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,61.0,75.0,81.3,7.0,43.0,2.0,2.0,2.0,/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League,1.0,0.6666666666666666
4,4,2021-09-03,Fri,WCQ,Second round,Home,W 1–0,gh Ghana,et Ethiopia,Y,CB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/db1404eb/Ghana-Ethiopia-September-3-2021-WCQ----CAF-M,1.0,0.6666666666666666
5,5,2021-09-22,Wed,EFL Cup,Third round,Away,W 2–0,Leicester City,Millwall,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/70b9eff1/Millwall-Leicester-City-September-22-2021-EFL-Cup,1.0,0.6666666666666666
6,6,2021-09-30,Thu,Europa Lg,Group stage,Away,L 0–1,eng Leicester City,pl Legia Warsaw,Y,CB,77,0,0.0,0,0,0.0,0.0,0,0,82.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,74.0,77.0,96.1,4.0,74.0,3.0,1.0,0.0,/en/matches/a44d023b/Legia-Warsaw-Leicester-City-September-30-2021-Europa-League,0.0,1.0
7,7,2021-10-09,Sat,WCQ,Second round,Home,W 3–1,gh Ghana,zw Zimbabwe,Y,RB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ee0bbe11/Ghana-Zimbabwe-October-9-2021-WCQ----CAF-M,1.0,0.6666666666666666
8,8,2021-10-12,Tue,WCQ,Second round,Away,W 1–0,gh Ghana,zw Zimbabwe,Y,RB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/d21bfd16/Zimbabwe-Ghana-October-12-2021-WCQ----CAF-M,1.0,0.6666666666666666
9,9,2021-10-16,Sat,Premier League,Matchweek 8,Home,W 4–2,Leicester City,Manchester Utd,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,54.0,94.4,1.0,48.0,1.0,0.0,0.0,/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League,1.0,0.6666666666666666
10,10,2021-10-20,Wed,Europa Lg,Group stage,Away,W 4–3,eng Leicester City,ru Spartak Moscow,Y,CB,90,0,0.0,0,0,1.0,0.0,0,0,76.0,4.0,2.0,4.0,0.2,0.2,0.0,0.0,0.0,52.0,57.0,91.2,4.0,33.0,3.0,1.0,0.0,/en/matches/5fb74839/Spartak-Moscow-Leicester-City-October-20-2021-Europa-League,1.0,1.0
11,11,2021-10-24,Sun,Premier League,Matchweek 9,Away,W 2–1,Leicester City,Brentford,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,48.0,77.1,3.0,13.0,1.0,1.0,0.0,/en/matches/b5c25937/Brentford-Leicester-City-October-24-2021-Premier-League,1.0,1.0
12,12,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–2,Leicester City,Arsenal,Y,CB,45,0,0.0,0,0,0.0,0.0,0,0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,53.0,94.3,7.0,40.0,1.0,0.0,0.0,/en/matches/719b57c6/Leicester-City-Arsenal-October-30-2021-Premier-League,0.0,1.0
13,13,2021-11-04,Thu,Europa Lg,Group stage,Home,D 1–1,eng Leicester City,ru Spartak Moscow,Y,CB,90,1,0.0,0,0,2.0,1.0,0,0,118.0,2.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,106.0,112.0,94.6,8.0,80.0,2.0,0.0,0.0,/en/matches/d8832d11/Leicester-City-Spartak-Moscow-November-4-2021-Europa-League,0.5,0.6666666666666666
14,14,2021-11-07,Sun,Premier League,Matchweek 11,Away,D 1–1,Leicester City,Leeds United,N,CB,21,0,0.0,0,0,0.0,0.0,0,0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,8.0,100.0,1.0,8.0,0.0,0.0,0.0,/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League,0.5,0.5
15,15,2021-11-11,Thu,WCQ,Second round,Away,D 1–1,gh Ghana,et Ethiopia,Y,CB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c9b760a1/Ethiopia-Ghana-November-11-2021-WCQ----CAF-M,0.5,0.3333333333333333
16,16,2021-11-14,Sun,WCQ,Second round,Home,W 1–0,gh Ghana,za South Africa,Y,CB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2313b3c9/Ghana-South-Africa-November-14-2021-WCQ----CAF-M,1.0,0.5
17,17,2021-11-20,Sat,Premier League,Matchweek 12,Home,L 0–3,Leicester City,Chelsea,Y,CB,90,0,0.0,0,0,1.0,1.0,1,0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,43.0,65.1,0.0,32.0,1.0,0.0,0.0,/en/matches/2fd486d6/Leicester-City-Chelsea-November-20-2021-Premier-League,0.0,0.6666666666666666
18,18,2021-11-25,Thu,Europa Lg,Group stage,Home,W 3–1,eng Leicester City,pl Legia Warsaw,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,78.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,66.0,70.0,94.3,3.0,58.0,0.0,1.0,1.0,/en/matches/19efd03a/Leicester-City-Legia-Warsaw-November-25-2021-Europa-League,1.0,0.5
19,19,2021-12-26,Sun,Premier League,Matchweek 19,Away,L 3–6,Leicester City,Manchester City,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,51.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,41.0,95.1,0.0,40.0,0.0,0.0,0.0,/en/matches/49e84e17/Manchester-City-Leicester-City-December-26-2021-Premier-League,0.0,0.6666666666666666
20,20,2021-12-28,Tue,Premier League,Matchweek 20,Home,W 1–0,Leicester City,Liverpool,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,52.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,26.0,31.0,83.9,3.0,15.0,0.0,0.0,0.0,/en/matches/8ad7b26f/Leicester-City-Liverpool-December-28-2021-Premier-League,1.0,0.3333333333333333
21,21,2022-01-05,Wed,Friendlies (M),Friendlies (M),Neutral,L 0–3,gh Ghana,dz Algeria,Y,RB,90,0,0.0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6b6d0857/Algeria-Ghana-January-5-2022-Friendlies-M,0.0,0.6666666666666666
22,22,2022-01-10,Mon,Africa Cup of Nations,Group stage,Neutral,L 0–1,gh Ghana,ma Morocco,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/9112e256/Morocco-Ghana-January-10-2022-Africa-Cup-of-Nations,0.0,0.3333333333333333
23,23,2022-01-14,Fri,Africa Cup of Nations,Group stage,Neutral,D 1–1,gh Ghana,ga Gabon,Y,CB,90,0,0.0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/718c8890/Gabon-Ghana-January-14-2022-Africa-Cup-of-Nations,0.5,0.3333333333333333
24,24,2022-01-18,Tue,Africa Cup of Nations,Group stage,Neutral,L 2–3,gh Ghana,km Comoros,Y,,90,0,0.0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/5c9493fe/Ghana-Comoros-January-18-2022-Africa-Cup-of-Nations,0.0,0.16666666666666666
