,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 1,Home,W 5–1,Manchester Utd,Leeds United,Y,RW,74,0,0,0,0,3,1,0,0,34,2,0,2,0.2,0.2,0.0,2,0,13,19,68.4,2,16,2,1,0,Match Report
1,Sun,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Southampton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sun,Premier League,Matchweek 3,Away,W 1–0,Manchester Utd,Wolves,Y,RW,52,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.3,1,0,7,15,46.7,1,10,3,0,0,Match Report
3,Sun,WCQ,First round,Away,W 3–2,wls Wales,by Belarus,Y,FW,90,0,1,0,0,2,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
4,Wed,WCQ,First round,Home,D 0–0,wls Wales,ee Estonia,Y,FW,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
5,Sun,Premier League,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,N,LM,23,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,12,2,1,0,Match Report
6,Fri,Premier League,Matchweek 5,Away,D 1–1,Leeds United,Newcastle Utd,Y,LM,60,0,0,0,0,2,0,0,0,27,2,1,0,0.2,0.2,0.1,1,0,10,16,62.5,1,14,0,4,2,Match Report
7,Tue,EFL Cup,Third round,Away,D 0 (6)–0 (5),Leeds United,Fulham,Y,AM,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
8,Sat,Premier League,Matchweek 6,Home,L 1–2,Leeds United,West Ham,Y,LM,45,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,5,80.0,1,6,1,0,0,Match Report
9,Sat,Premier League,Matchweek 7,Home,W 1–0,Leeds United,Watford,Y,LM,90,0,0,0,0,2,0,0,0,30,0,0,1,0.1,0.1,0.0,3,0,9,20,45.0,3,21,3,4,0,Match Report
10,Fri,WCQ,First round,Away,D 2–2,wls Wales,cz Czech Republic,Y,FW,90,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
11,Mon,WCQ,First round,Away,W 1–0,wls Wales,ee Estonia,Y,FW,90,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
12,Sat,Premier League,Matchweek 8,Away,L 0–1,Leeds United,Southampton,Y,"LW,RW",90,0,0,0,0,1,0,0,0,29,0,1,0,0.1,0.1,0.0,0,0,15,22,68.2,2,19,2,4,2,Match Report
13,Sat,Premier League,Matchweek 9,Home,D 1–1,Leeds United,Wolves,Y,FW,90,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,1,0,15,21,71.4,1,12,1,0,0,Match Report
14,Tue,EFL Cup,Fourth round,Away,L 0–2,Leeds United,Arsenal,Y,AM,69,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,Match Report
15,Sun,Premier League,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,Y,"LW,FW",76,0,1,0,0,1,0,0,0,23,0,0,0,0.2,0.2,0.2,4,1,14,16,87.5,2,9,2,2,2,Match Report
16,Sun,Premier League,Matchweek 11,Home,D 1–1,Leeds United,Leicester City,Y,"FW,LM",90,0,0,0,0,6,0,0,0,45,1,1,1,0.2,0.2,0.0,3,0,19,32,59.4,6,29,4,2,0,Match Report
17,Sat,WCQ,First round,Home,W 5–1,wls Wales,by Belarus,Y,LM,75,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
18,Tue,WCQ,First round,Home,D 1–1,wls Wales,be Belgium,Y,FW,90,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
19,Sun,Premier League,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,"RW,CM",90,1,0,0,0,7,4,0,0,38,0,1,0,0.9,0.9,0.0,2,0,13,27,48.1,1,30,7,1,1,Match Report
20,Sat,Premier League,Matchweek 13,Away,D 0–0,Leeds United,Brighton,Y,"FW,RW",90,0,0,0,0,2,0,0,0,17,0,0,1,0.2,0.2,0.1,1,0,6,10,60.0,1,13,1,2,2,Match Report
21,Tue,Premier League,Matchweek 14,Home,W 1–0,Leeds United,Crystal Palace,Y,LM,90,0,0,0,0,4,0,0,0,44,3,1,2,0.2,0.2,0.1,2,0,16,23,69.6,5,28,4,4,0,Match Report
22,Sun,Premier League,Matchweek 15,Home,D 2–2,Leeds United,Brentford,Y,"LW,RW",90,0,0,0,0,0,0,0,0,36,2,1,0,0.0,0.0,0.1,4,0,21,28,75.0,4,28,2,0,0,Match Report
23,Sat,Premier League,Matchweek 16,Away,L 2–3,Leeds United,Chelsea,Y,FW,87,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,6,2,12,18,66.7,2,17,3,5,3,Match Report
24,Tue,Premier League,Matchweek 17,Away,L 0–7,Leeds United,Manchester City,Y,FW,45,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,3,0,0,0,Match Report
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sun,Premier League,Matchweek 21,Home,W 3–1,Leeds United,Burnley,N,LW,29,1,0,0,0,1,1,0,0,10,0,0,0,0.3,0.3,0.5,2,0,4,8,50.0,1,6,1,0,0,Match Report
27,Sun,FA Cup,Third round proper,Away,L 0–2,Leeds United,West Ham,Y,AM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
28,Sun,Premier League,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,FW,90,0,0,0,0,5,1,1,0,30,2,0,2,0.3,0.3,0.0,3,0,11,18,61.1,1,14,3,3,1,Match Report
