,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-02-01,Sun,Matchweek 27,Home,W 3–0,Wolves,Norwich City,N,"On matchday squad, but did not play",/en/matches/09ec6552/Wolverhampton-Wanderers-Norwich-City-February-23-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2020-02-01,Sun,Matchweek 28,Away,W 3–2,Wolves,Tottenham,N,FW,1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/2475762d/Tottenham-Hotspur-Wolverhampton-Wanderers-March-1-2020-Premier-League
2,2020-02-01,Sat,Matchweek 29,Home,D 0–0,Wolves,Brighton,N,LW,17,5,8,62.5,54,24,4,4,100.0,1,3,33.3,0,0,,0,0.1,0.0,1,0,1,0,2,/en/matches/6a08610e/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-March-7-2020-Premier-League
3,2020-02-01,Sat,Matchweek 30,Away,W 2–0,Wolves,West Ham,N,"On matchday squad, but did not play",/en/matches/6ddd148a/West-Ham-United-Wolverhampton-Wanderers-June-20-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2020-02-01,Wed,Matchweek 31,Home,W 1–0,Wolves,Bournemouth,N,FW,1,2,3,66.7,25,8,1,1,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/4f61e5af/Wolverhampton-Wanderers-Bournemouth-June-24-2020-Premier-League
5,2020-02-01,Sat,Matchweek 32,Away,W 1–0,Wolves,Aston Villa,N,"On matchday squad, but did not play",/en/matches/b4483d72/Aston-Villa-Wolverhampton-Wanderers-June-27-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-02-01,Wed,Matchweek 34,Away,L 0–1,Wolves,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/f898c8ea/Sheffield-United-Wolverhampton-Wanderers-July-8-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2020-02-01,Sun,Matchweek 35,Home,W 3–0,Wolves,Everton,Y,"LW,RW",70,23,33,69.7,282,41,12,15,80.0,7,13,53.8,0,1,0.0,0,0.0,0.0,1,2,0,0,3,/en/matches/476e8583/Wolverhampton-Wanderers-Everton-July-12-2020-Premier-League
9,2020-02-01,Wed,Matchweek 36,Away,D 1–1,Wolves,Burnley,Y,RW,69,10,16,62.5,109,33,6,9,66.7,2,2,100.0,0,1,0.0,0,0.1,0.1,1,0,1,0,1,/en/matches/a7c5d31f/Burnley-Wolverhampton-Wanderers-July-15-2020-Premier-League
10,2020-02-01,Mon,Matchweek 37,Home,W 2–0,Wolves,Crystal Palace,Y,LW,71,14,20,70.0,209,15,7,8,87.5,5,7,71.4,1,2,50.0,0,0.2,0.0,1,0,1,0,1,/en/matches/70598e52/Wolverhampton-Wanderers-Crystal-Palace-July-20-2020-Premier-League
11,2020-02-01,Sun,Matchweek 38,Away,L 0–2,Wolves,Chelsea,N,RM,32,5,7,71.4,116,9,0,1,0.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,/en/matches/9cca4ba0/Chelsea-Wolverhampton-Wanderers-July-26-2020-Premier-League
