,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-14,Sun,Matchweek 4,Home,W 1–0,Wolves,Fulham,Y,FW,70,27,0,1,12,14,0,27,1,1,100.0,0,0.0,19,88,40,2,1,0,0,0,23,4,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
2,2020-09-14,Mon,Matchweek 5,Away,W 1–0,Wolves,Leeds United,Y,FW,64,21,1,2,11,8,1,21,1,0,0.0,1,100.0,9,51,37,1,0,0,3,0,16,1,/en/matches/6a2c4518/Leeds-United-Wolverhampton-Wanderers-October-19-2020-Premier-League
3,2020-09-14,Sun,Matchweek 6,Home,D 1–1,Wolves,Newcastle Utd,Y,LW,67,47,0,1,21,26,5,47,7,5,71.4,2,28.6,32,134,40,1,1,1,1,1,40,9,/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League
4,2020-09-14,Fri,Matchweek 7,Home,W 2–0,Wolves,Crystal Palace,Y,AM,75,48,1,3,14,32,5,48,2,1,50.0,1,50.0,33,141,70,3,1,1,0,0,35,9,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League
5,2020-09-14,Sun,Matchweek 8,Away,L 0–1,Wolves,Leicester City,Y,AM,59,21,0,1,7,13,1,21,1,0,0.0,1,100.0,13,111,77,2,2,0,2,1,16,3,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League
6,2020-09-14,Mon,Matchweek 9,Home,D 1–1,Wolves,Southampton,Y,"LW,FW",84,40,0,5,15,20,7,40,2,0,0.0,2,100.0,23,104,65,2,0,2,5,0,30,7,/en/matches/e5bfd125/Wolverhampton-Wanderers-Southampton-November-23-2020-Premier-League
7,2020-09-14,Sun,Matchweek 10,Away,W 2–1,Wolves,Arsenal,Y,AM,69,38,2,7,18,14,3,38,5,4,80.0,1,20.0,26,149,74,2,1,2,0,1,28,2,/en/matches/fa17687c/Arsenal-Wolverhampton-Wanderers-November-29-2020-Premier-League
8,2020-09-14,Sun,Matchweek 11,Away,L 0–4,Wolves,Liverpool,Y,FW,70,27,0,3,12,12,1,27,4,1,25.0,3,75.0,18,112,19,0,2,0,1,2,21,2,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
9,2020-09-14,Sat,Matchweek 12,Home,L 0–1,Wolves,Aston Villa,Y,AM,90,47,2,8,20,21,5,47,4,4,100.0,0,0.0,33,286,195,7,2,2,2,0,36,6,/en/matches/f809a014/Wolverhampton-Wanderers-Aston-Villa-December-12-2020-Premier-League
