,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-10,Sun,Matchweek 3,Home,L 0–1,Tottenham,Newcastle Utd,Y,LB,87,85,106,80.2,1249,359,58,63,92.1,23,30,76.7,4,7,57.1,0,0.0,0.1,1,10,2,1,11,/en/matches/c224d1e8/Tottenham-Hotspur-Newcastle-United-August-25-2019-Premier-League
1,2019-08-10,Sun,Matchweek 4,Away,D 2–2,Tottenham,Arsenal,Y,LB,90,32,36,88.9,681,440,10,11,90.9,19,20,95.0,3,4,75.0,0,0.0,0.0,0,3,0,0,2,/en/matches/0b6b8aaf/North-London-Derby-Arsenal-Tottenham-Hotspur-September-1-2019-Premier-League
2,2019-08-10,Sat,Matchweek 5,Home,W 4–0,Tottenham,Crystal Palace,Y,LB,75,44,54,81.5,761,181,21,25,84.0,18,21,85.7,4,7,57.1,0,0.1,0.1,2,0,2,0,4,/en/matches/1d812c17/Tottenham-Hotspur-Crystal-Palace-September-14-2019-Premier-League
3,2019-08-10,Sat,Matchweek 6,Away,L 1–2,Tottenham,Leicester City,Y,LB,90,47,68,69.1,714,394,30,33,90.9,15,25,60.0,2,6,33.3,0,0.0,0.0,1,6,1,1,11,/en/matches/e30adc4b/Leicester-City-Tottenham-Hotspur-September-21-2019-Premier-League
4,2019-08-10,Sat,Matchweek 7,Home,W 2–1,Tottenham,Southampton,Y,LB,90,35,49,71.4,492,251,20,23,87.0,13,19,68.4,1,5,20.0,0,0.0,0.0,1,1,0,0,5,/en/matches/23ec5db0/Tottenham-Hotspur-Southampton-September-28-2019-Premier-League
5,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-08-10,Sat,Matchweek 9,Home,D 1–1,Tottenham,Watford,Y,"LB,WB",90,55,71,77.5,732,235,37,41,90.2,15,19,78.9,2,5,40.0,0,0.0,0.1,0,3,2,1,8,/en/matches/4df24be7/Tottenham-Hotspur-Watford-October-19-2019-Premier-League
7,2019-08-10,Sun,Matchweek 10,Away,L 1–2,Tottenham,Liverpool,Y,LB,90,20,37,54.1,359,199,8,13,61.5,10,14,71.4,2,7,28.6,0,0.1,0.1,2,4,0,0,5,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League
8,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-08-10,Sat,Matchweek 13,Away,W 3–2,Tottenham,West Ham,N,LB,16,0,2,0.0,0,0,0,0,,0,1,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/a7dc884b/West-Ham-United-Tottenham-Hotspur-November-23-2019-Premier-League
