,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2022-08-07,Sat,Matchweek 3,Home,L 1–2,Leicester City,Southampton,Y,GK,90,27,30,90.0,585,320,6,6,100.0,17,17,100.0,4,7,57.1,0,0.0,0.0,0,1,0,0,0,/en/matches/02efd4d1/Leicester-City-Southampton-August-20-2022-Premier-League
1,2022-08-07,Sat,Matchweek 4,Away,L 1–2,Leicester City,Chelsea,Y,GK,90,15,17,88.2,354,229,4,4,100.0,8,8,100.0,3,5,60.0,0,0.0,0.0,0,0,0,0,0,/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League
2,2022-08-07,Thu,Matchweek 5,Home,L 0–1,Leicester City,Manchester Utd,Y,GK,90,53,62,85.5,1110,634,16,16,100.0,28,28,100.0,9,18,50.0,0,0.0,0.0,0,2,0,0,0,/en/matches/c1f25d02/Leicester-City-Manchester-United-September-1-2022-Premier-League
3,2022-08-07,Sun,Matchweek 6,Away,L 2–5,Leicester City,Brighton,Y,GK,90,30,43,69.8,693,410,3,3,100.0,23,24,95.8,4,14,28.6,0,0.0,0.0,0,0,0,0,0,/en/matches/42d5b3b1/Brighton-and-Hove-Albion-Leicester-City-September-4-2022-Premier-League
4,2022-08-07,Sat,Matchweek 8,Away,L 2–6,Leicester City,Tottenham,Y,GK,90,21,28,75.0,550,421,6,6,100.0,8,8,100.0,7,14,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/99e44c16/Tottenham-Hotspur-Leicester-City-September-17-2022-Premier-League
5,2022-08-07,Mon,Matchweek 9,Home,W 4–0,Leicester City,Nott'ham Forest,Y,GK,90,25,29,86.2,430,194,10,10,100.0,13,13,100.0,2,6,33.3,0,0.0,0.0,0,0,0,0,0,/en/matches/a7976021/Leicester-City-Nottingham-Forest-October-3-2022-Premier-League
6,2022-08-07,Sat,Matchweek 10,Away,L 1–2,Leicester City,Bournemouth,Y,GK,90,34,38,89.5,782,438,6,6,100.0,21,21,100.0,7,10,70.0,0,0.0,0.0,0,1,0,0,0,/en/matches/7db2a40a/Bournemouth-Leicester-City-October-8-2022-Premier-League
7,2022-08-07,Sat,Matchweek 11,Home,D 0–0,Leicester City,Crystal Palace,Y,GK,90,24,30,80.0,428,208,8,8,100.0,15,15,100.0,1,7,14.3,0,0.0,0.0,0,0,0,0,0,/en/matches/37677e58/Leicester-City-Crystal-Palace-October-15-2022-Premier-League
8,2022-08-07,Thu,Matchweek 12,Home,W 2–0,Leicester City,Leeds United,Y,GK,90,24,39,61.5,585,407,7,7,100.0,11,11,100.0,6,19,31.6,0,0.0,0.0,0,1,0,0,0,/en/matches/6356af5a/Leicester-City-Leeds-United-October-20-2022-Premier-League
9,2022-08-07,Sun,Matchweek 13,Away,W 4–0,Leicester City,Wolves,Y,GK,90,29,45,64.4,836,578,7,7,100.0,14,14,100.0,8,24,33.3,0,0.0,0.0,0,0,0,0,0,/en/matches/8774e664/Wolverhampton-Wanderers-Leicester-City-October-23-2022-Premier-League
