,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2021-08-28,Sun,Matchweek 5,Home,W 2–1,Brighton,Leicester City,Y,LM,69,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,/en/matches/723f5105/Brighton-and-Hove-Albion-Leicester-City-September-19-2021-Premier-League
1,2021-08-28,Mon,Matchweek 6,Away,D 1–1,Brighton,Crystal Palace,Y,"LW,FW",75,14,14,0,0,0,0,0,0,0,0,0,0,13,0,0,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League
2,2021-08-28,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-28,Sun,Matchweek 19,Home,W 2–0,Brighton,Brentford,N,FW,45,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0,/en/matches/1f64133b/Brighton-and-Hove-Albion-Brentford-December-26-2021-Premier-League
4,2021-08-28,Wed,Matchweek 20,Away,D 1–1,Brighton,Chelsea,N,AM,11,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,/en/matches/8fbe2e12/Chelsea-Brighton-and-Hove-Albion-December-29-2021-Premier-League
5,2021-08-28,Sun,Matchweek 21,Away,W 3–2,Brighton,Everton,N,"On matchday squad, but did not play",/en/matches/e22bb565/Everton-Brighton-and-Hove-Albion-January-2-2022-Premier-League,,,,,,,,,,,,,,,,
6,2021-08-28,Fri,Matchweek 22,Home,D 1–1,Brighton,Crystal Palace,N,FW,18,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,/en/matches/96630936/Brighton-and-Hove-Albion-Crystal-Palace-January-14-2022-Premier-League
7,2021-08-28,Tue,Matchweek 24,Home,D 1–1,Brighton,Chelsea,Y,LM,61,11,11,0,0,0,0,0,0,0,0,0,0,9,0,2,/en/matches/b4c9c369/Brighton-and-Hove-Albion-Chelsea-January-18-2022-Premier-League
8,2021-08-28,Sun,Matchweek 23,Away,D 1–1,Brighton,Leicester City,N,"DM,FW",29,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,/en/matches/a28f6f69/Leicester-City-Brighton-and-Hove-Albion-January-23-2022-Premier-League
9,2021-08-28,Sat,Matchweek 25,Away,W 2–0,Brighton,Watford,Y,FW,63,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,/en/matches/e04d98c4/Watford-Brighton-and-Hove-Albion-February-12-2022-Premier-League
10,2021-08-28,Tue,Matchweek 18,Away,L 0–2,Brighton,Manchester Utd,N,FW,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,/en/matches/a1fb5fa2/Manchester-United-Brighton-and-Hove-Albion-February-15-2022-Premier-League
11,2021-08-28,Sat,Matchweek 26,Home,L 0–3,Brighton,Burnley,Y,"FW,AM",67,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,/en/matches/b1df8cfd/Brighton-and-Hove-Albion-Burnley-February-19-2022-Premier-League
12,2021-08-28,Sat,Matchweek 27,Home,L 0–2,Brighton,Aston Villa,N,LM,29,7,6,1,0,0,0,0,1,0,0,0,0,7,0,0,/en/matches/8cabd787/Brighton-and-Hove-Albion-Aston-Villa-February-26-2022-Premier-League
