,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2023-08-12,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,Y,RW,74,0,0,0,0,4,2,0,0,49,0,0,0,0.2,0.2,0.0,2,0,24,38,63.2,6,30,3,2,0,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League
1,2023-08-19,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,N,RW,15,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.3,4,0,9,10,90.0,0,4,0,0,0,/en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League
2,2023-08-26,Sat,Premier League,Matchweek 3,Home,L 0–2,Bournemouth,Tottenham,N,"RW,RM",18,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,3,5,1,0,0,/en/matches/f49c4ad2/Bournemouth-Tottenham-Hotspur-August-26-2023-Premier-League
3,2023-08-29,Tue,EFL Cup,Second round,Away,W 3–2,Bournemouth,Swansea City,Y*,AM,81,1,0,0,0,4,1,1,0,,,0,,,,,,,,,,,,,,,/en/matches/ad941675/Swansea-City-Bournemouth-August-29-2023-EFL-Cup
4,2023-09-02,Sat,Premier League,Matchweek 4,Away,D 2–2,Bournemouth,Brentford,N,"RW,RM",31,1,0,0,0,2,1,0,0,10,0,0,1,1.0,1.0,0.0,1,1,2,4,50.0,0,5,0,1,1,/en/matches/e2946b10/Brentford-Bournemouth-September-2-2023-Premier-League
5,2023-09-07,Thu,Friendlies (M),Friendlies (M),Home,D 0–0,wls Wales,kr Korea Republic,N,,18,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c1557631/Wales-Korea-Republic-September-7-2023-Friendlies-M
6,2023-09-11,Mon,Euro Qualifying,Group stage,Away,W 2–0,wls Wales,lv Latvia,N,,42,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/83a47574/Latvia-Wales-September-11-2023-Euro-Qualifying
7,2023-09-17,Sun,Premier League,Matchweek 5,Home,D 0–0,Bournemouth,Chelsea,N,AM,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,0,2,4,50.0,1,4,0,0,0,/en/matches/be0cbf88/Bournemouth-Chelsea-September-17-2023-Premier-League
8,2023-09-24,Sun,Premier League,Matchweek 6,Away,L 1–3,Bournemouth,Brighton,N,"RW,DM",9,0,0,0,0,1,0,1,0,8,1,0,0,0.3,0.3,0.1,3,0,5,6,83.3,3,4,0,0,0,/en/matches/5593f16c/Brighton-and-Hove-Albion-Bournemouth-September-24-2023-Premier-League
9,2023-09-27,Wed,EFL Cup,Third round,Home,W 2–0,Bournemouth,Stoke City,Y,AM,61,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/22f62b32/Bournemouth-Stoke-City-September-27-2023-EFL-Cup
10,2023-10-07,Sat,Premier League,Matchweek 8,Away,L 0–3,Bournemouth,Everton,N,RM,24,0,0,0,0,0,0,0,0,14,0,1,1,0.0,0.0,0.0,1,0,6,10,60.0,0,9,1,0,0,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League
11,2023-10-15,Sun,Euro Qualifying,Group stage,Home,W 2–1,wls Wales,hr Croatia,Y,AM,56,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d2ea200a/Wales-Croatia-October-15-2023-Euro-Qualifying
12,2023-10-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Bournemouth,Wolves,Y,RW,56,0,0,0,0,1,1,0,0,29,2,1,0,0.0,0.0,0.1,2,1,17,22,77.3,3,19,0,1,0,/en/matches/007b352e/Bournemouth-Wolverhampton-Wanderers-October-21-2023-Premier-League
13,2023-11-01,Wed,EFL Cup,Fourth round,Home,L 1–2,Bournemouth,Liverpool,N,,17,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fcc1e67b/Bournemouth-Liverpool-November-1-2023-EFL-Cup
