,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2019-08-10,Sat,Matchweek 3,Home,L 0–2,Brighton,Southampton,Y,CM,90,50,1,8,29,14,0,50,3,2,66.7,1,33.3,23,144,93,2,3,0,4,0,32,1,/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League
1,2019-08-10,Sat,Matchweek 4,Away,L 0–4,Brighton,Manchester City,Y,CM,90,63,3,21,39,5,0,63,5,3,60.0,2,40.0,34,171,103,0,0,0,1,0,52,1,/en/matches/5b9865ad/Manchester-City-Brighton-and-Hove-Albion-August-31-2019-Premier-League
2,2019-08-10,Sat,Matchweek 5,Home,D 1–1,Brighton,Burnley,Y,CM,90,56,0,8,35,13,3,56,2,2,100.0,0,0.0,27,199,70,2,1,0,1,1,35,2,/en/matches/1d3bbc27/Brighton-and-Hove-Albion-Burnley-September-14-2019-Premier-League
3,2019-08-10,Sat,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,Y,CM,90,92,1,8,73,11,3,92,0,0,,0,,49,251,94,1,0,1,1,2,76,3,/en/matches/966fb8b0/Newcastle-United-Brighton-and-Hove-Albion-September-21-2019-Premier-League
4,2019-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-10,Sat,Matchweek 9,Away,L 1–2,Brighton,Aston Villa,Y,CM,90,75,6,21,39,15,1,75,1,1,100.0,0,0.0,38,155,88,1,3,0,2,1,53,2,/en/matches/34685c72/Aston-Villa-Brighton-and-Hove-Albion-October-19-2019-Premier-League
6,2019-08-10,Sat,Matchweek 10,Home,W 3–2,Brighton,Everton,Y,"RM,CM",90,70,1,10,43,19,1,70,1,1,100.0,0,0.0,35,228,97,2,1,1,2,1,49,3,/en/matches/f728ceea/Brighton-and-Hove-Albion-Everton-October-26-2019-Premier-League
7,2019-08-10,Sat,Matchweek 11,Home,W 2–0,Brighton,Norwich City,Y,CM,90,84,3,10,46,29,4,84,4,4,100.0,0,0.0,36,226,123,3,3,1,2,0,54,2,/en/matches/21f39009/Brighton-and-Hove-Albion-Norwich-City-November-2-2019-Premier-League
8,2019-08-10,Sun,Matchweek 12,Away,L 1–3,Brighton,Manchester Utd,Y,CM,90,59,1,15,38,7,0,59,5,5,100.0,0,0.0,33,245,118,2,1,0,3,3,43,2,/en/matches/014bbabe/Manchester-United-Brighton-and-Hove-Albion-November-10-2019-Premier-League
9,2019-08-10,Sat,Matchweek 13,Home,L 0–2,Brighton,Leicester City,Y,"CM,RM",90,57,2,16,32,10,0,57,2,2,100.0,0,0.0,34,157,67,0,0,0,1,1,45,1,/en/matches/d0f6bac9/Brighton-and-Hove-Albion-Leicester-City-November-23-2019-Premier-League
10,2019-08-10,Sat,Matchweek 14,Away,L 1–2,Brighton,Liverpool,Y,"RM,CM",90,76,2,13,41,25,0,76,6,5,83.3,1,16.7,42,230,127,3,4,0,3,0,55,2,/en/matches/2c240ae6/Liverpool-Brighton-and-Hove-Albion-November-30-2019-Premier-League
11,2019-08-10,Thu,Matchweek 15,Away,W 2–1,Brighton,Arsenal,Y,"RM,CM",90,51,0,6,31,14,0,51,3,1,33.3,2,66.7,33,201,124,1,1,0,3,0,41,1,/en/matches/372828cb/Arsenal-Brighton-and-Hove-Albion-December-5-2019-Premier-League
12,2019-08-10,Sun,Matchweek 16,Home,D 2–2,Brighton,Wolves,Y,"RM,CM",90,78,0,10,55,13,1,78,1,1,100.0,0,0.0,46,226,107,1,2,0,1,0,68,2,/en/matches/daad5806/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-December-8-2019-Premier-League
13,2019-08-10,Mon,Matchweek 17,Away,D 1–1,Brighton,Crystal Palace,Y,"DM,CM",90,96,3,18,56,22,1,96,3,2,66.7,1,33.3,55,280,103,1,1,0,1,0,75,0,/en/matches/1163ec4a/Crystal-Palace-Brighton-and-Hove-Albion-December-16-2019-Premier-League
14,2019-08-10,Sat,Matchweek 18,Home,L 0–1,Brighton,Sheffield Utd,Y,"RB,DM,CM,RM",90,68,0,10,31,27,3,68,4,1,25.0,3,75.0,40,267,159,6,3,1,2,0,51,2,/en/matches/473db5a3/Brighton-and-Hove-Albion-Sheffield-United-December-21-2019-Premier-League
15,2019-08-10,Thu,Matchweek 19,Away,L 1–2,Brighton,Tottenham,N,"On matchday squad, but did not play",/en/matches/eebe09b9/Tottenham-Hotspur-Brighton-and-Hove-Albion-December-26-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2019-08-10,Sat,Matchweek 20,Home,W 2–0,Brighton,Bournemouth,Y,"DM,CM",90,57,1,14,35,8,0,57,0,0,,0,,40,209,91,2,2,0,1,0,38,1,/en/matches/d7b72d7f/Brighton-and-Hove-Albion-Bournemouth-December-28-2019-Premier-League
17,2019-08-10,Wed,Matchweek 21,Home,D 1–1,Brighton,Chelsea,Y,"CM,DM",90,80,3,25,44,13,1,80,4,2,50.0,2,50.0,40,278,163,3,2,0,5,0,49,1,/en/matches/9b72407a/Brighton-and-Hove-Albion-Chelsea-January-1-2020-Premier-League
18,2019-08-10,Sat,Matchweek 22,Away,L 0–1,Brighton,Everton,Y,"CM,AM",90,60,1,15,39,6,0,60,2,1,50.0,1,50.0,33,157,86,1,1,0,1,3,39,1,/en/matches/61cc2ca5/Everton-Brighton-and-Hove-Albion-January-11-2020-Premier-League
19,2019-08-10,Sat,Matchweek 23,Home,D 1–1,Brighton,Aston Villa,Y,CM,90,70,2,16,46,9,1,70,0,0,,0,,40,260,135,2,1,1,3,0,43,0,/en/matches/bd044bad/Brighton-and-Hove-Albion-Aston-Villa-January-18-2020-Premier-League
20,2019-08-10,Tue,Matchweek 24,Away,L 1–3,Brighton,Bournemouth,Y,CM,90,95,0,17,66,13,0,95,3,3,100.0,0,0.0,60,403,239,3,4,0,3,0,72,3,/en/matches/ba03a070/Bournemouth-Brighton-and-Hove-Albion-January-21-2020-Premier-League
21,2019-08-10,Sat,Matchweek 25,Away,D 3–3,Brighton,West Ham,Y,DM,90,90,2,14,67,13,2,90,0,0,,0,,55,473,253,3,2,0,0,0,65,1,/en/matches/14d877cc/West-Ham-United-Brighton-and-Hove-Albion-February-1-2020-Premier-League
22,2019-08-10,Sat,Matchweek 26,Home,D 1–1,Brighton,Watford,Y,DM,90,95,3,17,63,17,1,95,0,0,,0,,52,295,130,1,4,0,0,1,65,0,/en/matches/111b8b45/Brighton-and-Hove-Albion-Watford-February-8-2020-Premier-League
23,2019-08-10,Sat,Matchweek 27,Away,D 1–1,Brighton,Sheffield Utd,Y,CM,90,46,6,18,28,1,0,46,3,3,100.0,0,0.0,19,138,44,0,1,0,1,0,19,0,/en/matches/c24b02bd/Sheffield-United-Brighton-and-Hove-Albion-February-22-2020-Premier-League
24,2019-08-10,Sat,Matchweek 28,Home,L 0–1,Brighton,Crystal Palace,Y,DM,90,77,1,12,56,10,1,77,0,0,,0,,44,330,144,2,0,0,2,0,51,1,/en/matches/aeb979e2/Brighton-and-Hove-Albion-Crystal-Palace-February-29-2020-Premier-League
25,2019-08-10,Sat,Matchweek 29,Away,D 0–0,Brighton,Wolves,Y,"CM,AM",90,80,4,11,60,10,0,80,2,1,50.0,1,50.0,49,288,98,2,1,0,3,2,56,1,/en/matches/6a08610e/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-March-7-2020-Premier-League
26,2019-08-10,Sat,Matchweek 30,Home,W 2–1,Brighton,Arsenal,Y,DM,90,48,4,12,24,12,1,48,0,0,,0,,26,161,75,1,0,0,2,0,35,1,/en/matches/1abcdcde/Brighton-and-Hove-Albion-Arsenal-June-20-2020-Premier-League
27,2019-08-10,Tue,Matchweek 31,Away,D 0–0,Brighton,Leicester City,N,DM,33,24,2,5,16,4,0,24,2,1,50.0,1,50.0,12,80,54,1,0,0,2,0,14,1,/en/matches/481a9a3a/Leicester-City-Brighton-and-Hove-Albion-June-23-2020-Premier-League
28,2019-08-10,Tue,Matchweek 32,Home,L 0–3,Brighton,Manchester Utd,Y,CM,45,22,1,9,7,6,0,22,0,0,,0,,10,50,10,0,0,0,0,0,15,3,/en/matches/be321c59/Brighton-and-Hove-Albion-Manchester-United-June-30-2020-Premier-League
29,2019-08-10,Sat,Matchweek 33,Away,W 1–0,Brighton,Norwich City,Y,DM,90,50,2,14,22,15,1,50,2,1,50.0,1,50.0,35,185,50,1,0,1,0,1,39,1,/en/matches/aa3a3540/Norwich-City-Brighton-and-Hove-Albion-July-4-2020-Premier-League
30,2019-08-10,Wed,Matchweek 34,Home,L 1–3,Brighton,Liverpool,Y,RM,70,53,3,19,21,13,1,53,0,0,,0,,36,209,93,1,2,0,4,1,36,1,/en/matches/3296482a/Brighton-and-Hove-Albion-Liverpool-July-8-2020-Premier-League
31,2019-08-10,Sat,Matchweek 35,Home,L 0–5,Brighton,Manchester City,Y,CM,58,39,1,18,19,3,0,39,1,1,100.0,0,0.0,24,92,31,0,3,0,0,1,28,0,/en/matches/a24d3d6b/Brighton-and-Hove-Albion-Manchester-City-July-11-2020-Premier-League
32,2019-08-10,Thu,Matchweek 36,Away,D 1–1,Brighton,Southampton,Y,CM,67,28,2,10,15,4,1,28,2,1,50.0,1,50.0,9,32,3,0,0,0,3,2,10,1,/en/matches/793f900e/Southampton-Brighton-and-Hove-Albion-July-16-2020-Premier-League
33,2019-08-10,Mon,Matchweek 37,Home,D 0–0,Brighton,Newcastle Utd,N,DM,18,13,0,2,9,2,0,13,0,0,,0,,9,15,2,0,0,0,1,1,11,0,/en/matches/9defdd38/Brighton-and-Hove-Albion-Newcastle-United-July-20-2020-Premier-League
34,2019-08-10,Sun,Matchweek 38,Away,W 2–1,Brighton,Burnley,N,CM,18,14,2,3,7,4,0,14,0,0,,0,,8,32,6,0,1,0,1,2,10,1,/en/matches/d4360fcd/Burnley-Brighton-and-Hove-Albion-July-26-2020-Premier-League
