,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2019-09-29,Sat,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,1,0,23,35,65.7,2,24,1,0,0,/en/matches/c17538b0/Chelsea-Newcastle-United-October-19-2019-Premier-League
1,2019-09-29,Sun,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,Y,RB,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.1,2,0,31,45,68.9,2,28,3,0,0,/en/matches/efe2b576/Newcastle-United-Wolverhampton-Wanderers-October-27-2019-Premier-League
2,2019-09-29,Sat,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,24,1,1,1,0.0,0.0,0.0,0,0,10,17,58.8,0,14,1,1,0,/en/matches/ac4523c2/West-Ham-United-Newcastle-United-November-2-2019-Premier-League
3,2019-09-29,Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,Y,RB,90,1,0,0,0,1,1,0,0,43,3,1,1,0.8,0.8,0.0,1,0,19,32,59.4,0,18,1,1,0,/en/matches/698f846d/Newcastle-United-Bournemouth-November-9-2019-Premier-League
4,2019-09-29,Mon,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,35,1,1,1,0.0,0.0,0.1,3,0,18,28,64.3,2,19,0,0,0,/en/matches/f6f8808e/Aston-Villa-Newcastle-United-November-25-2019-Premier-League
5,2019-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-09-29,Sat,Matchweek 17,Away,L 0–1,Newcastle Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/4c3c57fa/Burnley-Newcastle-United-December-14-2019-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-29,Sat,Matchweek 18,Home,W 1–0,Newcastle Utd,Crystal Palace,N,WB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/5e599d06/Newcastle-United-Crystal-Palace-December-21-2019-Premier-League
8,2019-09-29,Thu,Matchweek 19,Away,L 1–4,Newcastle Utd,Manchester Utd,N,RM,28,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,5,0,0,0,/en/matches/b3d5292f/Manchester-United-Newcastle-United-December-26-2019-Premier-League
9,2019-09-29,Sat,Matchweek 20,Home,L 1–2,Newcastle Utd,Everton,Y,"WB,RB",90,0,0,0,0,0,0,0,0,42,3,0,1,0.0,0.0,0.0,2,0,26,32,81.3,4,20,1,1,0,/en/matches/6edbd555/Newcastle-United-Everton-December-28-2019-Premier-League
10,2019-09-29,Wed,Matchweek 21,Home,L 0–3,Newcastle Utd,Leicester City,N,"RB,WB",46,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,6,0,0,0,/en/matches/a7902bb1/Newcastle-United-Leicester-City-January-1-2020-Premier-League
11,2019-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-09-29,Sat,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,RB,53,0,0,0,0,0,0,1,0,41,0,1,2,0.0,0.0,0.1,3,0,25,32,78.1,0,23,2,1,0,/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League
13,2019-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-09-29,Sat,Matchweek 27,Away,L 0–1,Newcastle Utd,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/5947b8fb/Crystal-Palace-Newcastle-United-February-22-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2019-09-29,Sat,Matchweek 28,Home,D 0–0,Newcastle Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/5d623dc0/Newcastle-United-Burnley-February-29-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2019-09-29,Sat,Matchweek 29,Away,W 1–0,Newcastle Utd,Southampton,N,"On matchday squad, but did not play",/en/matches/947a04e9/Southampton-Newcastle-United-March-7-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2019-09-29,Sun,Matchweek 30,Home,W 3–0,Newcastle Utd,Sheffield Utd,N,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,/en/matches/4e501da1/Newcastle-United-Sheffield-United-June-21-2020-Premier-League
18,2019-09-29,Wed,Matchweek 31,Home,D 1–1,Newcastle Utd,Aston Villa,N,"On matchday squad, but did not play",/en/matches/66027e20/Newcastle-United-Aston-Villa-June-24-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2019-09-29,Wed,Matchweek 32,Away,W 4–1,Newcastle Utd,Bournemouth,N,LB,18,0,0,0,0,0,0,0,0,14,1,2,2,0.0,0.0,0.0,0,0,8,9,88.9,1,2,0,0,0,/en/matches/92aaad57/Bournemouth-Newcastle-United-July-1-2020-Premier-League
