,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Thu,Europa Lg,Second qualifying round,Home,W 2–0,eng Wolves,nir Crusaders,Y,FW,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Thu,Europa Lg,Second qualifying round,Away,W 4–1,eng Wolves,nir Crusaders,Y,FW,66,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
2,Thu,Europa Lg,Third qualifying round,Away,W 4–0,eng Wolves,am Pyunik,Y,FW,62,0,3,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
3,Sun,Premier League,Matchweek 1,Away,D 0–0,Wolves,Leicester City,Y,FW,75,0,0,0,0,3,0,0,0,40,0,0,0,0.4,0.4,0.0,3,0,19,24,79.2,3,28,7,8,5,Match Report
4,Thu,Europa Lg,Third qualifying round,Home,W 4–0,eng Wolves,am Pyunik,N,,19,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5,Mon,Premier League,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,Y,FW,85,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.1,2,1,20,25,80.0,2,24,3,6,0,Match Report
6,Thu,Europa Lg,Play-off round,Away,W 3–2,eng Wolves,it Torino,Y,FW,68,1,0,0,0,2,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
7,Sun,Premier League,Matchweek 3,Home,D 1–1,Wolves,Burnley,Y,"FW,LW",90,0,0,0,0,3,0,0,0,58,0,0,0,0.3,0.3,0.0,3,0,35,46,76.1,5,39,7,6,2,Match Report
8,Thu,Europa Lg,Play-off round,Home,W 2–1,eng Wolves,it Torino,Y,FW,80,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
9,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Everton,N,"FW,LW",23,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,6,0,0,0,Match Report
10,Sat,UEFA Euro Qualifying,Group stage,Away,W 4–2,pt Portugal,rs Serbia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tue,UEFA Euro Qualifying,Group stage,Away,W 5–1,pt Portugal,lt Lithuania,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sat,Premier League,Matchweek 5,Home,L 2–5,Wolves,Chelsea,Y,"AM,FW",90,0,0,0,0,1,0,0,0,55,1,1,0,0.1,0.1,0.0,2,0,29,41,70.7,0,29,1,6,3,Match Report
13,Thu,Europa Lg,Group stage,Home,L 0–1,eng Wolves,pt Braga,N,AM,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,4,0,11,14,78.6,2,10,1,3,3,Match Report
14,Sun,Premier League,Matchweek 6,Away,D 1–1,Wolves,Crystal Palace,Y,"LW,FW",90,1,0,0,0,4,2,0,0,45,3,0,2,0.6,0.6,0.0,5,0,22,26,84.6,5,32,6,2,1,Match Report
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sat,Premier League,Matchweek 9,Home,D 1–1,Wolves,Southampton,N,LW,29,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,10,16,62.5,0,12,2,4,2,Match Report
17,Thu,Europa Lg,Group stage,Away,W 2–1,eng Wolves,sk Slovan Bratislava,N,AM,28,0,0,0,0,0,0,2,1,11,0,0,1,0.0,0.0,0.0,0,0,7,8,87.5,0,11,2,1,1,Match Report
