,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,"RM,LW",90,0,0,0,0,1,0,0,0,56,1,1,5,0.0,0.0,0.3,2,0,33,42,78.6,2,27,1,1,0,Match Report
1,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"RM,CM",90,0,0,0,0,3,1,0,0,85,1,1,2,0.1,0.1,0.0,7,1,67,72,93.1,4,46,5,6,3,Match Report
2,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"RM,CM",90,0,0,0,0,2,0,0,0,56,3,0,1,0.1,0.1,0.1,2,0,32,42,76.2,7,22,1,6,3,Match Report
3,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,"RM,LM",90,1,0,0,0,2,1,0,0,71,0,1,3,0.1,0.1,0.1,7,0,54,60,90.0,2,46,2,3,1,Match Report
4,Thu,Euro Qualifying,Group stage,Away,W 2–1,hu Hungary,rs Serbia,Y*,AM,90,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
5,Sun,Friendlies (M),Friendlies (M),Home,D 1–1,hu Hungary,cz Czech Republic,Y*,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"CM,RM",90,0,0,0,0,2,1,0,0,114,2,0,4,0.2,0.2,0.0,4,0,82,102,80.4,14,67,2,1,0,Match Report
7,Thu,Europa Lg,Group stage,Away,W 3–1,eng Liverpool,at LASK,N,"RM,RW",30,0,0,0,0,0,0,0,0,34,1,0,1,0.0,0.0,0.0,4,0,26,28,92.9,6,18,2,2,0,Match Report
8,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,RM,90,0,0,0,0,3,0,0,0,101,2,1,0,0.1,0.1,0.1,8,0,84,92,91.3,15,68,1,0,0,Match Report
9,,,,,7-2-0,,,8/9,,750,1,0,0,0,15,3,0,0,517,10,4,16,0.5,0.5,0.7,34,1,378,438,86.3,50,294,14,19,7,
