,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-01-18,Sun,Matchweek 25,Away,D 0–0,Arsenal,Burnley,N,FW,2,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,1,/en/matches/a6b40849/Burnley-Arsenal-February-2-2020-Premier-League
1,2020-01-18,Sun,Matchweek 26,Home,W 4–0,Arsenal,Newcastle Utd,Y,FW,84,29,2,6,12,11,5,29,1,0,0.0,1,100.0,14,85,26,1,0,0,3,2,23,4,/en/matches/6ce374b0/Arsenal-Newcastle-United-February-16-2020-Premier-League
2,2020-01-18,Sun,Matchweek 27,Home,W 3–2,Arsenal,Everton,Y,FW,90,33,2,3,16,14,4,33,3,0,0.0,3,100.0,24,136,38,3,1,2,3,1,25,5,/en/matches/485003ed/Arsenal-Everton-February-23-2020-Premier-League
3,2020-01-18,Sat,Matchweek 29,Home,W 1–0,Arsenal,West Ham,Y,FW,58,22,1,2,12,9,4,22,2,1,50.0,1,50.0,14,65,14,1,0,0,2,1,16,5,/en/matches/bf382825/Arsenal-West-Ham-United-March-7-2020-Premier-League
4,2020-01-18,Wed,Matchweek 28,Away,L 0–3,Arsenal,Manchester City,Y,FW,66,25,0,4,15,7,3,25,1,1,100.0,0,0.0,18,96,36,0,0,0,2,2,17,4,/en/matches/5825b217/Manchester-City-Arsenal-June-17-2020-Premier-League
5,2020-01-18,Sat,Matchweek 30,Away,L 1–2,Arsenal,Brighton,N,RW,13,5,0,0,2,3,0,5,0,0,,0,,6,35,27,1,0,0,1,0,5,1,/en/matches/1abcdcde/Brighton-and-Hove-Albion-Arsenal-June-20-2020-Premier-League
6,2020-01-18,Thu,Matchweek 31,Away,W 2–0,Arsenal,Southampton,Y,FW,78,16,1,1,10,5,3,16,2,2,100.0,0,0.0,15,118,65,4,1,2,1,5,15,2,/en/matches/38757aa1/Southampton-Arsenal-June-25-2020-Premier-League
7,2020-01-18,Wed,Matchweek 32,Home,W 4–0,Arsenal,Norwich City,N,FW,15,7,0,1,3,3,0,7,1,1,100.0,0,0.0,8,67,53,1,1,0,0,1,8,2,/en/matches/cb52b4c8/Arsenal-Norwich-City-July-1-2020-Premier-League
8,2020-01-18,Sat,Matchweek 33,Away,W 2–0,Arsenal,Wolves,Y,FW,82,22,1,2,9,11,2,22,3,2,66.7,1,33.3,13,70,24,3,0,0,2,1,15,6,/en/matches/df13ee5b/Wolverhampton-Wanderers-Arsenal-July-4-2020-Premier-League
9,2020-01-18,Tue,Matchweek 34,Home,D 1–1,Arsenal,Leicester City,N,FW,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,/en/matches/a26b0a22/Arsenal-Leicester-City-July-7-2020-Premier-League
10,2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-01-18,Tue,Matchweek 37,Away,L 0–1,Arsenal,Aston Villa,Y,"RW,FW",90,27,0,2,11,14,4,27,0,0,,0,,22,77,30,1,1,0,3,2,26,4,/en/matches/ca0b21bc/Aston-Villa-Arsenal-July-21-2020-Premier-League
12,2020-01-18,Sun,Matchweek 38,Home,W 3–2,Arsenal,Watford,N,FW,34,23,1,2,17,5,1,23,4,3,75.0,1,25.0,13,77,50,2,1,0,3,0,12,1,/en/matches/5ecaeb4b/Arsenal-Watford-July-26-2020-Premier-League
