,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2021-09-11,Sat,PL2 — Div. 1,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y*,FW,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/498201e3/Arsenal-U23-Manchester-United-U23-September-11-2021-Premier-League-2----Division-1
1,2021-09-22,Wed,EFL Cup,Third round,Home,W 3–0,Arsenal,AFC Wimbledon,Y,AM,82,1,0,0,0,5,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ea446884/Arsenal-AFC-Wimbledon-September-22-2021-EFL-Cup
2,2021-10-26,Tue,EFL Cup,Fourth round,Home,W 2–0,Arsenal,Leeds United,Y,FW,90,1,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup
3,2021-12-02,Thu,Premier League,Matchweek 14,Away,L 2–3,Arsenal,Manchester Utd,N,FW,12,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,3,1,0,0,/en/matches/4323a38f/Manchester-United-Arsenal-December-2-2021-Premier-League
4,2021-12-06,Mon,Premier League,Matchweek 15,Away,L 1–2,Arsenal,Everton,N,LW,20,0,0,0,0,1,0,0,0,15,0,0,0,0.3,0.3,0.4,4,0,8,11,72.7,2,9,3,1,1,/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League
5,2021-12-15,Wed,Premier League,Matchweek 17,Home,W 2–0,Arsenal,West Ham,N,"FW,LM",9,0,0,0,0,0,0,0,0,12,1,1,0,0.0,0.0,0.0,0,0,8,10,80.0,1,7,0,0,0,/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League
6,2021-12-21,Tue,EFL Cup,Quarter-finals,Home,W 5–1,Arsenal,Sunderland,Y,FW,90,3,0,0,0,6,4,0,0,,,0,,,,,,,,,,,,,,,/en/matches/072fa153/Arsenal-Sunderland-December-21-2021-EFL-Cup
7,2022-01-09,Sun,FA Cup,Third round proper,Away,L 0–1,Arsenal,Nott'ham Forest,Y,FW,90,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/cd639503/Nottingham-Forest-Arsenal-January-9-2022-FA-Cup
8,2022-01-13,Thu,EFL Cup,Semi-finals,Away,D 0–0,Arsenal,Liverpool,Y,FW,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/16ed0d3e/Liverpool-Arsenal-January-13-2022-EFL-Cup
9,2022-01-20,Thu,EFL Cup,Semi-finals,Home,L 0–2,Arsenal,Liverpool,N,,17,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/cae31df4/Arsenal-Liverpool-January-20-2022-EFL-Cup
10,2022-01-23,Sun,Premier League,Matchweek 23,Home,D 0–0,Arsenal,Burnley,N,FW,14,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,9,3,2,1,/en/matches/845ec84d/Arsenal-Burnley-January-23-2022-Premier-League
11,2022-02-10,Thu,Premier League,Matchweek 24,Away,W 1–0,Arsenal,Wolves,N,FW,10,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,3,0,1,1,/en/matches/bf5f0f9e/Wolverhampton-Wanderers-Arsenal-February-10-2022-Premier-League
12,2022-02-19,Sat,Premier League,Matchweek 26,Home,W 2–1,Arsenal,Brentford,N,FW,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,/en/matches/401c8cc8/Arsenal-Brentford-February-19-2022-Premier-League
13,2022-02-24,Thu,Premier League,Matchweek 20,Home,W 2–1,Arsenal,Wolves,N,"FW,RB",15,0,1,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.7,3,1,3,3,100.0,1,7,0,2,2,/en/matches/3c516ed6/Arsenal-Wolverhampton-Wanderers-February-24-2022-Premier-League
14,2022-03-06,Sun,Premier League,Matchweek 28,Away,W 3–2,Arsenal,Watford,N,FW,11,0,0,0,0,1,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,1,1,0,/en/matches/9d5abf8b/Watford-Arsenal-March-6-2022-Premier-League
15,2022-03-13,Sun,Premier League,Matchweek 29,Home,W 2–0,Arsenal,Leicester City,N,FW,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,1,0,/en/matches/47ea9ab2/Arsenal-Leicester-City-March-13-2022-Premier-League
16,2022-03-16,Wed,Premier League,Matchweek 27,Home,L 0–2,Arsenal,Liverpool,N,FW,11,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,2,4,50.0,1,3,1,0,0,/en/matches/8ef5cc6b/Arsenal-Liverpool-March-16-2022-Premier-League
17,2022-03-19,Sat,Premier League,Matchweek 30,Away,W 1–0,Arsenal,Aston Villa,N,FW,13,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,7,0,0,0,/en/matches/0cb74761/Aston-Villa-Arsenal-March-19-2022-Premier-League
18,2022-04-04,Mon,Premier League,Matchweek 31,Away,L 0–3,Arsenal,Crystal Palace,N,FW,25,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.2,1,0,5,9,55.6,0,9,0,1,1,/en/matches/d96b144a/Crystal-Palace-Arsenal-April-4-2022-Premier-League
19,2022-04-09,Sat,Premier League,Matchweek 32,Home,L 1–2,Arsenal,Brighton,N,FW,29,0,0,0,0,2,1,0,0,15,0,0,0,0.4,0.4,0.1,2,0,10,12,83.3,1,9,3,1,0,/en/matches/37ddcda6/Arsenal-Brighton-and-Hove-Albion-April-9-2022-Premier-League
20,2022-04-16,Sat,Premier League,Matchweek 33,Away,L 0–1,Arsenal,Southampton,Y,FW,90,0,0,0,0,1,0,0,0,32,1,1,1,0.1,0.1,0.1,3,0,12,19,63.2,1,15,1,3,2,/en/matches/5ea2687c/Southampton-Arsenal-April-16-2022-Premier-League
21,2022-04-20,Wed,Premier League,Matchweek 25,Away,W 4–2,Arsenal,Chelsea,Y,FW,69,2,0,0,0,5,2,0,0,34,3,1,1,0.8,0.8,0.0,1,0,11,16,68.8,1,16,3,4,1,/en/matches/cf8c0df6/North-West-London-Derby-Chelsea-Arsenal-April-20-2022-Premier-League
22,2022-04-23,Sat,Premier League,Matchweek 34,Home,W 3–1,Arsenal,Manchester Utd,Y,FW,90,0,0,0,0,1,1,0,0,29,0,0,0,0.4,0.4,0.1,3,0,19,22,86.4,4,20,2,2,0,/en/matches/b9f7c065/Arsenal-Manchester-United-April-23-2022-Premier-League
23,2022-05-01,Sun,Premier League,Matchweek 35,Away,W 2–1,Arsenal,West Ham,Y,FW,90,0,0,0,0,6,4,1,0,45,0,0,1,0.4,0.4,0.0,4,1,25,35,71.4,1,28,5,4,4,/en/matches/5290c2da/West-Ham-United-Arsenal-May-1-2022-Premier-League
24,2022-05-08,Sun,Premier League,Matchweek 36,Home,W 2–1,Arsenal,Leeds United,Y,FW,89,2,0,0,0,5,2,0,0,25,0,0,0,0.9,0.9,0.0,0,0,14,15,93.3,1,14,1,2,1,/en/matches/ef41dec1/Arsenal-Leeds-United-May-8-2022-Premier-League
25,2022-05-12,Thu,Premier League,Matchweek 22,Away,L 0–3,Arsenal,Tottenham,Y,FW,72,0,0,0,0,2,2,0,0,18,0,0,0,0.1,0.1,0.0,0,0,8,9,88.9,1,13,1,3,0,/en/matches/607d0562/North-London-Derby-Tottenham-Hotspur-Arsenal-May-12-2022-Premier-League
26,2022-05-16,Mon,Premier League,Matchweek 37,Away,L 0–2,Arsenal,Newcastle Utd,Y,FW,90,0,0,0,0,1,0,1,0,23,0,1,1,0.0,0.0,0.1,2,0,10,14,71.4,1,13,1,1,0,/en/matches/a3b3a0d5/Newcastle-United-Arsenal-May-16-2022-Premier-League
27,2022-05-22,Sun,Premier League,Matchweek 38,Home,W 5–1,Arsenal,Everton,Y,FW,66,1,0,0,0,3,1,0,0,33,0,0,1,0.9,0.9,0.3,3,0,15,22,68.2,1,19,1,1,0,/en/matches/4100d195/Arsenal-Everton-May-22-2022-Premier-League
