,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-09-12,Sun,Matchweek 3,Away,D 1–1,Newcastle Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/002c4e89/Tottenham-Hotspur-Newcastle-United-September-27-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-12,Sat,Matchweek 4,Home,W 3–1,Newcastle Utd,Burnley,Y,"RB,CB",90,61,3,24,25,14,0,61,0,0,,0,,31,141,83,2,1,0,2,1,28,2,/en/matches/34ba607f/Newcastle-United-Burnley-October-3-2020-Premier-League
2,2020-09-12,Sat,Matchweek 5,Home,L 1–4,Newcastle Utd,Manchester Utd,Y,RB,90,54,8,22,23,9,1,54,1,0,0.0,1,100.0,18,48,18,0,0,0,0,0,21,3,/en/matches/0b8239de/Newcastle-United-Manchester-United-October-17-2020-Premier-League
3,2020-09-12,Sun,Matchweek 6,Away,D 1–1,Newcastle Utd,Wolves,N,"On matchday squad, but did not play",/en/matches/76661e3c/Wolverhampton-Wanderers-Newcastle-United-October-25-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-09-12,Sat,Matchweek 9,Home,L 0–2,Newcastle Utd,Chelsea,N,"On matchday squad, but did not play",/en/matches/dbcba6c6/Newcastle-United-Chelsea-November-21-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-09-12,Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,West Brom,Y,RB,79,63,1,18,29,16,2,63,1,1,100.0,0,0.0,29,148,70,1,3,1,0,1,42,4,/en/matches/4a2a6f14/Newcastle-United-West-Bromwich-Albion-December-12-2020-Premier-League
8,2020-09-12,Wed,Matchweek 13,Away,L 2–5,Newcastle Utd,Leeds United,N,RB,29,15,3,8,5,2,0,15,0,0,,0,,4,5,4,0,0,0,0,0,3,1,/en/matches/b52c441b/Leeds-United-Newcastle-United-December-16-2020-Premier-League
9,2020-09-12,Sat,Matchweek 14,Home,D 1–1,Newcastle Utd,Fulham,N,"On matchday squad, but did not play",/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2020-09-12,Sat,Matchweek 15,Away,L 0–2,Newcastle Utd,Manchester City,N,"On matchday squad, but did not play",/en/matches/c1c40b30/Manchester-City-Newcastle-United-December-26-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2020-09-12,Wed,Matchweek 16,Home,D 0–0,Newcastle Utd,Liverpool,N,"On matchday squad, but did not play",/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
12,2020-09-12,Sun,Matchweek 17,Home,L 1–2,Newcastle Utd,Leicester City,N,"On matchday squad, but did not play",/en/matches/4c205b24/Newcastle-United-Leicester-City-January-3-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
13,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2020-09-12,Mon,Matchweek 19,Away,L 0–3,Newcastle Utd,Arsenal,Y,RB,90,46,5,23,14,10,0,46,0,0,,0,,26,86,40,2,1,0,0,0,22,4,/en/matches/620df215/Arsenal-Newcastle-United-January-18-2021-Premier-League
15,2020-09-12,Sat,Matchweek 11,Away,L 0–2,Newcastle Utd,Aston Villa,N,"On matchday squad, but did not play",/en/matches/b2143993/Aston-Villa-Newcastle-United-January-23-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2020-09-12,Tue,Matchweek 20,Home,L 1–2,Newcastle Utd,Leeds United,N,"On matchday squad, but did not play",/en/matches/831d8a36/Newcastle-United-Leeds-United-January-26-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
17,2020-09-12,Sat,Matchweek 21,Away,W 2–0,Newcastle Utd,Everton,N,"On matchday squad, but did not play",/en/matches/88053fb0/Everton-Newcastle-United-January-30-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
18,2020-09-12,Tue,Matchweek 22,Home,L 1–2,Newcastle Utd,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
19,2020-09-12,Sat,Matchweek 23,Home,W 3–2,Newcastle Utd,Southampton,N,RB,67,30,11,16,12,2,0,30,0,0,,0,,10,72,10,0,1,0,1,0,7,0,/en/matches/5313627a/Newcastle-United-Southampton-February-6-2021-Premier-League
20,2020-09-12,Mon,Matchweek 24,Away,L 0–2,Newcastle Utd,Chelsea,Y,RB,90,44,1,14,16,14,0,44,1,1,100.0,0,0.0,25,188,76,2,1,0,0,0,22,1,/en/matches/dd033287/Chelsea-Newcastle-United-February-15-2021-Premier-League
21,2020-09-12,Sun,Matchweek 25,Away,L 1–3,Newcastle Utd,Manchester Utd,Y,RB,90,36,3,16,12,8,1,36,0,0,,0,,14,61,43,2,1,1,0,0,18,1,/en/matches/401e0d48/Manchester-United-Newcastle-United-February-21-2021-Premier-League
22,2020-09-12,Sat,Matchweek 26,Home,D 1–1,Newcastle Utd,Wolves,Y,RB,71,37,0,9,25,3,0,37,0,0,,0,,16,73,39,0,0,0,0,0,18,2,/en/matches/99e5e3dc/Newcastle-United-Wolverhampton-Wanderers-February-27-2021-Premier-League
23,2020-09-12,Sun,Matchweek 27,Away,D 0–0,Newcastle Utd,West Brom,Y,RB,90,68,5,26,25,17,0,68,0,0,,0,,27,98,23,0,2,0,1,2,30,2,/en/matches/a096c32f/West-Bromwich-Albion-Newcastle-United-March-7-2021-Premier-League
24,2020-09-12,Fri,Matchweek 28,Home,D 1–1,Newcastle Utd,Aston Villa,Y,RB,82,48,2,17,23,8,1,48,0,0,,0,,13,69,25,0,0,0,2,0,15,2,/en/matches/5ac8e391/Newcastle-United-Aston-Villa-March-12-2021-Premier-League
25,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2020-09-12,Sun,Matchweek 30,Home,D 2–2,Newcastle Utd,Tottenham,Y,CB,78,51,4,22,19,10,1,51,1,1,100.0,0,0.0,13,57,28,0,0,0,1,0,21,2,/en/matches/7a399858/Newcastle-United-Tottenham-Hotspur-April-4-2021-Premier-League
27,2020-09-12,Sun,Matchweek 31,Away,W 2–1,Newcastle Utd,Burnley,N,"On matchday squad, but did not play",/en/matches/daebaaa1/Burnley-Newcastle-United-April-11-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
28,2020-09-12,Sat,Matchweek 32,Home,W 3–2,Newcastle Utd,West Ham,N,"On matchday squad, but did not play",/en/matches/25a3b695/Newcastle-United-West-Ham-United-April-17-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
29,2020-09-12,Sat,Matchweek 33,Away,D 1–1,Newcastle Utd,Liverpool,N,"On matchday squad, but did not play",/en/matches/81e8aaf4/Liverpool-Newcastle-United-April-24-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
30,2020-09-12,Sun,Matchweek 34,Home,L 0–2,Newcastle Utd,Arsenal,N,"On matchday squad, but did not play",/en/matches/af2c27de/Newcastle-United-Arsenal-May-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
31,2020-09-12,Fri,Matchweek 35,Away,W 4–2,Newcastle Utd,Leicester City,Y,CB,90,36,9,28,8,0,0,36,0,0,,0,,13,93,64,0,0,0,0,0,25,0,/en/matches/d93b0c17/Leicester-City-Newcastle-United-May-7-2021-Premier-League
32,2020-09-12,Fri,Matchweek 36,Home,L 3–4,Newcastle Utd,Manchester City,Y,CB,90,27,6,23,2,2,2,27,0,0,,0,,8,24,11,0,0,0,0,0,9,0,/en/matches/27601c16/Newcastle-United-Manchester-City-May-14-2021-Premier-League
