,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Fri,Copa América,Quarter-finals,Neutral,W 1–0,br Brazil,cl Chile,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mon,Copa América,Semi-finals,Home,W 1–0,br Brazil,pe Peru,N,"DM,LM",6,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Match Report
2,Sat,Copa América,Final,Neutral,L 0–1,br Brazil,ar Argentina,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sat,Premier League,Matchweek 1,Away,W 3–0,Liverpool,Norwich City,N,CM,30,0,0,0,0,0,0,0,0,25,0,0,2,0.0,0.0,0.0,1,1,19,22,86.4,2,14,0,0,0,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 3,Home,D 1–1,Liverpool,Chelsea,Y,CM,90,0,0,0,0,2,1,0,0,77,2,0,0,0.1,0.1,0.0,2,0,62,71,87.3,10,34,1,0,0,Match Report
6,Sun,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Leeds United,Y,CM,90,1,0,0,0,3,1,1,0,51,1,5,2,0.2,0.2,0.0,1,1,26,34,76.5,3,25,2,2,1,Match Report
7,Wed,Champions Lg,Group stage,Home,W 3–2,eng Liverpool,it Milan,Y,CM,90,0,0,0,0,0,0,0,0,65,6,4,0,0.0,0.0,0.1,2,0,47,53,88.7,10,39,0,0,0,Match Report
8,Sat,Premier League,Matchweek 5,Home,W 3–0,Liverpool,Crystal Palace,Y,CM,90,0,0,0,0,2,0,0,0,71,3,2,0,0.2,0.2,0.0,1,0,52,57,91.2,5,44,0,0,0,Match Report
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat,Premier League,Matchweek 6,Away,D 3–3,Liverpool,Brentford,Y,CM,90,0,1,0,0,0,0,0,0,65,0,2,2,0.0,0.0,0.5,1,1,55,61,90.2,7,38,0,0,0,Match Report
11,Tue,Champions Lg,Group stage,Away,W 5–1,eng Liverpool,pt Porto,Y,CM,90,0,0,0,0,0,0,0,0,71,3,1,3,0.0,0.0,0.0,4,1,56,63,88.9,4,27,0,1,1,Match Report
12,Sun,Premier League,Matchweek 7,Home,D 2–2,Liverpool,Manchester City,Y,CM,90,0,0,0,0,1,0,1,0,44,1,0,0,0.2,0.2,0.0,1,0,34,39,87.2,2,26,0,0,0,Match Report
13,Thu,WCQ,WCQ — CONMEBOL (M),Away,W 3–1,br Brazil,ve Venezuela,Y,CM,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
14,Sun,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,br Brazil,co Colombia,Y,DM,90,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
15,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 4–1,br Brazil,uy Uruguay,Y,DM,70,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,Match Report
16,Tue,Champions Lg,Group stage,Away,W 3–2,eng Liverpool,es Atlético Madrid,N,RM,45,0,0,0,0,0,0,0,0,43,3,0,0,0.0,0.0,0.0,0,0,35,37,94.6,5,30,0,1,0,Match Report
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Wed,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,es Atlético Madrid,Y,CM,58,0,0,0,0,0,0,0,0,52,3,1,0,0.0,0.0,0.7,2,0,42,46,91.3,7,36,0,0,0,Match Report
19,Sun,Premier League,Matchweek 11,Away,L 2–3,Liverpool,West Ham,Y,CM,79,0,0,0,0,0,0,0,0,91,0,2,2,0.0,0.0,0.0,2,0,75,81,92.6,8,60,2,1,1,Match Report
20,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 1–0,br Brazil,co Colombia,N,,5,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
21,Tue,WCQ,WCQ — CONMEBOL (M),Away,D 0–0,br Brazil,ar Argentina,Y,DM,90,0,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,Match Report
22,Sat,Premier League,Matchweek 12,Home,W 4–0,Liverpool,Arsenal,Y,CM,90,0,0,0,0,0,0,1,0,66,2,1,0,0.0,0.0,0.1,2,0,57,58,98.3,6,36,1,1,1,Match Report
23,Wed,Champions Lg,Group stage,Home,W 2–0,eng Liverpool,pt Porto,N,RW,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,6,0,0,0,Match Report
24,Sat,Premier League,Matchweek 13,Home,W 4–0,Liverpool,Southampton,Y,CM,90,0,0,0,0,0,0,0,0,83,3,1,3,0.0,0.0,0.1,2,0,56,69,81.2,8,29,1,0,0,Match Report
25,Wed,Premier League,Matchweek 14,Away,W 4–1,Liverpool,Everton,Y,CM,90,0,0,0,0,0,0,0,0,72,1,3,0,0.0,0.0,0.0,3,0,53,64,82.8,6,36,0,1,0,Match Report
26,Sat,Premier League,Matchweek 15,Away,W 1–0,Liverpool,Wolves,Y,"CM,DM",90,0,0,0,0,0,0,1,0,79,2,3,1,0.0,0.0,0.0,1,0,62,70,88.6,6,43,1,0,0,Match Report
27,Tue,Champions Lg,Group stage,Away,W 2–1,eng Liverpool,it Milan,N,RM,11,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,3,5,60.0,0,1,0,0,0,Match Report
28,Sat,Premier League,Matchweek 16,Home,W 1–0,Liverpool,Aston Villa,Y,CM,90,0,0,0,0,0,0,0,0,59,3,2,1,0.0,0.0,0.0,5,0,41,46,89.1,8,25,0,0,0,Match Report
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Tue,Premier League,Matchweek 20,Away,L 0–1,Liverpool,Leicester City,Y,CM,63,0,0,0,0,0,0,0,0,51,3,2,0,0.0,0.0,0.0,3,0,34,41,82.9,7,33,2,2,1,Match Report
31,Sun,Premier League,Matchweek 21,Away,D 2–2,Liverpool,Chelsea,Y,CM,90,0,0,0,0,0,0,0,0,60,2,2,0,0.0,0.0,0.0,1,1,48,54,88.9,7,29,2,1,1,Match Report
32,Sun,FA Cup,Third round proper,Home,W 4–1,Liverpool,Shrewsbury,Y,CM,90,2,0,1,1,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report
33,Thu,EFL Cup,Semi-finals,Home,D 0–0,Liverpool,Arsenal,Y,CM,74,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
