,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-14,Mon,Premier League,Matchweek 1,Away,L 0–1,Wolves,Manchester Utd,N,FW,14,0,0,0,0,3,2,0,0,12.0,1.0,1,0.0,0.3,0.3,0.1,1.0,0.0,5.0,5.0,100.0,0.0,3.0,0.0,0.0,0.0,/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,L 1–4,Wolves,Brighton,Y,FW,54,0,0,0,0,1,1,0,0,25.0,2.0,0,0.0,0.4,0.4,0.1,4.0,0.0,13.0,18.0,72.2,0.0,20.0,2.0,2.0,1.0,/en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,W 1–0,Wolves,Everton,Y,FW,73,0,0,0,0,1,0,0,0,19.0,1.0,0,0.0,0.3,0.3,0.0,2.0,0.0,11.0,13.0,84.6,4.0,14.0,1.0,2.0,1.0,/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-08-29,Tue,EFL Cup,Second round,Home,W 5–0,Wolves,Blackpool,Y,FW,90,1,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/9d04868d/Wolverhampton-Wanderers-Blackpool-August-29-2023-EFL-Cup,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Crystal Palace,Y,FW,73,0,0,0,0,2,0,0,0,28.0,1.0,1,0.0,0.0,0.0,0.1,2.0,0.0,21.0,23.0,91.3,4.0,13.0,1.0,1.0,0.0,/en/matches/f9436d32/Crystal-Palace-Wolverhampton-Wanderers-September-3-2023-Premier-League,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,Wolves,Liverpool,N,FW,30,0,0,0,0,0,0,0,0,18.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,1.0,10.0,1.0,2.0,0.0,/en/matches/38daebd2/Wolverhampton-Wanderers-Liverpool-September-16-2023-Premier-League,0.0,0.6666666666666666,0.7916666666666666
6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-26,Tue,EFL Cup,Third round,Away,L 2–3,Wolves,Ipswich Town,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/42b942aa/Ipswich-Town-Wolverhampton-Wanderers-September-26-2023-EFL-Cup,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-30,Sat,Premier League,Matchweek 7,Home,W 2–1,Wolves,Manchester City,N,FW,5,0,0,0,0,0,0,1,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,3.0,0.0,1.0,0.0,/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,1.0,0.0,0.7619047619047619
8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-08,Sun,Premier League,Matchweek 8,Home,D 1–1,Wolves,Aston Villa,N,LW,5,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,/en/matches/3292ed35/Wolverhampton-Wanderers-Aston-Villa-October-8-2023-Premier-League,0.5,0.3333333333333333,0.6904761904761905
9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-11-04,Sat,Premier League,Matchweek 11,Away,L 1–2,Wolves,Sheffield Utd,N,AM,10,0,0,0,0,0,0,1,0,7.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,/en/matches/e841bbac/Sheffield-United-Wolverhampton-Wanderers-November-4-2023-Premier-League,0.0,0.5,0.0128205128205128
