,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 3,Away,W 3–0,Arsenal,Bournemouth,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sat,Premier League,Matchweek 4,Home,W 2–1,Arsenal,Fulham,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wed,Premier League,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sun,Premier League,Matchweek 6,Away,L 1–3,Arsenal,Manchester Utd,N,"CM,AM",17,0,0,0,0,2,1,0,0,19,0,1,1,0.1,0.1,0.0,2,0,8,11,72.7,2,7,0,2,2,Match Report
4,Thu,Europa Lg,Group stage,Away,W 2–1,eng Arsenal,ch Zürich,Y,RM,68,0,0,0,0,1,0,0,0,43,1,0,0,0.2,0.2,0.1,4,1,32,38,84.2,4,33,2,1,0,Match Report
5,Sun,Premier League,Matchweek 8,Away,W 3–0,Arsenal,Brentford,Y,RM,89,1,0,0,0,1,1,0,0,51,1,0,0,0.0,0.0,0.1,2,1,35,45,77.8,3,36,0,3,1,Match Report
6,Sat,Premier League,Matchweek 9,Home,W 3–1,Arsenal,Tottenham,N,RW,11,0,0,0,0,1,0,0,0,13,0,1,0,0.1,0.1,0.0,1,0,8,9,88.9,1,9,1,0,0,Match Report
7,Thu,Europa Lg,Group stage,Home,W 3–0,eng Arsenal,no Bodø/Glimt,Y,RM,90,1,1,0,0,5,2,0,0,36,0,0,1,1.2,1.2,0.4,5,2,18,21,85.7,2,17,1,2,0,Match Report
8,Sun,Premier League,Matchweek 10,Home,W 3–2,Arsenal,Liverpool,N,RM,1,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Match Report
9,Thu,Europa Lg,Group stage,Away,W 1–0,eng Arsenal,no Bodø/Glimt,Y,"LM,AM,RW",90,0,0,0,0,0,0,0,0,48,1,1,1,0.0,0.0,0.0,1,0,40,42,95.2,4,33,3,2,0,Match Report
10,Sun,Premier League,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,N,AM,18,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,5,6,83.3,1,3,0,1,0,Match Report
11,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,nl PSV Eindhoven,Y,RM,66,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.0,3,0,26,33,78.8,4,19,1,0,0,Match Report
12,Sun,Premier League,Matchweek 13,Away,D 1–1,Arsenal,Southampton,N,RM,8,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,6,9,66.7,1,8,0,2,0,Match Report
13,Thu,Europa Lg,Group stage,Away,L 0–2,eng Arsenal,nl PSV Eindhoven,Y,"RW,AM,RM",90,0,0,0,0,1,0,0,0,53,0,1,0,0.0,0.0,0.1,3,0,41,49,83.7,10,38,0,1,1,Match Report
14,Sun,Premier League,Matchweek 14,Home,W 5–0,Arsenal,Nott'ham Forest,N,"LM,RW",28,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,8,0,0,0,Match Report
15,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,ch Zürich,Y,RM,72,0,0,0,0,4,0,0,0,43,0,1,1,0.6,0.6,0.2,8,1,22,29,75.9,1,20,2,1,0,Match Report
16,Sun,Premier League,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Wed,EFL Cup,Third round,Home,L 1–3,Arsenal,Brighton,Y,AM,71,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
