,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-13,Fri,Premier League,Matchweek 1,Away,L 0–2,Arsenal,Brentford,Y*,DM,90,0,0,0,0,2.0,0.0,0,0,93.0,1.0,2.0,2.0,0.1,0.1,0.0,6.0,0.0,79.0,89.0,88.8,16.0,53.0,3.0,1.0,1.0,/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-22,Sun,Premier League,Matchweek 2,Home,L 0–2,Arsenal,Chelsea,Y*,DM,90,0,0,0,0,0.0,0.0,0,0,53.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,33.0,43.0,76.7,3.0,23.0,1.0,2.0,1.0,/en/matches/93954213/North-West-London-Derby-Arsenal-Chelsea-August-22-2021-Premier-League,0.0,0.5,0.5357142857142857
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-25,Wed,EFL Cup,Second round,Away,W 6–0,Arsenal,West Brom,Y,DM,66,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/3d303a43/West-Bromwich-Albion-Arsenal-August-25-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-28,Sat,Premier League,Matchweek 3,Away,L 0–5,Arsenal,Manchester City,Y,CM,34,0,0,0,0,0.0,0.0,0,1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,0.0,8.0,0.0,0.0,0.0,/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,0.0,0.3333333333333333,0.46428571428571425
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-26,Sun,Premier League,Matchweek 6,Home,W 3–1,Arsenal,Tottenham,Y,DM,81,0,0,0,0,0.0,0.0,0,0,54.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,48.0,85.4,5.0,31.0,0.0,2.0,2.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,1.0,0.3333333333333333,0.3214285714285714
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-12-06,Mon,Premier League,Matchweek 15,Away,L 1–2,Arsenal,Everton,Y,DM,90,0,0,0,0,0.0,0.0,1,0,78.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,70.0,77.1,7.0,53.0,0.0,0.0,0.0,/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League,0.0,0.6666666666666666,0.119047619047619
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-12-11,Sat,Premier League,Matchweek 16,Home,W 3–0,Arsenal,Southampton,Y,CM,80,0,0,0,0,1.0,0.0,0,0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,54.0,75.9,7.0,30.0,0.0,0.0,0.0,/en/matches/6a35f07c/Arsenal-Southampton-December-11-2021-Premier-League,1.0,0.3333333333333333,0.3717948717948717
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-12-15,Wed,Premier League,Matchweek 17,Home,W 2–0,Arsenal,West Ham,Y,CM,90,0,0,0,0,4.0,0.0,0,0,69.0,1.0,0.0,1.0,0.4,0.4,0.0,3.0,0.0,56.0,63.0,88.9,13.0,39.0,3.0,0.0,0.0,/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,1.0,0.6666666666666666,0.653846153846154
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-12-18,Sat,Premier League,Matchweek 18,Away,W 4–1,Arsenal,Leeds United,Y,DM,90,0,1,0,0,1.0,0.0,1,0,68.0,5.0,1.0,1.0,0.1,0.1,0.7,4.0,1.0,49.0,54.0,90.7,12.0,43.0,3.0,1.0,0.0,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League,1.0,0.6666666666666666,0.1547619047619047
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-12-21,Tue,EFL Cup,Quarter-finals,Home,W 5–1,Arsenal,Sunderland,N,,35,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/072fa153/Arsenal-Sunderland-December-21-2021-EFL-Cup,1.0,1.0,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-12-26,Sun,Premier League,Matchweek 19,Away,W 5–0,Arsenal,Norwich City,Y,DM,90,0,0,0,0,0.0,0.0,1,0,69.0,0.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,59.0,63.0,93.7,12.0,34.0,3.0,1.0,0.0,/en/matches/83ce723b/Norwich-City-Arsenal-December-26-2021-Premier-League,1.0,1.0,0.1666666666666666
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-01-01,Sat,Premier League,Matchweek 21,Home,L 1–2,Arsenal,Manchester City,Y,"DM,CB",90,0,0,0,0,0.0,0.0,1,0,34.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,95.8,4.0,14.0,0.0,1.0,0.0,/en/matches/a9903a63/Arsenal-Manchester-City-January-1-2022-Premier-League,0.0,1.0,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-01-13,Thu,EFL Cup,Semi-finals,Away,D 0–0,Arsenal,Liverpool,Y,DM,23,0,0,0,0,0.0,0.0,0,1,,,0.0,,,,,,,,,,,,,,,/en/matches/16ed0d3e/Liverpool-Arsenal-January-13-2022-EFL-Cup,0.5,0.6666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-02-10,Thu,Premier League,Matchweek 24,Away,W 1–0,Arsenal,Wolves,Y,"DM,CM",90,0,0,0,0,0.0,0.0,1,0,52.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,82.5,8.0,30.0,0.0,0.0,0.0,/en/matches/bf5f0f9e/Wolverhampton-Wanderers-Arsenal-February-10-2022-Premier-League,1.0,0.5,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-02-19,Sat,Premier League,Matchweek 26,Home,W 2–1,Arsenal,Brentford,Y,DM,90,0,0,0,0,0.0,0.0,0,0,73.0,2.0,1.0,1.0,0.0,0.0,0.1,6.0,0.0,57.0,65.0,87.7,9.0,47.0,4.0,2.0,1.0,/en/matches/401c8cc8/Arsenal-Brentford-February-19-2022-Premier-League,1.0,0.5,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-02-24,Thu,Premier League,Matchweek 20,Home,W 2–1,Arsenal,Wolves,Y,"DM,CM",90,0,0,0,0,2.0,0.0,0,0,61.0,3.0,1.0,1.0,0.1,0.1,0.2,4.0,0.0,38.0,53.0,71.7,9.0,31.0,2.0,2.0,2.0,/en/matches/3c516ed6/Arsenal-Wolverhampton-Wanderers-February-24-2022-Premier-League,1.0,0.8333333333333334,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2022-03-06,Sun,Premier League,Matchweek 28,Away,W 3–2,Arsenal,Watford,Y,"DM,CM",90,0,0,0,0,1.0,0.0,0,0,51.0,1.0,0.0,2.0,0.1,0.1,0.0,5.0,0.0,38.0,41.0,92.7,7.0,31.0,0.0,1.0,0.0,/en/matches/9d5abf8b/Watford-Arsenal-March-6-2022-Premier-League,1.0,1.0,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-03-13,Sun,Premier League,Matchweek 29,Home,W 2–0,Arsenal,Leicester City,Y,DM,90,0,0,0,0,3.0,0.0,0,0,55.0,1.0,0.0,0.0,0.1,0.1,0.4,7.0,1.0,44.0,49.0,89.8,6.0,28.0,3.0,1.0,1.0,/en/matches/47ea9ab2/Arsenal-Leicester-City-March-13-2022-Premier-League,1.0,1.0,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-03-16,Wed,Premier League,Matchweek 27,Home,L 0–2,Arsenal,Liverpool,Y,DM,90,0,0,0,0,1.0,0.0,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,53.0,62.0,85.5,9.0,39.0,0.0,1.0,1.0,/en/matches/8ef5cc6b/Arsenal-Liverpool-March-16-2022-Premier-League,0.0,1.0,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-03-19,Sat,Premier League,Matchweek 30,Away,W 1–0,Arsenal,Aston Villa,Y,"DM,CM",90,0,0,0,0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,1.0,60.0,63.0,95.2,8.0,41.0,1.0,0.0,0.0,/en/matches/0cb74761/Aston-Villa-Arsenal-March-19-2022-Premier-League,1.0,0.6666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-03-26,Sat,Friendlies (M),Friendlies (M),Neutral,L 1–2,ch Switzerland,eng England,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3a98668d/England-Switzerland-March-26-2022-Friendlies-M,0.0,0.6666666666666666,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-03-29,Tue,Friendlies (M),Friendlies (M),Neutral,D 1–1,ch Switzerland,xk Kosovo,Y*,DM,62,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4634b9ed/Switzerland-Kosovo-March-29-2022-Friendlies-M,0.5,0.3333333333333333,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2022-04-04,Mon,Premier League,Matchweek 31,Away,L 0–3,Arsenal,Crystal Palace,Y,"DM,CB,LB",90,0,0,0,0,2.0,1.0,1,0,105.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,91.0,98.0,92.9,14.0,61.0,3.0,1.0,1.0,/en/matches/d96b144a/Crystal-Palace-Arsenal-April-4-2022-Premier-League,0.0,0.5,0.5
