,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-08-09,Sat,Matchweek 3,Home,L 2–3,Norwich City,Chelsea,Y*,CB,90,62,59,3,3,0,1,0,0,0,0,0,0,52,0,0,/en/matches/4f4fd2d8/Norwich-City-Chelsea-August-24-2019-Premier-League
1,2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-09,Sat,Matchweek 5,Home,W 3–2,Norwich City,Manchester City,N,"On matchday squad, but did not play",/en/matches/1c7bccd4/Norwich-City-Manchester-City-September-14-2019-Premier-League,,,,,,,,,,,,,,,,
3,2019-08-09,Sat,Matchweek 6,Away,L 0–2,Norwich City,Burnley,N,"On matchday squad, but did not play",/en/matches/f97b0ce8/Burnley-Norwich-City-September-21-2019-Premier-League,,,,,,,,,,,,,,,,
4,2019-08-09,Sat,Matchweek 7,Away,L 0–2,Norwich City,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/3b180c0d/Crystal-Palace-Norwich-City-September-28-2019-Premier-League,,,,,,,,,,,,,,,,
5,2019-08-09,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-08-09,Sat,Matchweek 18,Home,L 1–2,Norwich City,Wolves,Y*,CB,90,37,34,2,2,0,0,0,0,0,0,0,0,31,1,0,/en/matches/223124ce/Norwich-City-Wolverhampton-Wanderers-December-21-2019-Premier-League
7,2019-08-09,Thu,Matchweek 19,Away,L 0–1,Norwich City,Aston Villa,Y*,CB,90,40,38,2,2,0,1,0,0,0,0,0,0,34,0,0,/en/matches/010301bf/Aston-Villa-Norwich-City-December-26-2019-Premier-League
8,2019-08-09,Sat,Matchweek 20,Home,D 2–2,Norwich City,Tottenham,Y*,CB,90,46,44,1,1,0,0,0,0,0,0,0,0,31,1,0,/en/matches/a6e8ab71/Norwich-City-Tottenham-Hotspur-December-28-2019-Premier-League
9,2019-08-09,Wed,Matchweek 21,Home,D 1–1,Norwich City,Crystal Palace,Y*,CB,90,37,36,1,1,0,0,0,0,0,0,0,0,27,0,0,/en/matches/5bbec2c4/Norwich-City-Crystal-Palace-January-1-2020-Premier-League
10,2019-08-09,Sat,Matchweek 22,Away,L 0–4,Norwich City,Manchester Utd,Y*,CB,79,37,35,2,2,0,0,0,0,0,0,0,0,26,0,1,/en/matches/db192bf5/Manchester-United-Norwich-City-January-11-2020-Premier-League
11,2019-08-09,Sat,Matchweek 23,Home,W 1–0,Norwich City,Bournemouth,N,CB,13,4,3,1,1,0,0,0,0,0,0,0,0,3,0,0,/en/matches/2550abdc/Norwich-City-Bournemouth-January-18-2020-Premier-League
12,2019-08-09,Wed,Matchweek 24,Away,L 1–2,Norwich City,Tottenham,Y*,CB,90,47,42,5,5,0,0,0,0,0,0,0,0,39,0,0,/en/matches/b36a7b4d/Tottenham-Hotspur-Norwich-City-January-22-2020-Premier-League
13,2019-08-09,Sat,Matchweek 25,Away,D 0–0,Norwich City,Newcastle Utd,Y*,CB,90,47,45,2,2,0,0,0,0,0,0,0,0,44,0,0,/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League
14,2019-08-09,Sat,Matchweek 26,Home,L 0–1,Norwich City,Liverpool,Y*,CB,90,27,26,1,1,0,0,0,0,0,0,0,0,21,0,0,/en/matches/9c238122/Norwich-City-Liverpool-February-15-2020-Premier-League
15,2019-08-09,Sun,Matchweek 27,Away,L 0–3,Norwich City,Wolves,Y*,CB,90,87,84,3,3,0,0,0,0,0,0,0,0,75,0,1,/en/matches/09ec6552/Wolverhampton-Wanderers-Norwich-City-February-23-2020-Premier-League
16,2019-08-09,Fri,Matchweek 28,Home,W 1–0,Norwich City,Leicester City,Y*,CB,90,35,34,1,1,0,1,0,0,0,0,0,0,26,0,0,/en/matches/8edf3e12/Norwich-City-Leicester-City-February-28-2020-Premier-League
17,2019-08-09,Sat,Matchweek 29,Away,L 0–1,Norwich City,Sheffield Utd,Y*,CB,90,74,72,1,1,0,0,0,0,0,0,0,0,62,1,0,/en/matches/fcdf913d/Sheffield-United-Norwich-City-March-7-2020-Premier-League
