,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2020-09-13,Sat,Matchweek 3,Away,W 2–1,Everton,Crystal Palace,N,LM,15,8,9,88.9,105,16,3,3,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
1,2020-09-13,Sat,Matchweek 4,Home,W 4–2,Everton,Brighton,Y,LM,90,25,33,75.8,361,80,13,16,81.3,9,10,90.0,1,2,50.0,1,0.2,0.2,2,2,1,1,2,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
2,2020-09-13,Sat,Matchweek 5,Home,D 2–2,Everton,Liverpool,N,LM,19,3,3,100.0,35,1,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
3,2020-09-13,Sun,Matchweek 6,Away,L 0–2,Everton,Southampton,Y*,LM,57,14,26,53.8,179,57,8,14,57.1,5,6,83.3,0,4,0.0,0,0.0,0.0,0,2,1,0,2,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
4,2020-09-13,Sun,Matchweek 7,Away,L 1–2,Everton,Newcastle Utd,Y*,"AM,LM",90,36,50,72.0,553,114,20,27,74.1,12,14,85.7,3,7,42.9,0,0.2,0.2,2,0,2,0,2,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League
5,2020-09-13,Sat,Matchweek 8,Home,L 1–3,Everton,Manchester Utd,Y,LM,65,25,31,80.6,350,83,15,16,93.8,9,12,75.0,0,0,,0,0.1,0.1,1,1,0,0,2,/en/matches/ab9f408d/Everton-Manchester-United-November-7-2020-Premier-League
6,2020-09-13,Sun,Matchweek 9,Away,W 3–2,Everton,Fulham,N,LW,15,7,9,77.8,124,59,4,5,80.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League
7,2020-09-13,Sat,Matchweek 10,Home,L 0–1,Everton,Leeds United,N,"On matchday squad, but did not play",/en/matches/3eeb39c5/Everton-Leeds-United-November-28-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2020-09-13,Sat,Matchweek 11,Away,D 1–1,Everton,Burnley,N,"RM,DM",10,2,2,100.0,21,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/399c7e1c/Burnley-Everton-December-5-2020-Premier-League
9,2020-09-13,Sat,Matchweek 12,Home,W 1–0,Everton,Chelsea,Y*,RM,82,19,27,70.4,356,159,10,11,90.9,3,3,100.0,5,10,50.0,0,0.3,0.2,6,1,2,1,4,/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League
10,2020-09-13,Wed,Matchweek 13,Away,W 2–0,Everton,Leicester City,Y*,RM,90,26,37,70.3,466,108,14,16,87.5,7,9,77.8,4,9,44.4,0,0.3,0.2,3,2,0,0,2,/en/matches/b30c816c/Leicester-City-Everton-December-16-2020-Premier-League
11,2020-09-13,Sat,Matchweek 14,Home,W 2–1,Everton,Arsenal,Y*,AM,90,34,39,87.2,767,202,7,7,100.0,19,19,100.0,6,9,66.7,1,0.2,0.1,2,2,0,0,4,/en/matches/72fa1993/Everton-Arsenal-December-19-2020-Premier-League
12,2020-09-13,Sat,Matchweek 15,Away,W 1–0,Everton,Sheffield Utd,Y*,AM,90,36,45,80.0,525,102,19,21,90.5,12,13,92.3,2,7,28.6,0,0.1,0.1,2,3,0,0,3,/en/matches/870d9436/Sheffield-United-Everton-December-26-2020-Premier-League
13,2020-09-13,Fri,Matchweek 17,Home,L 0–1,Everton,West Ham,Y,AM,63,30,38,78.9,514,84,15,17,88.2,13,15,86.7,2,5,40.0,0,0.1,0.1,1,2,0,0,1,/en/matches/0cd189c5/Everton-West-Ham-United-January-1-2021-Premier-League
14,2020-09-13,Tue,Matchweek 18,Away,W 2–1,Everton,Wolves,Y*,FW,75,15,19,78.9,203,31,11,12,91.7,3,3,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,/en/matches/8cbb9119/Wolverhampton-Wanderers-Everton-January-12-2021-Premier-League
15,2020-09-13,Wed,Matchweek 20,Home,D 1–1,Everton,Leicester City,N,FW,6,4,4,100.0,115,50,0,0,,2,2,100.0,2,2,100.0,0,0.1,0.1,1,0,0,0,1,/en/matches/3e4ff1e0/Everton-Leicester-City-January-27-2021-Premier-League
16,2020-09-13,Sat,Matchweek 21,Home,L 0–2,Everton,Newcastle Utd,Y,DM,90,50,59,84.7,977,255,20,22,90.9,25,27,92.6,5,9,55.6,0,0.0,0.0,0,6,0,0,8,/en/matches/88053fb0/Everton-Newcastle-United-January-30-2021-Premier-League
17,2020-09-13,Wed,Matchweek 22,Away,W 2–1,Everton,Leeds United,Y*,AM,88,20,25,80.0,291,58,10,10,100.0,8,10,80.0,1,3,33.3,0,0.1,0.1,1,1,0,0,1,/en/matches/d9b96ee1/Leeds-United-Everton-February-3-2021-Premier-League
18,2020-09-13,Sat,Matchweek 23,Away,D 3–3,Everton,Manchester Utd,N,"CM,AM",22,10,12,83.3,197,70,4,4,100.0,2,3,66.7,3,4,75.0,0,0.0,0.0,0,0,0,0,1,/en/matches/6504b158/Manchester-United-Everton-February-6-2021-Premier-League
19,2020-09-13,Sun,Matchweek 24,Home,L 0–2,Everton,Fulham,Y,"RM,LW,AM",90,22,31,71.0,417,76,11,13,84.6,6,8,75.0,5,10,50.0,0,0.0,0.0,0,1,0,0,0,/en/matches/46f84386/Everton-Fulham-February-14-2021-Premier-League
20,2020-09-13,Wed,Matchweek 16,Home,L 1–3,Everton,Manchester City,Y*,FW,90,29,33,87.9,439,92,15,16,93.8,12,12,100.0,1,2,50.0,0,0.0,0.0,0,3,2,0,4,/en/matches/78270b8a/Everton-Manchester-City-February-17-2021-Premier-League
21,2020-09-13,Sat,Matchweek 25,Away,W 2–0,Everton,Liverpool,N,CM,32,8,8,100.0,88,37,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League
22,2020-09-13,Mon,Matchweek 26,Home,W 1–0,Everton,Southampton,Y*,AM,90,21,31,67.7,313,110,10,12,83.3,7,8,87.5,2,4,50.0,1,0.9,0.5,4,1,1,0,2,/en/matches/a81e1c82/Everton-Southampton-March-1-2021-Premier-League
23,2020-09-13,Thu,Matchweek 29,Away,W 1–0,Everton,West Brom,N,RM,27,4,8,50.0,69,36,2,2,100.0,2,3,66.7,0,1,0.0,1,0.2,0.4,1,2,1,1,1,/en/matches/ee055741/West-Bromwich-Albion-Everton-March-4-2021-Premier-League
24,2020-09-13,Mon,Matchweek 27,Away,L 0–2,Everton,Chelsea,Y*,AM,69,23,26,88.5,268,66,16,17,94.1,3,3,100.0,1,1,100.0,0,0.1,0.0,1,0,0,0,1,/en/matches/7e4a240e/Chelsea-Everton-March-8-2021-Premier-League
25,2020-09-13,Sat,Matchweek 28,Home,L 1–2,Everton,Burnley,N,"On matchday squad, but did not play",/en/matches/91cce376/Everton-Burnley-March-13-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
26,2020-09-13,Mon,Matchweek 30,Home,D 1–1,Everton,Crystal Palace,N,CM,60,21,27,77.8,314,39,10,11,90.9,11,13,84.6,0,2,0.0,0,0.0,0.0,0,4,0,0,2,/en/matches/66f16cd5/Everton-Crystal-Palace-April-5-2021-Premier-League
27,2020-09-13,Mon,Matchweek 31,Away,D 0–0,Everton,Brighton,Y,CM,90,31,41,75.6,598,164,13,15,86.7,12,14,85.7,5,8,62.5,0,0.0,0.0,0,4,1,0,4,/en/matches/ac6ac8f8/Brighton-and-Hove-Albion-Everton-April-12-2021-Premier-League
28,2020-09-13,Fri,Matchweek 32,Home,D 2–2,Everton,Tottenham,Y*,"LM,DM",90,36,43,83.7,410,155,24,24,100.0,7,11,63.6,1,2,50.0,0,0.2,0.2,4,1,3,0,6,/en/matches/ebeb462d/Everton-Tottenham-Hotspur-April-16-2021-Premier-League
29,2020-09-13,Fri,Matchweek 33,Away,W 1–0,Everton,Arsenal,Y,"LW,LM",90,27,37,73.0,412,110,12,14,85.7,12,15,80.0,0,5,0.0,0,0.0,0.0,0,4,0,0,7,/en/matches/30f36320/Arsenal-Everton-April-23-2021-Premier-League
30,2020-09-13,Sat,Matchweek 34,Home,L 1–2,Everton,Aston Villa,Y,"AM,LW",81,26,31,83.9,388,90,12,13,92.3,10,10,100.0,2,5,40.0,0,0.0,0.0,0,2,1,0,2,/en/matches/2452619d/Everton-Aston-Villa-May-1-2021-Premier-League
31,2020-09-13,Sun,Matchweek 35,Away,W 1–0,Everton,West Ham,Y,LM,84,16,20,80.0,333,127,5,6,83.3,7,7,100.0,4,7,57.1,0,0.2,0.4,2,0,2,1,1,/en/matches/57632a35/West-Ham-United-Everton-May-9-2021-Premier-League
32,2020-09-13,Thu,Matchweek 19,Away,D 0–0,Everton,Aston Villa,Y,LM,66,25,28,89.3,342,103,12,13,92.3,8,9,88.9,1,1,100.0,0,0.1,0.1,1,2,0,0,1,/en/matches/b5b24fd8/Aston-Villa-Everton-May-13-2021-Premier-League
33,2020-09-13,Sun,Matchweek 36,Home,L 0–1,Everton,Sheffield Utd,N,AM,45,14,18,77.8,227,70,7,8,87.5,5,6,83.3,1,2,50.0,0,0.2,0.1,3,1,2,0,3,/en/matches/707d5282/Everton-Sheffield-United-May-16-2021-Premier-League
34,2020-09-13,Wed,Matchweek 37,Home,W 1–0,Everton,Wolves,Y,LM,85,20,26,76.9,415,153,8,9,88.9,6,8,75.0,5,7,71.4,1,0.2,0.2,4,1,0,0,3,/en/matches/eb7bd01f/Everton-Wolverhampton-Wanderers-May-19-2021-Premier-League
