,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2022-01-15,Sat,Matchweek 17,Away,D 0–0,Watford,Burnley,Y,LB,90,74,5,25,43,6,0,74,1,1,100.0,0,0.0,40,210,96,2,1,0,1,1,29,0,/en/matches/5c31d723/Burnley-Watford-February-5-2022-Premier-League
1,2022-01-15,Tue,Matchweek 24,Away,L 0–1,Watford,West Ham,Y,LB,90,79,7,42,29,8,1,79,1,0,0.0,1,100.0,23,100,27,0,0,0,1,0,25,3,/en/matches/3778ac3f/West-Ham-United-Watford-February-8-2022-Premier-League
2,2022-01-15,Sat,Matchweek 25,Home,L 0–2,Watford,Brighton,Y,LB,90,54,2,24,24,7,0,54,1,0,0.0,1,100.0,22,102,17,0,1,0,2,2,21,1,/en/matches/e04d98c4/Watford-Brighton-and-Hove-Albion-February-12-2022-Premier-League
3,2022-01-15,Sat,Matchweek 26,Away,W 1–0,Watford,Aston Villa,Y,LB,90,87,4,40,40,7,1,87,1,0,0.0,1,100.0,48,205,95,1,0,0,0,0,42,1,/en/matches/28c4ee0a/Aston-Villa-Watford-February-19-2022-Premier-League
4,2022-01-15,Wed,Matchweek 18,Home,L 1–4,Watford,Crystal Palace,Y,LB,90,78,3,40,28,12,0,78,2,0,0.0,2,100.0,33,238,141,3,3,0,1,0,38,2,/en/matches/daa35440/Watford-Crystal-Palace-February-23-2022-Premier-League
5,2022-01-15,Sat,Matchweek 27,Away,D 0–0,Watford,Manchester Utd,Y,LB,90,61,8,31,22,8,1,61,4,3,75.0,1,25.0,25,82,35,1,0,1,2,1,23,1,/en/matches/43737c9c/Manchester-United-Watford-February-26-2022-Premier-League
6,2022-01-15,Sun,Matchweek 28,Home,L 2–3,Watford,Arsenal,Y,LB,90,97,7,50,33,14,2,97,1,1,100.0,0,0.0,39,160,73,2,1,1,0,0,42,2,/en/matches/9d5abf8b/Watford-Arsenal-March-6-2022-Premier-League
7,2022-01-15,Thu,Matchweek 19,Away,L 0–4,Watford,Wolves,Y,LB,90,62,2,26,28,8,0,62,2,1,50.0,1,50.0,32,176,95,1,2,0,0,0,29,2,/en/matches/d0ee0e9a/Wolverhampton-Wanderers-Watford-March-10-2022-Premier-League
8,2022-01-15,Sun,Matchweek 29,Away,W 2–1,Watford,Southampton,Y,LB,90,53,6,23,24,6,0,53,0,0,,0,,15,95,38,0,0,0,2,0,22,0,/en/matches/2c627dd8/Southampton-Watford-March-13-2022-Premier-League
9,2022-01-15,Sat,Matchweek 31,Away,L 0–2,Watford,Liverpool,Y,LB,90,61,7,35,22,5,0,61,3,1,33.3,2,66.7,17,201,121,3,0,0,1,0,17,0,/en/matches/8e05e22c/Liverpool-Watford-April-2-2022-Premier-League
10,2022-01-15,Sat,Matchweek 32,Home,L 0–3,Watford,Leeds United,Y,LB,90,80,4,36,34,11,0,80,3,1,33.3,2,66.7,28,175,104,3,0,0,1,1,24,0,/en/matches/b18deecf/Watford-Leeds-United-April-9-2022-Premier-League
11,2022-01-15,Sat,Matchweek 33,Home,L 1–2,Watford,Brentford,Y,LB,90,62,3,25,29,8,0,62,1,0,0.0,1,100.0,26,146,79,3,0,0,0,0,28,1,/en/matches/3b17352d/Watford-Brentford-April-16-2022-Premier-League
12,2022-01-15,Sat,Matchweek 34,Away,L 1–5,Watford,Manchester City,Y,LB,90,41,3,21,19,4,1,41,3,2,66.7,1,33.3,29,152,103,0,0,0,0,0,21,1,/en/matches/af522ca3/Manchester-City-Watford-April-23-2022-Premier-League
13,2022-01-15,Sat,Matchweek 35,Home,L 1–2,Watford,Burnley,Y,LB,90,49,6,21,21,7,0,49,0,0,,0,,24,154,42,2,1,0,1,0,23,2,/en/matches/81ac72d8/Watford-Burnley-April-30-2022-Premier-League
14,2022-01-15,Sat,Matchweek 36,Away,L 0–1,Watford,Crystal Palace,Y,LB,68,42,2,18,15,10,0,42,2,1,50.0,1,50.0,23,115,66,2,2,0,1,0,15,2,/en/matches/1206a1df/Crystal-Palace-Watford-May-7-2022-Premier-League
15,2022-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2022-01-15,Sun,Matchweek 37,Home,L 1–5,Watford,Leicester City,N,WB,45,27,1,3,13,11,0,27,2,1,50.0,1,50.0,14,77,17,0,0,0,1,1,15,1,/en/matches/5a142f6f/Watford-Leicester-City-May-15-2022-Premier-League
17,2022-01-15,Sun,Matchweek 38,Away,L 1–2,Watford,Chelsea,Y,LB,77,35,5,20,12,3,0,35,0,0,,0,,20,123,44,1,0,0,1,0,12,0,/en/matches/df85b298/Chelsea-Watford-May-22-2022-Premier-League
