,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2022-08-06,Sat,Matchweek 3,Away,L 0–1,Wolves,Tottenham,N,FW,10,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,/en/matches/5cc3bd0e/Tottenham-Hotspur-Wolverhampton-Wanderers-August-20-2022-Premier-League
1,2022-08-06,Sun,Matchweek 4,Home,D 1–1,Wolves,Newcastle Utd,N,LW,7,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,/en/matches/15d62d04/Wolverhampton-Wanderers-Newcastle-United-August-28-2022-Premier-League
2,2022-08-06,Wed,Matchweek 5,Away,D 0–0,Wolves,Bournemouth,N,"On matchday squad, but did not play",/en/matches/91b239d8/Bournemouth-Wolverhampton-Wanderers-August-31-2022-Premier-League,,,,,,,,,,,,,,,,
3,2022-08-06,Sat,Matchweek 6,Home,W 1–0,Wolves,Southampton,N,LW,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,/en/matches/13f50518/Wolverhampton-Wanderers-Southampton-September-3-2022-Premier-League
4,2022-08-06,Sat,Matchweek 8,Home,L 0–3,Wolves,Manchester City,N,FW,21,4,3,1,0,0,0,0,1,0,0,0,0,4,0,0,/en/matches/96b5cc15/Wolverhampton-Wanderers-Manchester-City-September-17-2022-Premier-League
5,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022-08-06,Sat,Matchweek 10,Away,L 0–3,Wolves,Chelsea,N,FW,34,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0,/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League
7,2022-08-06,Sat,Matchweek 11,Home,W 1–0,Wolves,Nott'ham Forest,N,FW,9,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,/en/matches/c9f8e7e9/Wolverhampton-Wanderers-Nottingham-Forest-October-15-2022-Premier-League
8,2022-08-06,Tue,Matchweek 12,Away,L 1–2,Wolves,Crystal Palace,N,FW,16,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,/en/matches/60705c6d/Crystal-Palace-Wolverhampton-Wanderers-October-18-2022-Premier-League
9,2022-08-06,Sun,Matchweek 13,Home,L 0–4,Wolves,Leicester City,N,FW,11,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,/en/matches/8774e664/Wolverhampton-Wanderers-Leicester-City-October-23-2022-Premier-League
10,2022-08-06,Sat,Matchweek 14,Away,D 1–1,Wolves,Brentford,N,"On matchday squad, but did not play",/en/matches/41e403d3/Brentford-Wolverhampton-Wanderers-October-29-2022-Premier-League,,,,,,,,,,,,,,,,
11,2022-08-06,Sat,Matchweek 15,Home,L 2–3,Wolves,Brighton,Y,FW,67,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,/en/matches/982d16a2/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-November-5-2022-Premier-League
12,2022-08-06,,,,,,,,,,,,,,,,,,,,,,,,,
