,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2022-08-06,Sat,Premier League,Matchweek 1,Away,L 1–4,Southampton,Tottenham,N,CM,16,0,0,0,0,1.0,0.0,0,0,15.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,9.0,9.0,100.0,0.0,5.0,0.0,1.0,0.0,/en/matches/09d8a999/Tottenham-Hotspur-Southampton-August-6-2022-Premier-League,0.0,0.5
1,1,2022-08-23,Tue,EFL Cup,Second round,Away,W 3–0,Southampton,Cambridge Utd,Y,DM,89,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/037f6955/Cambridge-United-Southampton-August-23-2022-EFL-Cup,1.0,0.5
2,2,2022-08-30,Tue,Premier League,Matchweek 5,Home,W 2–1,Southampton,Chelsea,Y,"DM,CM",90,0,0,0,0,0.0,0.0,0,0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,21.0,61.9,2.0,14.0,1.0,3.0,1.0,/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,1.0,0.5
3,3,2022-09-03,Sat,Premier League,Matchweek 6,Away,L 0–1,Southampton,Wolves,Y,DM,55,0,0,0,0,1.0,0.0,1,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,72.7,4.0,15.0,1.0,2.0,2.0,/en/matches/13f50518/Wolverhampton-Wanderers-Southampton-September-3-2022-Premier-League,0.0,0.6666666666666666
4,4,2022-09-16,Fri,Premier League,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,Y,DM,45,0,0,0,0,0.0,0.0,0,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,71.4,2.0,13.0,0.0,0.0,0.0,/en/matches/1219daa1/Aston-Villa-Southampton-September-16-2022-Premier-League,0.0,0.6666666666666666
5,5,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 0–4,Southampton,Manchester City,Y,"CM,DM",90,0,0,0,0,0.0,0.0,0,0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,43.0,86.0,5.0,26.0,0.0,0.0,0.0,/en/matches/864294c0/Manchester-City-Southampton-October-8-2022-Premier-League,0.0,0.3333333333333333
6,6,2022-10-16,Sun,Premier League,Matchweek 11,Home,D 1–1,Southampton,West Ham,N,CM,16,0,0,0,0,1.0,0.0,0,0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,3.0,0.0,0.0,0.0,/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League,0.5,0.0
7,7,2022-10-19,Wed,Premier League,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,N,CM,3,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,7.0,1.0,1.0,0.0,/en/matches/8a2bb3b6/Bournemouth-Southampton-October-19-2022-Premier-League,1.0,0.16666666666666666
8,8,2022-10-23,Sun,Premier League,Matchweek 13,Home,D 1–1,Southampton,Arsenal,Y,CM,90,0,0,0,0,0.0,0.0,0,0,42.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,31.0,87.1,1.0,25.0,0.0,1.0,1.0,/en/matches/d8138438/Southampton-Arsenal-October-23-2022-Premier-League,0.5,0.5
9,9,2022-10-29,Sat,Premier League,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,Y,CM,45,0,0,0,0,0.0,0.0,0,0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,76.7,1.0,24.0,1.0,2.0,1.0,/en/matches/4be07239/Crystal-Palace-Southampton-October-29-2022-Premier-League,0.0,0.6666666666666666
10,10,2022-10-30,Sun,PL2 — Div. 2,Matchweek 10,Home,W 8–1,Southampton,Middlesbrough,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2ee9b510/Southampton-U21-Middlesbrough-U21-October-30-2022-Premier-League-2----Division-2,1.0,0.5
11,11,2022-11-09,Wed,EFL Cup,Third round,Home,D 1 (6)–1 (5),Southampton,Sheffield Weds,Y,DM,120,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/d97ac8fc/Southampton-Sheffield-Wednesday-November-9-2022-EFL-Cup,0.5,0.5
12,12,2022-12-26,Mon,Premier League,Matchweek 17,Home,L 1–3,Southampton,Brighton,Y,DM,45,0,0,0,0,1.0,0.0,0,0,23.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,16.0,20.0,80.0,0.0,11.0,0.0,0.0,0.0,/en/matches/3527c390/Southampton-Brighton-and-Hove-Albion-December-26-2022-Premier-League,0.0,0.5
13,13,2023-01-07,Sat,FA Cup,Third round proper,Away,W 2–1,Southampton,Crystal Palace,N,,4,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/fa8b55b9/Crystal-Palace-Southampton-January-7-2023-FA-Cup,1.0,0.5
14,14,2023-01-11,Wed,EFL Cup,Quarter-finals,Home,W 2–0,Southampton,Manchester City,Y,DM,90,0,0,0,0,0.0,0.0,1,0,,,2.0,,,,,,,,,,,,,,,/en/matches/ce31c2c4/Southampton-Manchester-City-January-11-2023-EFL-Cup,1.0,0.5
15,15,2023-01-14,Sat,Premier League,Matchweek 20,Away,W 2–1,Southampton,Everton,Y,DM,84,0,0,0,0,2.0,0.0,1,0,41.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,35.0,65.7,0.0,26.0,1.0,0.0,0.0,/en/matches/11603f7f/Everton-Southampton-January-14-2023-Premier-League,1.0,0.6666666666666666
16,16,2023-01-21,Sat,Premier League,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,Y,"DM,CM",90,0,0,0,0,0.0,0.0,0,0,52.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,45.0,80.0,4.0,31.0,0.0,1.0,1.0,/en/matches/91d49468/Southampton-Aston-Villa-January-21-2023-Premier-League,0.0,1.0
17,17,2023-01-24,Tue,EFL Cup,Semi-finals,Home,L 0–1,Southampton,Newcastle Utd,Y,DM,81,0,0,0,0,0.0,0.0,0,0,,,6.0,,,,,,,,,,,,,,,/en/matches/03aba1b8/Southampton-Newcastle-United-January-24-2023-EFL-Cup,0.0,0.6666666666666666
18,18,2023-01-28,Sat,FA Cup,Fourth round proper,Home,W 2–1,Southampton,Blackpool,N,,4,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/670a5eea/Southampton-Blackpool-January-28-2023-FA-Cup,1.0,0.3333333333333333
19,19,2023-01-31,Tue,EFL Cup,Semi-finals,Away,L 1–2,Southampton,Newcastle Utd,Y,CM,76,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/42c76654/Newcastle-United-Southampton-January-31-2023-EFL-Cup,0.0,0.3333333333333333
20,20,2023-02-04,Sat,Premier League,Matchweek 22,Away,L 0–3,Southampton,Brentford,Y,DM,45,0,0,0,0,0.0,0.0,0,0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,31.0,67.7,1.0,22.0,0.0,0.0,0.0,/en/matches/ef31dad5/Brentford-Southampton-February-4-2023-Premier-League,0.0,0.3333333333333333
21,21,2023-02-18,Sat,Premier League,Matchweek 24,Away,W 1–0,Southampton,Chelsea,N,CM,4,0,0,0,0,0.0,0.0,0,0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/8d750d5d/Chelsea-Southampton-February-18-2023-Premier-League,1.0,0.3333333333333333
22,22,2023-02-25,Sat,Premier League,Matchweek 25,Away,L 0–1,Southampton,Leeds United,N,DM,28,0,0,0,0,0.0,0.0,1,0,23.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,13.0,15.0,86.7,2.0,8.0,0.0,0.0,0.0,/en/matches/9edb32a3/Leeds-United-Southampton-February-25-2023-Premier-League,0.0,0.3333333333333333
23,23,2023-03-15,Wed,Premier League,Matchweek 7,Home,L 0–2,Southampton,Brentford,Y,DM,57,0,0,0,0,0.0,0.0,0,0,63.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,51.0,58.0,87.9,5.0,52.0,4.0,2.0,2.0,/en/matches/a4202b5b/Southampton-Brentford-March-15-2023-Premier-League,0.0,0.3333333333333333
24,24,2023-04-08,Sat,Premier League,Matchweek 30,Home,L 1–4,Southampton,Manchester City,N,"CM,RM",11,0,0,0,0,0.0,0.0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/fb045117/Southampton-Manchester-City-April-8-2023-Premier-League,0.0,0.3333333333333333
