,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,UEFA Nations League,League A,Away,D 1–1,de Germany,it Italy,N,,22,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Tue,UEFA Nations League,League A,Home,D 1–1,de Germany,eng England,Y,DM,82,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,Sat,UEFA Nations League,League A,Away,D 1–1,de Germany,hu Hungary,N,,22,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,Tue,UEFA Nations League,League A,Home,W 5–2,de Germany,it Italy,Y,DM,86,1,0,1,1,2,1,0,0,,,2,,,,,,,,,,,,,,,Match Report
4,Sat,Community Shield,FA Community Shield,Neutral,L 1–3,Manchester City,Liverpool,N,,18,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
5,Sun,Premier League,Matchweek 1,Away,W 2–0,Manchester City,West Ham,Y*,LM,77,0,0,0,0,2,0,0,0,68,0,0,0,0.1,0.1,0.1,4,1,57,63,90.5,7,38,4,3,1,Match Report
6,Sat,Premier League,Matchweek 2,Home,W 4–0,Manchester City,Bournemouth,Y*,DM,64,1,0,0,0,2,1,0,0,47,2,0,1,0.5,0.5,0.1,2,0,34,38,89.5,4,26,2,2,0,Match Report
7,Sun,Premier League,Matchweek 3,Away,D 3–3,Manchester City,Newcastle Utd,Y*,LM,90,1,0,0,0,3,1,0,0,64,1,3,1,0.3,0.3,0.2,6,1,40,49,81.6,8,32,4,2,1,Match Report
8,Sat,Premier League,Matchweek 4,Home,W 4–2,Manchester City,Crystal Palace,N,DM,30,0,1,0,0,1,1,0,0,22,0,0,0,0.1,0.1,0.2,1,1,21,21,100.0,4,7,1,0,0,Match Report
9,Wed,Premier League,Matchweek 5,Home,W 6–0,Manchester City,Nott'ham Forest,Y*,DM,90,0,0,0,0,2,0,0,0,125,2,0,1,0.0,0.0,0.6,8,3,108,117,92.3,13,70,1,2,0,Match Report
