,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–5,West Ham,Manchester City,Y,CB,90,0,0,0,0,1,0,0,0,47.0,1.0,2,2.0,0.3,0.3,0.0,0.0,0.0,34.0,39.0,87.2,1.0,24.0,0.0,0.0,0.0,/en/matches/71c8a43e/West-Ham-United-Manchester-City-August-10-2019-Premier-League,0.0,0.5,0.5476190476190477
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,D 1–1,West Ham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,55.0,3.0,3,2.0,0.0,0.0,0.2,1.0,0.0,35.0,45.0,77.8,1.0,29.0,1.0,0.0,0.0,/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 3–1,West Ham,Watford,Y,CB,90,0,0,0,0,0,0,0,0,21.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,2.0,3.0,0.0,0.0,0.0,/en/matches/89fbf2a3/Watford-West-Ham-United-August-24-2019-Premier-League,1.0,0.5,0.511904761904762
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–0,West Ham,Newport County,Y,CB,90,0,0,0,0,1,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/9e898faf/Newport-County-West-Ham-United-August-27-2019-EFL-Cup,1.0,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 2–0,West Ham,Norwich City,Y,CB,90,0,0,0,0,2,1,0,0,42.0,0.0,2,2.0,0.2,0.2,0.0,1.0,0.0,27.0,31.0,87.1,4.0,24.0,0.0,1.0,1.0,/en/matches/164148a8/West-Ham-United-Norwich-City-August-31-2019-Premier-League,1.0,0.8333333333333334,0.3452380952380952
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-16,Mon,Premier League,Matchweek 5,Away,D 0–0,West Ham,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,33.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,87.0,0.0,19.0,0.0,1.0,1.0,/en/matches/b26df467/Aston-Villa-West-Ham-United-September-16-2019-Premier-League,0.5,1.0,0.4642857142857142
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-22,Sun,Premier League,Matchweek 6,Home,W 2–0,West Ham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,44.0,0.0,1,3.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,84.8,2.0,22.0,0.0,0.0,0.0,/en/matches/fe3e2bec/West-Ham-United-Manchester-United-September-22-2019-Premier-League,1.0,0.8333333333333334,0.7380952380952381
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-25,Wed,EFL Cup,Third round,Away,L 0–4,West Ham,Oxford United,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/171578bd/Oxford-United-West-Ham-United-September-25-2019-EFL-Cup,0.0,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-28,Sat,Premier League,Matchweek 7,Away,D 2–2,West Ham,Bournemouth,Y,CB,90,0,0,0,0,0,0,1,0,52.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,37.0,81.1,5.0,23.0,0.0,0.0,0.0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League,0.5,0.5,0.7142857142857142
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-05,Sat,Premier League,Matchweek 8,Home,L 1–2,West Ham,Crystal Palace,Y,CB,90,0,0,0,0,1,1,0,0,75.0,0.0,2,0.0,0.2,0.2,0.0,1.0,0.0,62.0,69.0,89.9,4.0,50.0,2.0,0.0,0.0,/en/matches/23fe51bc/West-Ham-United-Crystal-Palace-October-5-2019-Premier-League,0.0,0.5,0.5641025641025641
